Origin,Problem ID,Labeled Date,Duration (s),Labeling state,User ID,Respondent type,q1,Correct answer,Response correct
ID0025-phase5,39547051,5/29/26,120,Labeled,664867,med student,c',F,No
ID0027-phase5,39547052,6/1/26,38,Labeled,579474,med student,d',D,Yes
ID0027-phase5,39547052,6/1/26,90,Labeled,584340,med student,d',D,Yes
ID0027-phase5,39547052,5/29/26,54,Labeled,664867,med student,b',D,No
ID0028-phase5,39547053,5/31/26,134,Labeled,584340,med student,d',A,No
ID0028-phase5,39547053,6/11/26,58,Labeled,586841,med student,d',A,No
ID0028-phase5,39547053,5/29/26,120,Labeled,664867,med student,a',A,Yes
ID0029-phase5,39547054,6/12/26,111,Labeled,586841,med student,b',A,No
ID0029-phase5,39547054,6/12/26,96,Labeled,618830,med student,a',A,Yes
ID0029-phase5,39547054,5/29/26,61,Labeled,664867,med student,b',A,No
ID0032-phase5,39547055,6/12/26,73,Labeled,586841,med student,d',D,Yes
ID0032-phase5,39547055,6/12/26,75,Labeled,618830,med student,c',D,No
ID0032-phase5,39547055,5/29/26,46,Labeled,664867,med student,a',D,No
ID0034-phase5,39547056,5/31/26,24,Labeled,579474,med student,a',A,Yes
ID0034-phase5,39547056,5/31/26,81,Labeled,584340,med student,a',A,Yes
ID0034-phase5,39547056,5/29/26,47,Labeled,664867,med student,a',A,Yes
ID0039-phase5,39547057,6/3/26,118,Labeled,584340,med student,b',B,Yes
ID0039-phase5,39547057,6/11/26,69,Labeled,586841,med student,b',B,Yes
ID0039-phase5,39547057,5/29/26,102,Labeled,664867,med student,a',B,No
ID0041-phase5,39547058,6/12/26,150,Labeled,584340,med student,a',A,Yes
ID0041-phase5,39547058,6/11/26,57,Labeled,586841,med student,b',A,No
ID0041-phase5,39547058,5/29/26,112,Labeled,664867,med student,a',A,Yes
ID0042-phase5,39547059,6/4/26,339,Labeled,601253,med student,a',B,No
ID0042-phase5,39547059,6/10/26,178,Labeled,618830,med student,c',B,No
ID0042-phase5,39547059,5/29/26,89,Labeled,664867,med student,c',B,No
ID0045-phase5,39547060,6/12/26,94,Labeled,584340,med student,d',D,Yes
ID0045-phase5,39547060,6/11/26,84,Labeled,586841,med student,j',D,No
ID0045-phase5,39547060,5/29/26,96,Labeled,664867,med student,c',D,No
ID0046-phase5,39547061,6/3/26,177,Labeled,579547,med student,d',D,Yes
ID0046-phase5,39547061,6/3/26,97,Labeled,603017,med student,a',D,No
ID0046-phase5,39547061,5/29/26,53,Labeled,664867,med student,a',D,No
ID0047-phase5,39547062,6/5/26,159,Labeled,579918,med student,a',A,Yes
ID0047-phase5,39547062,6/9/26,120,Labeled,584340,med student,c',A,No
ID0047-phase5,39547062,5/29/26,73,Labeled,664867,med student,d',A,No
ID0048-phase5,39547063,6/2/26,98,Labeled,601253,med student,c',D,No
ID0048-phase5,39547063,6/3/26,145,Labeled,603017,med student,a',D,No
ID0048-phase5,39547063,5/29/26,29,Labeled,664867,med student,c',D,No
ID0056-phase5,39547064,6/8/26,146,Labeled,584340,med student,a',D,No
ID0056-phase5,39547064,6/10/26,151,Labeled,601253,med student,e',D,No
ID0056-phase5,39547064,5/29/26,50,Labeled,664867,med student,g',D,No
ID0057-phase5,39547065,6/4/26,63,Labeled,584340,med student,d',D,Yes
ID0057-phase5,39547065,6/4/26,23,Labeled,601253,med student,d',D,Yes
ID0057-phase5,39547065,5/29/26,21,Labeled,664867,med student,d',D,Yes
ID0059-phase5,39547066,6/3/26,78,Labeled,584340,med student,d',B,No
ID0059-phase5,39547066,6/10/26,187,Labeled,618830,med student,b',B,Yes
ID0059-phase5,39547066,5/29/26,27,Labeled,664867,med student,c',B,No
ID0060-phase5,39547067,6/12/26,75,Labeled,586841,med student,d',C,No
ID0060-phase5,39547067,6/12/26,132,Labeled,618830,med student,c',C,Yes
ID0060-phase5,39547067,5/29/26,94,Labeled,664867,med student,c',C,Yes
ID0062-phase5,39547068,6/5/26,131,Labeled,579918,med student,b',B,Yes
ID0062-phase5,39547068,6/9/26,72,Labeled,618830,med student,d',B,No
ID0062-phase5,39547068,5/29/26,71,Labeled,664867,med student,b',B,Yes
ID0063-phase5,39547069,6/2/26,102,Labeled,584340,med student,a',B,No
ID0063-phase5,39547069,6/2/26,131,Labeled,601253,med student,f',B,No
ID0063-phase5,39547069,5/29/26,83,Labeled,664867,med student,d',B,No
ID0067-phase5,39547070,6/5/26,21,Labeled,579547,med student,a',A,Yes
ID0067-phase5,39547070,6/10/26,126,Labeled,584340,med student,a',A,Yes
ID0067-phase5,39547070,5/29/26,41,Labeled,664867,med student,a',A,Yes
ID0069-phase5,39547071,6/11/26,134,Labeled,579918,med student,d',D,Yes
ID0069-phase5,39547071,6/10/26,125,Labeled,584340,med student,d',D,Yes
ID0069-phase5,39547071,5/29/26,75,Labeled,664867,med student,b',D,No
ID0071-phase5,39547072,6/7/26,132,Labeled,579474,med student,c',D,No
ID0071-phase5,39547072,6/9/26,78,Labeled,584340,med student,a',D,No
ID0071-phase5,39547072,5/29/26,41,Labeled,664867,med student,b',D,No
ID0073-phase5,39547073,6/9/26,38,Labeled,579547,med student,g',G,Yes
ID0073-phase5,39547073,6/6/26,188,Labeled,579918,med student,g',G,Yes
ID0073-phase5,39547073,5/29/26,64,Labeled,664867,med student,d',G,No
ID0074-phase5,39547074,6/1/26,23,Labeled,579547,med student,c',C,Yes
ID0074-phase5,39547074,6/2/26,23,Labeled,601253,med student,c',C,Yes
ID0074-phase5,39547074,5/29/26,22,Labeled,664867,med student,c',C,Yes
ID0082-phase5,39547075,6/12/26,120,Labeled,584340,med student,b',B,Yes
ID0082-phase5,39547075,6/12/26,107,Labeled,586841,med student,b',B,Yes
ID0082-phase5,39547075,5/29/26,18,Labeled,664867,med student,b',B,Yes
ID0085-phase5,39547076,6/4/26,19,Labeled,579547,med student,e',J,No
ID0085-phase5,39547076,6/5/26,92,Labeled,579918,med student,e',J,No
ID0085-phase5,39547076,6/9/26,133,Labeled,618830,med student,e',J,No
ID0092-phase5,39547077,6/5/26,20,Labeled,579547,med student,b',B,Yes
ID0092-phase5,39547077,6/5/26,152,Labeled,579918,med student,b',B,Yes
ID0092-phase5,39547077,6/11/26,100,Labeled,584340,med student,j',B,No
ID0093-phase5,39547078,6/11/26,163,Labeled,579918,med student,c',C,Yes
ID0093-phase5,39547078,5/30/26,162,Labeled,584340,med student,d',C,No
ID0093-phase5,39547078,5/28/26,107,Labeled,672563,med student,d',C,No
ID0094-phase5,39547079,6/3/26,195,Labeled,579547,med student,c',C,Yes
ID0094-phase5,39547079,6/3/26,118,Labeled,584340,med student,c',C,Yes
ID0094-phase5,39547079,6/3/26,75,Labeled,603017,med student,c',C,Yes
ID0096-phase5,39547080,6/5/26,118,Labeled,579918,med student,g',E,No
ID0096-phase5,39547080,6/6/26,147,Labeled,584340,med student,a',E,No
ID0096-phase5,39547080,6/5/26,294,Labeled,601253,med student,a',E,No
ID0098-phase5,39547081,6/3/26,55,Labeled,579474,med student,d',D,Yes
ID0098-phase5,39547081,6/3/26,146,Labeled,584340,med student,b',D,No
ID0098-phase5,39547081,6/4/26,237,Labeled,603017,med student,d',D,Yes
ID0110-phase5,39547082,6/3/26,93,Labeled,579474,med student,b',B,Yes
ID0110-phase5,39547082,6/1/26,107,Labeled,584340,med student,d',B,No
ID0110-phase5,39547082,6/2/26,99,Labeled,601253,med student,c',B,No
ID0111-phase5,39547083,6/4/26,450,Labeled,579547,med student,d',D,Yes
ID0111-phase5,39547083,6/11/26,171,Labeled,579918,med student,d',D,Yes
ID0111-phase5,39547083,6/4/26,105,Labeled,584340,med student,d',D,Yes
ID0112-phase5,39547084,6/11/26,74,Labeled,579918,med student,d',D,Yes
ID0112-phase5,39547084,5/30/26,83,Labeled,584340,med student,f',D,No
ID0112-phase5,39547084,6/1/26,51,Labeled,680819,med student,a',D,No
ID0113-phase5,39547085,6/4/26,16,Labeled,579547,med student,d',D,Yes
ID0113-phase5,39547085,6/3/26,102,Labeled,584340,med student,d',D,Yes
ID0113-phase5,39547085,6/4/26,337,Labeled,603017,med student,a',D,No
ID0115-phase5,39547086,6/2/26,27,Labeled,579474,med student,b',D,No
ID0115-phase5,39547086,6/2/26,95,Labeled,579547,med student,c',D,No
ID0115-phase5,39547086,6/4/26,120,Labeled,601253,med student,b',D,No
ID0116-phase5,39547087,6/4/26,97,Labeled,584340,med student,b',A,No
ID0116-phase5,39547087,6/4/26,246,Labeled,601253,med student,b',A,No
ID0116-phase5,39547087,6/4/26,169,Labeled,603017,med student,c',A,No
ID0117-phase5,39547088,6/10/26,127,Labeled,579918,med student,a',D,No
ID0117-phase5,39547088,6/3/26,119,Labeled,584340,med student,b',D,No
ID0117-phase5,39547088,6/3/26,47,Labeled,603017,med student,d',D,Yes
ID0122-phase5,39547089,6/5/26,199,Labeled,579918,med student,d',D,Yes
ID0122-phase5,39547089,6/4/26,117,Labeled,584340,med student,d',D,Yes
ID0122-phase5,39547089,6/5/26,141,Labeled,603017,med student,d',D,Yes
ID0127-phase5,39547090,6/1/26,126,Labeled,579474,med student,c',B,No
ID0127-phase5,39547090,6/11/26,94,Labeled,579918,med student,b',B,Yes
ID0127-phase5,39547090,5/31/26,103,Labeled,584340,med student,c',B,No
ID0129-phase5,39547091,5/30/26,123,Labeled,579474,med student,b',A,No
ID0129-phase5,39547091,5/29/26,136,Labeled,584340,med student,c',A,No
ID0129-phase5,39547091,5/30/26,84,Labeled,618830,med student,a',A,Yes
ID0133-phase5,39547092,6/4/26,51,Labeled,579547,med student,d',D,Yes
ID0133-phase5,39547092,6/4/26,86,Labeled,584340,med student,a',D,No
ID0133-phase5,39547092,6/4/26,155,Labeled,601253,med student,c',D,No
ID0136-phase5,39547093,6/4/26,29,Labeled,579474,med student,b',B,Yes
ID0136-phase5,39547093,6/11/26,31,Labeled,586841,med student,b',B,Yes
ID0136-phase5,39547093,6/4/26,231,Labeled,601253,med student,b',B,Yes
ID0136-phase5,39547093,6/9/26,60,Labeled,618830,med student,b',B,Yes
ID0137-phase5,39547094,6/1/26,114,Labeled,579474,med student,d',D,Yes
ID0137-phase5,39547094,6/1/26,129,Labeled,579547,med student,d',D,Yes
ID0137-phase5,39547094,6/10/26,148,Labeled,579918,med student,e',D,No
ID0140-phase5,39547095,6/3/26,46,Labeled,579474,med student,j',G,No
ID0140-phase5,39547095,6/4/26,130,Labeled,584340,med student,d',G,No
ID0140-phase5,39547095,6/4/26,415,Labeled,601253,med student,b',G,No
ID0141-phase5,39547096,6/1/26,79,Labeled,579474,med student,c',I,No
ID0141-phase5,39547096,6/2/26,44,Labeled,579547,med student,g',I,No
ID0141-phase5,39547096,6/1/26,139,Labeled,601253,med student,g',I,No
ID0148-phase5,39547097,6/4/26,95,Labeled,579918,med student,c',C,Yes
ID0148-phase5,39547097,6/4/26,143,Labeled,584340,med student,j',C,No
ID0148-phase5,39547097,6/11/26,96,Labeled,586841,med student,c',C,Yes
ID0149-phase5,39547098,6/1/26,186,Labeled,579547,med student,a',B,No
ID0149-phase5,39547098,6/2/26,100,Labeled,584340,med student,b',B,Yes
ID0149-phase5,39547098,6/4/26,211,Labeled,601253,med student,c',B,No
ID0149-phase5,39547098,6/3/26,95,Labeled,603017,med student,c',B,No
ID0150-phase5,39547099,6/13/26,48,Labeled,579547,med student,c',A,No
ID0150-phase5,39547099,6/11/26,133,Labeled,586841,med student,a',A,Yes
ID0150-phase5,39547099,6/13/26,53,Labeled,618830,med student,a',A,Yes
ID0151-phase5,39547100,6/6/26,262,Labeled,579918,med student,j',J,Yes
ID0151-phase5,39547100,6/4/26,134,Labeled,584340,med student,d',J,No
ID0151-phase5,39547100,6/9/26,75,Labeled,618830,med student,j',J,Yes
ID0152-phase5,39547101,6/9/26,90,Labeled,579918,med student,c',C,Yes
ID0152-phase5,39547101,6/4/26,396,Labeled,601253,med student,c',C,Yes
ID0152-phase5,39547101,6/3/26,82,Labeled,603017,med student,a',C,No
ID0153-phase5,39547102,6/11/26,49,Labeled,579547,med student,d',D,Yes
ID0153-phase5,39547102,6/11/26,93,Labeled,586841,med student,a',D,No
ID0153-phase5,39547102,6/12/26,75,Labeled,618830,med student,d',D,Yes
ID0154-phase5,39547103,6/10/26,145,Labeled,579918,med student,a',A,Yes
ID0154-phase5,39547103,5/28/26,87,Labeled,586841,med student,a',A,Yes
ID0154-phase5,39547103,5/28/26,65,Labeled,672563,med student,a',A,Yes
ID0155-phase5,39547104,6/3/26,101,Labeled,579547,med student,c',C,Yes
ID0155-phase5,39547104,6/3/26,129,Labeled,584340,med student,d',C,No
ID0155-phase5,39547104,6/9/26,206,Labeled,618830,med student,c',C,Yes
ID0161-phase5,39547105,5/31/26,68,Labeled,579474,med student,d',C,No
ID0161-phase5,39547105,6/9/26,81,Labeled,579547,med student,c',C,Yes
ID0161-phase5,39547105,5/31/26,84,Labeled,586841,med student,d',C,No
ID0162-phase5,39547106,6/1/26,158,Labeled,579547,med student,a',A,Yes
ID0162-phase5,39547106,6/11/26,160,Labeled,579918,med student,a',A,Yes
ID0162-phase5,39547106,6/1/26,96,Labeled,584340,med student,a',A,Yes
ID0164-phase5,39547107,6/3/26,133,Labeled,584340,med student,a',B,No
ID0164-phase5,39547107,6/4/26,221,Labeled,601253,med student,b',B,Yes
ID0164-phase5,39547107,6/9/26,116,Labeled,618830,med student,b',B,Yes
ID0165-phase5,39547108,6/1/26,100,Labeled,579474,med student,i',I,Yes
ID0165-phase5,39547108,6/10/26,124,Labeled,584340,med student,b',I,No
ID0165-phase5,39547108,6/2/26,180,Labeled,601253,med student,i',I,Yes
ID0166-phase5,39547109,6/4/26,25,Labeled,579474,med student,e',F,No
ID0166-phase5,39547109,6/4/26,115,Labeled,584340,med student,e',F,No
ID0166-phase5,39547109,6/4/26,120,Labeled,601253,med student,f',F,Yes
ID0168-phase5,39547110,6/9/26,19,Labeled,579547,med student,b',B,Yes
ID0168-phase5,39547110,6/2/26,109,Labeled,584340,med student,b',B,Yes
ID0168-phase5,39547110,6/4/26,122,Labeled,601253,med student,b',B,Yes
ID0169-phase5,39547111,6/12/26,79,Labeled,584340,med student,c',B,No
ID0169-phase5,39547111,6/12/26,50,Labeled,586841,med student,a',B,No
ID0169-phase5,39547111,6/13/26,124,Labeled,618830,med student,a',B,No
ID0170-phase5,39547112,6/11/26,133,Labeled,579547,med student,g',G,Yes
ID0170-phase5,39547112,6/6/26,147,Labeled,584340,med student,j',G,No
ID0170-phase5,39547112,6/5/26,104,Labeled,603017,med student,f',G,No
ID0177-phase5,39547113,6/6/26,69,Labeled,579918,med student,b',B,Yes
ID0177-phase5,39547113,6/11/26,151,Labeled,584340,med student,b',B,Yes
ID0177-phase5,39547113,6/10/26,4,Labeled,601253,med student,a',B,No
ID0182-phase5,39547114,5/31/26,68,Labeled,579474,med student,c',A,No
ID0182-phase5,39547114,6/1/26,129,Labeled,579547,med student,c',A,No
ID0182-phase5,39547114,6/3/26,42,Labeled,603017,med student,c',A,No
ID0184-phase5,39547115,6/11/26,45,Labeled,579547,med student,c',C,Yes
ID0184-phase5,39547115,6/12/26,60,Labeled,586841,med student,c',C,Yes
ID0184-phase5,39547115,6/12/26,91,Labeled,618830,med student,c',C,Yes
ID0185-phase5,39547116,6/1/26,39,Labeled,579474,med student,d',D,Yes
ID0185-phase5,39547116,6/8/26,11,Labeled,579547,med student,d',D,Yes
ID0185-phase5,39547116,5/30/26,64,Labeled,584340,med student,d',D,Yes
ID0186-phase5,39547117,6/4/26,262,Labeled,579547,med student,c',C,Yes
ID0186-phase5,39547117,6/2/26,92,Labeled,584340,med student,c',C,Yes
ID0186-phase5,39547117,6/4/26,172,Labeled,601253,med student,b',C,No
ID0189-phase5,39547118,6/13/26,93,Labeled,584340,med student,a',A,Yes
ID0189-phase5,39547118,6/12/26,84,Labeled,586841,med student,d',A,No
ID0189-phase5,39547118,6/12/26,15,Labeled,618830,med student,a',A,Yes
ID0190-phase5,39547119,6/5/26,122,Labeled,579918,med student,a',A,Yes
ID0190-phase5,39547119,6/6/26,85,Labeled,584340,med student,a',A,Yes
ID0190-phase5,39547119,6/6/26,235,Labeled,601253,med student,a',A,Yes
ID0193-phase5,39547120,6/10/26,102,Labeled,579918,med student,e',E,Yes
ID0193-phase5,39547120,6/9/26,134,Labeled,584340,med student,a',E,No
ID0193-phase5,39547120,6/11/26,92,Labeled,586841,med student,a',E,No
ID0198-phase5,39547121,6/9/26,6,Labeled,579547,med student,a',A,Yes
ID0198-phase5,39547121,6/5/26,38,Labeled,579918,med student,a',A,Yes
ID0198-phase5,39547121,6/7/26,43,Labeled,603017,med student,b',A,No
ID0199-phase5,39547122,6/12/26,83,Labeled,584340,med student,d',C,No
ID0199-phase5,39547122,6/12/26,151,Labeled,586841,med student,a',C,No
ID0199-phase5,39547122,6/13/26,78,Labeled,618830,med student,c',C,Yes
ID0207-phase5,39547123,6/4/26,106,Labeled,584340,med student,d',J,No
ID0207-phase5,39547123,6/11/26,79,Labeled,586841,med student,g',J,No
ID0207-phase5,39547123,6/4/26,80,Labeled,601253,med student,e',J,No
ID0209-phase5,39547124,6/12/26,119,Labeled,584340,med student,d',D,Yes
ID0209-phase5,39547124,6/12/26,114,Labeled,586841,med student,d',D,Yes
ID0209-phase5,39547124,6/12/26,39,Labeled,618830,med student,d',D,Yes
ID0211-phase5,39547125,6/6/26,238,Labeled,579918,med student,f',A,No
ID0211-phase5,39547125,6/6/26,75,Labeled,584340,med student,a',A,Yes
ID0211-phase5,39547125,6/7/26,178,Labeled,603017,med student,j',A,No
ID0215-phase5,39547126,6/1/26,64,Labeled,579474,med student,b',B,Yes
ID0215-phase5,39547126,6/11/26,61,Labeled,579918,med student,b',B,Yes
ID0215-phase5,39547126,6/1/26,111,Labeled,584340,med student,b',B,Yes
ID0216-phase5,39547127,6/9/26,27,Labeled,579547,med student,b',A,No
ID0216-phase5,39547127,6/7/26,162,Labeled,579918,med student,a',A,Yes
ID0216-phase5,39547127,6/9/26,141,Labeled,584340,med student,b',A,No
ID0217-phase5,39547128,6/3/26,207,Labeled,579547,med student,c',C,Yes
ID0217-phase5,39547128,6/3/26,125,Labeled,584340,med student,c',C,Yes
ID0217-phase5,39547128,6/4/26,69,Labeled,601253,med student,b',C,No
ID0220-phase5,39547129,6/5/26,153,Labeled,579547,med student,b',B,Yes
ID0220-phase5,39547129,6/5/26,100,Labeled,584340,med student,b',B,Yes
ID0220-phase5,39547129,6/4/26,167,Labeled,601253,med student,b',B,Yes
ID0221-phase5,39547130,6/11/26,103,Labeled,579547,med student,b',A,No
ID0221-phase5,39547130,6/5/26,180,Labeled,579918,med student,a',A,Yes
ID0221-phase5,39547130,6/11/26,55,Labeled,586841,med student,b',A,No
ID0229-phase5,39547131,6/3/26,200,Labeled,579474,med student,c',A,No
ID0229-phase5,39547131,6/4/26,130,Labeled,579547,med student,a',A,Yes
ID0229-phase5,39547131,6/4/26,149,Labeled,584340,med student,a',A,Yes
ID0232-phase5,39547132,6/3/26,180,Labeled,579474,med student,b',B,Yes
ID0232-phase5,39547132,6/4/26,129,Labeled,584340,med student,b',B,Yes
ID0232-phase5,39547132,6/4/26,613,Labeled,601253,med student,b',B,Yes
ID0233-phase5,39547133,6/1/26,72,Labeled,579474,med student,e',B,No
ID0233-phase5,39547133,5/30/26,71,Labeled,584340,med student,a',B,No
ID0233-phase5,39547133,5/30/26,309,Labeled,618830,med student,e',B,No
ID0235-phase5,39547134,6/5/26,165,Labeled,579918,med student,e',B,No
ID0235-phase5,39547134,6/6/26,133,Labeled,584340,med student,f',B,No
ID0235-phase5,39547134,6/7/26,230,Labeled,603017,med student,d',B,No
ID0236-phase5,39547135,6/8/26,143,Labeled,579547,med student,c',C,Yes
ID0236-phase5,39547135,6/5/26,292,Labeled,601253,med student,c',C,Yes
ID0236-phase5,39547135,6/5/26,89,Labeled,603017,med student,c',C,Yes
ID0237-phase5,39547136,6/7/26,22,Labeled,579474,med student,b',A,No
ID0237-phase5,39547136,6/8/26,198,Labeled,579918,med student,d',A,No
ID0237-phase5,39547136,6/11/26,112,Labeled,584340,med student,d',A,No
ID0238-phase5,39547137,5/29/26,148,Labeled,584340,med student,a',D,No
ID0238-phase5,39547137,5/29/26,73,Labeled,586831,med student,a',D,No
ID0238-phase5,39547137,5/28/26,48,Labeled,672563,med student,a',D,No
ID0242-phase5,39547138,6/7/26,79,Labeled,579474,med student,a',A,Yes
ID0242-phase5,39547138,6/5/26,211,Labeled,579547,med student,a',A,Yes
ID0242-phase5,39547138,6/5/26,124,Labeled,579918,med student,a',A,Yes
ID0242-phase5,39547138,6/4/26,297,Labeled,601253,med student,b',A,No
ID0242-phase5,39547138,6/4/26,72,Labeled,603017,med student,a',A,Yes
ID0243-phase5,39547139,6/12/26,98,Labeled,584340,med student,d',C,No
ID0243-phase5,39547139,6/12/26,77,Labeled,586841,med student,c',C,Yes
ID0243-phase5,39547139,6/12/26,241,Labeled,618830,med student,a',C,No
ID0244-phase5,39547140,6/7/26,297,Labeled,579918,med student,c',C,Yes
ID0244-phase5,39547140,6/8/26,114,Labeled,584340,med student,c',C,Yes
ID0244-phase5,39547140,6/11/26,70,Labeled,586841,med student,c',C,Yes
ID0247-phase5,39547141,6/12/26,131,Labeled,584340,med student,c',C,Yes
ID0247-phase5,39547141,6/12/26,60,Labeled,586841,med student,d',C,No
ID0247-phase5,39547141,6/12/26,90,Labeled,618830,med student,c',C,Yes
ID0249-phase5,39547142,6/2/26,66,Labeled,579547,med student,c',C,Yes
ID0249-phase5,39547142,6/2/26,256,Labeled,601253,med student,c',C,Yes
ID0249-phase5,39547142,6/9/26,119,Labeled,618830,med student,a',C,No
ID0251-phase5,39547143,6/12/26,51,Labeled,586841,med student,d',D,Yes
ID0251-phase5,39547143,6/13/26,125,Labeled,601253,med student,c',D,No
ID0251-phase5,39547143,6/13/26,124,Labeled,618830,med student,b',D,No
ID0253-phase5,39547144,6/10/26,81,Labeled,579918,med student,d',D,Yes
ID0253-phase5,39547144,6/9/26,121,Labeled,584340,med student,a',D,No
ID0253-phase5,39547144,6/12/26,110,Labeled,586841,med student,d',D,Yes
ID0254-phase5,39547145,6/11/26,181,Labeled,579547,med student,d',D,Yes
ID0254-phase5,39547145,6/11/26,85,Labeled,586841,med student,a',D,No
ID0254-phase5,39547145,6/12/26,71,Labeled,618830,med student,a',D,No
ID0256-phase5,39547146,6/11/26,21,Labeled,579547,med student,d',D,Yes
ID0256-phase5,39547146,6/11/26,98,Labeled,586841,med student,d',D,Yes
ID0256-phase5,39547146,6/12/26,93,Labeled,618830,med student,d',D,Yes
ID0262-phase5,39547147,6/4/26,123,Labeled,579918,med student,g',H,No
ID0262-phase5,39547147,6/4/26,140,Labeled,584340,med student,c',H,No
ID0262-phase5,39547147,6/12/26,56,Labeled,618830,med student,c',H,No
ID0265-phase5,39547148,6/1/26,46,Labeled,579474,med student,a',C,No
ID0265-phase5,39547148,6/8/26,104,Labeled,579547,med student,c',C,Yes
ID0265-phase5,39547148,6/1/26,130,Labeled,584340,med student,c',C,Yes
ID0268-phase5,39547149,6/1/26,56,Labeled,579474,med student,b',C,No
ID0268-phase5,39547149,6/3/26,102,Labeled,584340,med student,d',C,No
ID0268-phase5,39547149,6/2/26,110,Labeled,601253,med student,b',C,No
ID0270-phase5,39547150,6/1/26,21,Labeled,579547,med student,d',D,Yes
ID0270-phase5,39547150,6/2/26,87,Labeled,584340,med student,d',D,Yes
ID0270-phase5,39547150,6/11/26,56,Labeled,586841,med student,c',D,No
ID0275-phase5,39547151,6/4/26,209,Labeled,579547,med student,i',C,No
ID0275-phase5,39547151,6/4/26,155,Labeled,584340,med student,c',C,Yes
ID0275-phase5,39547151,6/4/26,96,Labeled,618830,med student,c',C,Yes
ID0278-phase5,39547152,6/11/26,125,Labeled,579547,med student,c',C,Yes
ID0278-phase5,39547152,6/11/26,76,Labeled,586841,med student,c',C,Yes
ID0278-phase5,39547152,6/12/26,51,Labeled,618830,med student,c',C,Yes
ID0281-phase5,39547153,6/1/26,62,Labeled,579474,med student,a',A,Yes
ID0281-phase5,39547153,6/11/26,126,Labeled,579918,med student,i',A,No
ID0281-phase5,39547153,6/1/26,100,Labeled,584340,med student,a',A,Yes
ID0284-phase5,39547154,5/30/26,123,Labeled,584340,med student,f',I,No
ID0284-phase5,39547154,5/29/26,33,Labeled,586831,med student,g',I,No
ID0284-phase5,39547154,5/28/26,60,Labeled,618830,med student,f',I,No
ID0291-phase5,39547155,6/11/26,113,Labeled,579918,med student,f',D,No
ID0291-phase5,39547155,6/11/26,139,Labeled,586841,med student,c',D,No
ID0291-phase5,39547155,6/13/26,57,Labeled,618830,med student,f',D,No
ID0292-phase5,39547156,6/1/26,33,Labeled,579474,med student,g',G,Yes
ID0292-phase5,39547156,6/1/26,136,Labeled,584340,med student,e',G,No
ID0292-phase5,39547156,6/2/26,258,Labeled,601253,med student,j',G,No
ID0293-phase5,39547157,6/1/26,70,Labeled,579474,med student,h',B,No
ID0293-phase5,39547157,6/1/26,124,Labeled,584340,med student,c',B,No
ID0293-phase5,39547157,6/10/26,31,Labeled,601253,med student,b',B,Yes
ID0296-phase5,39547158,6/13/26,171,Labeled,584340,med student,d',C,No
ID0296-phase5,39547158,6/12/26,93,Labeled,586841,med student,c',C,Yes
ID0296-phase5,39547158,6/13/26,75,Labeled,618830,med student,b',C,No
ID0297-phase5,39547159,6/9/26,22,Labeled,579547,med student,b',B,Yes
ID0297-phase5,39547159,6/4/26,160,Labeled,584340,med student,c',B,No
ID0297-phase5,39547159,6/4/26,108,Labeled,601253,med student,a',B,No
ID0298-phase5,39547160,6/3/26,60,Labeled,579474,med student,d',H,No
