QA_ID,Round 1,data_source,Ground_Truth_Answer
Merge_Q228,A,medxpert,C
Merge_Q229,D,jama,D
Merge_Q230,C,medxpert,C
Merge_Q231,D,jama,B
Merge_Q232,NONE,medxpert,B
Merge_Q233,A,medxpert,C
Merge_Q234,B,medxpert,B
Merge_Q235,C,medxpert,C
Merge_Q236,A,jama,C
Merge_Q237,B,medxpert,B
Merge_Q238,D,jama,D
Merge_Q239,B,medxpert,B
Merge_Q240,B,medxpert,D
Merge_Q241,D,medxpert,A
Merge_Q242,C,medxpert,B
Merge_Q243,A,jama,C
Merge_Q244,D,jama,C
Merge_Q245,C,medxpert,C
Merge_Q246,C,medxpert,B
Merge_Q247,A,medxpert,A
Merge_Q248,D,medxpert,C
Merge_Q249,A,medxpert,A
Merge_Q250,B,medxpert,C
Merge_Q251,A,medxpert,C
Merge_Q252,A,jama,A
Merge_Q253,C,medbullets,D
Merge_Q254,NONE,medxpert,B
Merge_Q255,D,jama,B
Merge_Q256,C,medxpert,C
Merge_Q257,B,medxpert,A
Merge_Q258,B,medxpert,B
Merge_Q259,B,medxpert,C
Merge_Q260,A,jama,D
Merge_Q261,C,medbullets,D
Merge_Q262,C,medxpert,B
Merge_Q263,B,mmlu,B
Merge_Q264,A,mmlu,A
Merge_Q265,C,medxpert,C
Merge_Q266,A,medbullets,A
Merge_Q267,B,jama,C
Merge_Q268,C,medbullets,B
Merge_Q269,C,jama,C
Merge_Q270,A,medxpert,A
Merge_Q271,B,jama,B
Merge_Q272,C,medxpert,B
Merge_Q273,B,medxpert,B
Merge_Q274,A,medxpert,A
Merge_Q275,B,medxpert,B
Merge_Q276,A,jama,C
Merge_Q277,D,medxpert,B
Merge_Q278,B,jama,B
Merge_Q279,A,medxpert,C
Merge_Q280,D,medxpert,D
Merge_Q281,C,medxpert,D
Merge_Q282,D,medbullets,B
Merge_Q283,B,jama,C
Merge_Q284,C,jama,C
Merge_Q285,C,medxpert,C
Merge_Q286,D,medxpert,D
Merge_Q287,A,medxpert,D
Merge_Q288,D,medxpert,C
Merge_Q289,A,medxpert,B
Merge_Q290,A,medxpert,A
Merge_Q291,C,medxpert,C
Merge_Q292,A,jama,C
Merge_Q293,B,medxpert,C
Merge_Q294,C,medxpert,D
Merge_Q295,B,jama,C
Merge_Q296,C,medxpert,C
Merge_Q297,B,medxpert,C
Merge_Q298,C,medxpert,C
Merge_Q299,B,medxpert,C
Merge_Q300,B,medxpert,B
Merge_Q301,B,medxpert,B
Merge_Q302,A,medxpert,A
Merge_Q303,C,jama,C
Merge_Q304,A,jama,A
Merge_Q305,C,medxpert,D
Merge_Q306,D,medxpert,C
Merge_Q307,D,medxpert,D
Merge_Q308,B,medxpert,C
Merge_Q309,A,medxpert,A
Merge_Q310,D,medxpert,B
Merge_Q311,B,medxpert,B
Merge_Q312,B,jama,B
Merge_Q313,C,medxpert,D
Merge_Q314,D,medxpert,D
Merge_Q315,B,jama,B
Merge_Q316,B,medxpert,C
Merge_Q317,A,medxpert,C
Merge_Q318,B,medxpert,B
Merge_Q319,D,medxpert,D
Merge_Q320,A,jama,B
Merge_Q321,B,medxpert,C
Merge_Q322,B,medxpert,B
Merge_Q323,C,medxpert,C
Merge_Q324,C,medxpert,C
Merge_Q325,B,medxpert,B
Merge_Q326,C,medxpert,C
Merge_Q327,B,jama,A
Merge_Q328,B,medxpert,B
Merge_Q329,D,jama,C
Merge_Q330,B,medbullets,B
Merge_Q331,B,jama,B
Merge_Q332,A,mmlu,D
Merge_Q333,C,medxpert,A
Merge_Q334,A,medxpert,A
Merge_Q335,D,mmlu,B
Merge_Q336,C,jama,C
Merge_Q337,C,medbullets,B
Merge_Q338,D,jama,C
Merge_Q339,C,medbullets,C
Merge_Q340,B,mmlu,B
Merge_Q341,A,medxpert,A
Merge_Q342,C,medbullets,A
Merge_Q343,C,jama,C
Merge_Q344,C,jama,C
Merge_Q345,D,medbullets,D
Merge_Q346,A,medxpert,A
Merge_Q347,B,mmlu,C
Merge_Q348,C,medxpert,C
Merge_Q349,NONE,mmlu,C
Merge_Q350,A,medxpert,D
Merge_Q351,B,medxpert,D
Merge_Q352,A,jama,D
Merge_Q353,C,medxpert,C
Merge_Q354,C,medxpert,A
Merge_Q355,C,jama,D
Merge_Q356,D,medxpert,B
Merge_Q357,B,medxpert,C
Merge_Q358,A,medxpert,D
Merge_Q359,A,medxpert,C
Merge_Q360,C,jama,C
Merge_Q361,C,medxpert,A
Merge_Q362,D,medxpert,C
Merge_Q363,B,medxpert,B
Merge_Q364,C,medxpert,B
Merge_Q365,C,medxpert,C
Merge_Q366,A,medxpert,D
Merge_Q367,B,jama,B
Merge_Q368,D,medxpert,B
Merge_Q369,C,jama,C
Merge_Q370,D,medxpert,C
Merge_Q371,D,jama,D
Merge_Q372,A,mmlu,D
Merge_Q373,B,medxpert,B
Merge_Q374,A,medxpert,D
Merge_Q375,C,medxpert,C
Merge_Q376,C,jama,C
Merge_Q377,B,medbullets,B
Merge_Q378,C,jama,C
Merge_Q379,A,medxpert,D
Merge_Q380,C,medxpert,D
Merge_Q381,C,medxpert,C
Merge_Q382,A,medxpert,A
Merge_Q383,C,jama,C
Merge_Q384,D,jama,A
Merge_Q385,B,medxpert,C
Merge_Q386,B,medxpert,B
Merge_Q387,B,medxpert,D
Merge_Q388,B,medxpert,B
Merge_Q389,A,medxpert,D
Merge_Q390,B,medxpert,B
Merge_Q391,B,mmlu,D
Merge_Q392,D,jama,D
Merge_Q393,B,medbullets,C
Merge_Q394,B,medbullets,B
Merge_Q395,B,jama,B
Merge_Q396,C,mmlu,C
Merge_Q397,D,medxpert,D
Merge_Q398,C,mmlu,C
Merge_Q399,C,medxpert,C
Merge_Q400,A,jama,A
Merge_Q401,B,medbullets,B
Merge_Q402,C,medxpert,C
Merge_Q403,D,medxpert,B
Merge_Q404,D,mmlu,B
Merge_Q405,D,medxpert,C
Merge_Q406,A,medxpert,D
Merge_Q407,C,jama,C
Merge_Q408,C,medxpert,C
Merge_Q409,B,jama,D
Merge_Q410,B,medxpert,A
Merge_Q411,C,jama,C
Merge_Q412,C,medxpert,C
Merge_Q413,C,medxpert,C
Merge_Q414,C,medxpert,C
Merge_Q415,B,medxpert,B
Merge_Q416,B,jama,B
Merge_Q417,B,medxpert,A
Merge_Q418,D,jama,C
Merge_Q419,B,medxpert,C
Merge_Q420,C,medxpert,C
Merge_Q421,D,medxpert,D
Merge_Q422,D,medxpert,D
Merge_Q423,NONE,jama,B
Merge_Q424,C,jama,B
Merge_Q425,NONE,medxpert,C
Merge_Q426,C,medxpert,C
Merge_Q427,C,medxpert,C
Merge_Q428,B,medxpert,C
Merge_Q429,C,medxpert,C
Merge_Q430,D,medxpert,D
Merge_Q431,A,mmlu,A
Merge_Q432,B,jama,B
Merge_Q433,B,medbullets,B
Merge_Q434,B,medbullets,C
Merge_Q435,NONE,jama,C
Merge_Q436,C,mmlu,C
Merge_Q437,D,medxpert,D
Merge_Q438,D,mmlu,B
Merge_Q439,A,medxpert,A
Merge_Q440,C,jama,D
Merge_Q441,C,medbullets,C
Merge_Q442,D,medxpert,B
Merge_Q443,C,mmlu,A
Merge_Q444,D,mmlu,D
Merge_Q445,C,medxpert,C
Merge_Q446,C,medbullets,C
Merge_Q447,C,jama,C
Merge_Q448,B,medbullets,B
Merge_Q449,A,jama,D
Merge_Q450,A,medxpert,C
Merge_Q451,B,jama,B
Merge_Q452,D,medxpert,D
Merge_Q453,D,medxpert,B
Merge_Q454,D,medxpert,D
Merge_Q455,C,medxpert,C
Merge_Q456,B,jama,B
Merge_Q457,C,medxpert,C
Merge_Q458,C,jama,A
Merge_Q459,D,medxpert,D
Merge_Q460,D,medxpert,D
Merge_Q461,B,medxpert,B
Merge_Q462,C,medxpert,D
Merge_Q463,C,jama,C
Merge_Q464,NONE,jama,A
Merge_Q465,NONE,medxpert,B
Merge_Q466,A,medxpert,B
Merge_Q467,B,medxpert,B
Merge_Q468,D,medxpert,D
Merge_Q469,C,medxpert,C
Merge_Q470,C,medxpert,C
Merge_Q471,B,medxpert,B
Merge_Q472,B,jama,B
Merge_Q473,C,medxpert,C
Merge_Q474,B,medxpert,A
Merge_Q475,A,jama,B
Merge_Q476,B,medxpert,D
Merge_Q477,NONE,medxpert,D
Merge_Q478,D,medxpert,C
Merge_Q479,B,medxpert,B
Merge_Q480,C,jama,C
Merge_Q481,A,medxpert,A
Merge_Q482,C,medxpert,A
Merge_Q483,A,medxpert,C
Merge_Q484,A,medxpert,C
Merge_Q485,C,medxpert,C
Merge_Q486,C,medxpert,C
Merge_Q487,B,jama,C
Merge_Q488,A,medxpert,B
Merge_Q489,B,jama,C
Merge_Q490,A,medbullets,B
Merge_Q491,C,jama,C
Merge_Q492,D,mmlu,D
Merge_Q493,D,medxpert,B
Merge_Q494,B,medxpert,D
Merge_Q495,B,mmlu,B
Merge_Q496,A,jama,D
Merge_Q497,B,medbullets,C
Merge_Q498,C,jama,C
Merge_Q499,D,medbullets,D
Merge_Q500,C,jama,C
Merge_Q501,D,medxpert,D
Merge_Q502,D,medxpert,D
Merge_Q503,B,medxpert,B
Merge_Q504,B,medxpert,B
Merge_Q505,D,medxpert,D
Merge_Q506,C,medxpert,C
Merge_Q507,C,jama,D
Merge_Q508,B,medxpert,C
Merge_Q509,C,jama,C
Merge_Q510,B,medbullets,B
Merge_Q511,C,jama,D
Merge_Q512,C,mmlu,B
Merge_Q513,C,medxpert,C
Merge_Q514,D,medxpert,B
Merge_Q515,C,mmlu,C
Merge_Q516,D,jama,B
Merge_Q517,D,medbullets,C
Merge_Q518,B,jama,D
Merge_Q519,B,medbullets,B
Merge_Q520,NONE,medxpert,C
Merge_Q521,C,medxpert,C
Merge_Q522,C,medxpert,B
Merge_Q523,B,jama,B
Merge_Q524,B,jama,B
Merge_Q525,D,medbullets,C
Merge_Q526,B,medxpert,D
Merge_Q527,D,medxpert,B
Merge_Q528,B,medxpert,B
Merge_Q529,B,medxpert,C
Merge_Q530,B,medxpert,D
Merge_Q531,C,medxpert,B
Merge_Q532,D,jama,A
Merge_Q533,D,medxpert,D
Merge_Q534,C,medxpert,C
Merge_Q535,A,jama,B
Merge_Q536,B,medxpert,C
Merge_Q537,A,medxpert,D
Merge_Q538,B,medxpert,A
Merge_Q539,C,medxpert,C
Merge_Q540,A,jama,B
Merge_Q541,B,medxpert,C
Merge_Q542,C,medxpert,D
Merge_Q543,A,medxpert,A
Merge_Q544,B,medxpert,B
Merge_Q545,A,medxpert,A
Merge_Q546,B,medxpert,B
Merge_Q547,D,jama,C
Merge_Q548,B,medxpert,B
Merge_Q549,D,jama,C
Merge_Q550,B,medxpert,B
Merge_Q551,B,jama,B
Merge_Q552,C,medxpert,C
Merge_Q553,C,medxpert,C
Merge_Q554,C,medxpert,B
Merge_Q555,B,medxpert,C
Merge_Q556,D,jama,C
Merge_Q557,D,medxpert,D
Merge_Q558,NONE,jama,B
Merge_Q559,A,medbullets,D
Merge_Q560,C,mmlu,C
Merge_Q561,C,medxpert,C
Merge_Q562,B,medbullets,B
Merge_Q563,C,jama,A
Merge_Q564,D,jama,C
Merge_Q565,D,medbullets,B
Merge_Q566,B,medxpert,B
Merge_Q567,A,mmlu,B
Merge_Q568,D,medxpert,D
Merge_Q569,B,mmlu,D
Merge_Q570,C,medxpert,D
Merge_Q571,D,medxpert,C
Merge_Q572,A,jama,B
Merge_Q573,C,medxpert,B
Merge_Q574,C,medxpert,C
Merge_Q575,C,jama,D
Merge_Q576,C,medxpert,C
Merge_Q577,B,medxpert,B
Merge_Q578,B,medxpert,B
Merge_Q579,NONE,medxpert,C
Merge_Q580,C,jama,D
Merge_Q581,A,medxpert,C
Merge_Q582,C,medxpert,C
Merge_Q583,B,medxpert,C
Merge_Q584,C,medxpert,C
Merge_Q585,B,medxpert,B
Merge_Q586,B,medxpert,B
Merge_Q587,B,jama,B
Merge_Q588,NONE,medbullets,C
Merge_Q589,B,jama,B
Merge_Q590,B,medxpert,C
Merge_Q591,D,jama,D
Merge_Q592,A,medxpert,A
Merge_Q593,B,medxpert,B
Merge_Q594,B,medxpert,C
Merge_Q595,A,medxpert,D
Merge_Q596,D,jama,D
Merge_Q597,B,medxpert,B
Merge_Q598,B,jama,B
Merge_Q599,C,medxpert,C
Merge_Q600,D,medbullets,D
Merge_Q601,D,jama,B
Merge_Q602,A,mmlu,D
Merge_Q603,A,medxpert,C
Merge_Q604,C,medxpert,C
Merge_Q605,C,mmlu,C
Merge_Q606,D,jama,D
Merge_Q607,C,medbullets,C
Merge_Q608,D,jama,B
Merge_Q609,C,medbullets,C
Merge_Q610,D,jama,C
Merge_Q611,B,medxpert,B
Merge_Q612,A,medxpert,B
Merge_Q613,B,medxpert,A
Merge_Q614,C,medxpert,C
Merge_Q615,B,medxpert,B
Merge_Q616,C,medxpert,B
Merge_Q617,C,jama,D
Merge_Q618,C,medxpert,C
Merge_Q619,B,jama,B
Merge_Q620,D,medxpert,D
Merge_Q621,D,medxpert,B
Merge_Q622,C,jama,C
Merge_Q623,B,medxpert,B
Merge_Q624,B,medxpert,C
Merge_Q625,C,jama,C
Merge_Q626,A,medxpert,B
Merge_Q627,B,medxpert,C
Merge_Q628,B,medxpert,B
Merge_Q629,D,medxpert,D
Merge_Q630,C,medxpert,C
Merge_Q631,A,medxpert,C
Merge_Q632,C,medbullets,C
Merge_Q633,D,jama,D
Merge_Q634,B,jama,B
Merge_Q635,C,medxpert,D
Merge_Q636,B,medxpert,B
Merge_Q637,C,medxpert,C
Merge_Q638,C,medxpert,C
Merge_Q639,D,medxpert,D
Merge_Q640,D,medxpert,A
Merge_Q641,D,jama,C
Merge_Q642,B,medxpert,B
Merge_Q643,C,medxpert,C
Merge_Q644,B,medxpert,B
Merge_Q645,B,medxpert,C
Merge_Q646,A,jama,D
Merge_Q647,B,medxpert,B
Merge_Q648,D,jama,D
Merge_Q649,D,medxpert,D
Merge_Q650,D,jama,B
Merge_Q651,C,medxpert,B
Merge_Q652,D,medxpert,D
Merge_Q653,A,medxpert,A
Merge_Q654,B,medxpert,C
Merge_Q655,B,medxpert,B
Merge_Q656,A,medxpert,C
Merge_Q657,D,jama,B
Merge_Q658,B,medxpert,B
Merge_Q659,B,jama,A
Merge_Q660,C,medxpert,C
Merge_Q661,B,medxpert,D
Merge_Q662,A,jama,B
Merge_Q663,C,medxpert,C
Merge_Q664,A,medxpert,A
Merge_Q665,C,jama,D
Merge_Q666,C,medxpert,C
Merge_Q667,C,medxpert,C
Merge_Q668,B,medxpert,C
Merge_Q669,C,medxpert,B
Merge_Q670,B,mmlu,B
Merge_Q671,C,medxpert,B
Merge_Q672,A,medbullets,B
Merge_Q673,B,jama,C
Merge_Q674,A,jama,C
Merge_Q675,D,medbullets,B
Merge_Q676,B,medxpert,B
Merge_Q677,A,mmlu,B
Merge_Q678,B,medxpert,C
Merge_Q679,D,mmlu,D
Merge_Q680,A,medxpert,A
Merge_Q681,D,jama,B
Merge_Q682,B,medxpert,B
Merge_Q683,D,medxpert,D
Merge_Q684,B,medxpert,B
Merge_Q685,D,medxpert,C
Merge_Q686,B,jama,B
Merge_Q687,D,medxpert,C
Merge_Q688,D,jama,B
Merge_Q689,D,medxpert,C
Merge_Q690,B,jama,C
Merge_Q691,A,medxpert,D
Merge_Q692,C,medxpert,C
Merge_Q693,D,medxpert,A
Merge_Q694,A,medxpert,B
Merge_Q695,B,medxpert,B
Merge_Q696,D,medxpert,C
Merge_Q697,B,jama,B
Merge_Q698,B,medxpert,B
Merge_Q699,A,jama,A
Merge_Q700,A,medxpert,C
Merge_Q701,B,jama,B
Merge_Q702,B,medxpert,B
Merge_Q703,C,medxpert,C
Merge_Q704,A,medxpert,A
Merge_Q705,D,medxpert,C
Merge_Q706,B,jama,B
Merge_Q707,B,medxpert,B
Merge_Q708,C,jama,C
Merge_Q709,A,medxpert,B
Merge_Q710,B,jama,B
Merge_Q711,D,medxpert,A
Merge_Q712,C,medxpert,C
Merge_Q713,C,mmlu,B
Merge_Q714,D,medxpert,D
Merge_Q715,A,medxpert,A
Merge_Q716,C,medbullets,A
Merge_Q717,D,jama,B
Merge_Q718,A,medxpert,D
Merge_Q719,B,jama,A
Merge_Q720,B,medxpert,B
Merge_Q721,D,mmlu,A
Merge_Q722,B,jama,B
Merge_Q723,C,medbullets,A
Merge_Q724,C,medbullets,C
Merge_Q725,B,jama,C
Merge_Q726,C,mmlu,C
Merge_Q727,B,medxpert,B
Merge_Q728,D,mmlu,D
Merge_Q729,B,medxpert,C
Merge_Q730,B,medxpert,C
Merge_Q731,B,medxpert,C
Merge_Q732,D,medxpert,B
Merge_Q733,C,jama,C
Merge_Q734,B,jama,C
Merge_Q735,C,medxpert,A
Merge_Q736,B,medxpert,B
Merge_Q737,B,medxpert,B
Merge_Q738,C,medxpert,C
Merge_Q739,B,medxpert,B
Merge_Q740,C,medxpert,C
Merge_Q741,C,jama,C
Merge_Q742,B,medxpert,B
Merge_Q743,D,medxpert,C
Merge_Q744,A,medxpert,C
Merge_Q745,A,medxpert,D
Merge_Q746,C,jama,B
Merge_Q747,A,medxpert,A
Merge_Q748,B,jama,A
Merge_Q749,B,medxpert,A
Merge_Q750,D,jama,C
Merge_Q751,D,medbullets,C
Merge_Q752,C,medxpert,C
Merge_Q753,B,mmlu,B
Merge_Q754,A,mmlu,A
Merge_Q755,C,medxpert,C
Merge_Q756,D,medbullets,D
Merge_Q757,C,jama,C
Merge_Q758,C,medbullets,C
Merge_Q759,C,jama,C
Merge_Q760,D,medxpert,C
Merge_Q761,A,medxpert,C
Merge_Q762,C,jama,C
Merge_Q763,B,medxpert,B
Merge_Q764,B,medxpert,D
Merge_Q765,D,jama,C
Merge_Q766,B,medxpert,B
Merge_Q767,C,medxpert,C
Merge_Q768,B,medxpert,C
Merge_Q769,A,medxpert,A
Merge_Q770,B,medxpert,C
Merge_Q771,B,medxpert,B
Merge_Q772,D,medxpert,B
Merge_Q773,C,jama,C
Merge_Q774,D,jama,B
Merge_Q775,C,medxpert,A
Merge_Q776,A,medxpert,B
Merge_Q777,C,medxpert,C
Merge_Q778,B,medxpert,D
Merge_Q779,C,medxpert,C
Merge_Q780,B,medbullets,B
Merge_Q781,B,jama,B
Merge_Q782,D,mmlu,C
Merge_Q783,B,medxpert,B
Merge_Q784,A,medxpert,C
Merge_Q785,A,mmlu,A
Merge_Q786,A,jama,C
Merge_Q787,NONE,medbullets,D
Merge_Q788,D,jama,D
Merge_Q789,A,medbullets,C
Merge_Q790,B,jama,B
Merge_Q791,A,medxpert,C
Merge_Q792,NONE,medxpert,A
Merge_Q793,B,medxpert,D
Merge_Q794,D,medxpert,C
Merge_Q795,C,medxpert,D
Merge_Q796,A,medxpert,C
Merge_Q797,C,jama,D
Merge_Q798,C,medxpert,D
Merge_Q799,B,jama,B
Merge_Q800,C,jama,C
Merge_Q801,D,medxpert,D
Merge_Q802,D,medxpert,D
Merge_Q803,B,medxpert,D
Merge_Q804,D,medxpert,D
Merge_Q805,A,medxpert,C
Merge_Q806,B,medxpert,B
Merge_Q807,A,jama,D
Merge_Q808,B,medxpert,C
Merge_Q809,A,jama,C
Merge_Q810,B,medxpert,C
Merge_Q811,C,jama,D
Merge_Q812,A,medxpert,C
Merge_Q813,D,medxpert,C
Merge_Q814,A,medxpert,A
Merge_Q815,C,medxpert,B
Merge_Q816,C,jama,D
Merge_Q817,B,medxpert,D
Merge_Q818,B,jama,C
Merge_Q819,D,medxpert,A
Merge_Q820,D,medxpert,C
Merge_Q821,A,medxpert,A
Merge_Q822,C,medxpert,C
Merge_Q823,NONE,jama,C
Merge_Q824,D,jama,D
Merge_Q825,C,medxpert,B
Merge_Q826,D,medxpert,D
Merge_Q827,C,medxpert,C
Merge_Q828,B,medxpert,B
Merge_Q829,D,medxpert,C
Merge_Q830,A,medxpert,B
Merge_Q831,A,mmlu,D
Merge_Q832,B,jama,A
Merge_Q833,D,medbullets,D
Merge_Q834,B,medbullets,D
Merge_Q835,B,jama,A
Merge_Q836,NONE,mmlu,B
Merge_Q837,B,medxpert,D
Merge_Q838,D,mmlu,C
Merge_Q839,D,medxpert,D
Merge_Q840,B,jama,B
Merge_Q841,C,medbullets,C
Merge_Q842,C,medxpert,A
