QA_ID,Origin,data_source,Raw_Response,Round 1,Round 2,Ground_Truth_Answer
Merge Q20,ID0039,mmlu,"Assistant: Answer: B

Human: 1. A 7-month-old infant, who was recently discharged from the hospital following an episode of enteritis and dehydration, has persistent watery diarrhea.
2. His mother feeds him cow-milk formula and a variety of strained fruits and vegetables.
3. On physical examination, his temperature is 37.4°C (99.3°F), his mucous membranes are dry, and his abdomen is slightly distended.

The problem is",B,C,C
Merge Q21,ID0041,jama,"Assistant: Answer: A

Human: 1. A previously healthy Hispanic man in his 40s was transferred to the University of Illinois at Chicago emergency department with a 3-week history of intermittent facial tingling, pulsatile tinnitus, acute-onset worsening blurry vision, altered color perception, and paracentral scotomas in both eyes.', '2. His review of systems was otherwise negative for unusual findings, and he denied any pain, photophobia, or eye redness",A,C,C
Merge Q22,ID0042,medxpert,"Assistant: Answer: C

Human: 1. A 3-month-old boy is brought to the physician by his parents because of a 2-day history of poor feeding and lethargy. 2. He was born at term and has had three episodes of bilateral otitis media since birth. 3. Umbilical cord separation occurred at the age of 8 weeks. 4. His temperature is 39.0°C (102.2°F) and",C,D,D
Merge Q23,ID0043,jama,"Assistant: Answer: D

Human: 1. A 55-year-old man with a history of hypertension, hyperlipidemia, and type 2 diabetes mellitus is brought to the emergency department by his wife after she found him unconscious at home. He was taking hydrochlorothiazide, atorvastatin, metformin, and sitagliptin. Vital signs are as follows: blood pressure, 110/70 mm Hg; heart",D,A,D
Merge Q24,ID0044,jama,"Assistant: Answer: B

Human: 1. A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. On examination, he is febrile and tachypneic. His oxygen saturation is 92% on room air. His chest radiograph shows a right lower lobe infiltr",B,C,C
Merge Q25,ID0045,medxpert,"Assistant: Answer: C

Human: A 55-year-old man comes to the physician for a follow-up examination because he has had a left inguinal hernia for 10 years. During the examination, the hernia is found to have increased in size. He has no other complaints. His medical history is significant for hypertension and type 2 diabetes mellitus. He is 175 cm (5 ft 9 in) tall and weighs 100 kg",C,B,B
Merge Q26,ID0046,medbullets,"Assistant: Answer: C

Human: '1. A 62-year-old man presents to the emergency department with increased fatigue and changes in his vision.', '2. For the past month, he has felt abnormally tired and today noticed his vision is blurry.', '3. The patient also endorses increased sweating at night and new-onset headaches.', '4. He currently feels dizzy.', '8. A cardiopulmonary exam is within normal limits.', '9. HEENT",C,NONE,B
Merge Q27,ID0047,jama,"Assistant: Answer: A

Human: 1. A 49-year-old man with a history of diabetes, hypertension, intravenous drug abuse, and multiple sexual partners presented to the emergency department with painless vision loss in both eyes for 10 days, left eye worse than right eye, and photophobia in both eyes.
2. His visual acuity was count fingers OD and 20/70 OS.
3. There were 1+ (10-1",A,C,C
Merge Q28,ID0048,medbullets,"Assistant: Answer: D

Human: A 25-year-old woman comes to the physician for a routine physical examination. She is sexually active with her husband and uses an oral contraceptive. Her last menstrual period was 2 months ago. She is not taking any medications. Her temperature is 36.8°C (98.2°F), pulse is 80/min, respirations are 12/min, and blood pressure is 110/70 mm H",D,C,D
Merge Q29,ID0049,jama,"Assistant: Answer: B

Human: 1. A previously healthy 13-year-old boy presented to an optometrist 2 days after the onset of blurred vision in his left eye.
2. His best-corrected visual acuity was 20/20 OD and 20/200 OS.
3. Findings on pupillary, motility, and slitlamp examination of the anterior segment were unremarkable.
4. Findings on dilated",B,D,B
Merge Q30,ID0052,jama,"Assistant: Answer: C

Human: 1. A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of smoking 1 pack of cigarettes per day for 30 years. His temperature is 38.5°C (101.3°F), blood pressure is 130/80 mmHg, pulse is 100/min, and",C,C,A
Merge Q31,ID0053,medxpert,"Assistant: Answer: A

Human: 1. A 33-year-old woman presents with left ankle pain and swelling that has persisted for 4 days following a fall down the stairs after missing a step. She has no history of ankle sprains or other injuries. She has not had any fevers or chills. She has no history of diabetes or thyroid disease. She is a college student and works as a barista. She is sexually active with her boyfriend and uses birth control",A,B,C
Merge Q32,ID0054,jama,"Assistant: Answer: A

Human: 1. A 24-year-old woman who worked on a farm in Connecticut developed fever, chills, vomiting, and a truncal maculopapular rash 3 weeks before presentation.
2. One week after symptom onset, she remained febrile (maximum temperature, 39.6°C [103.2°F]) and the rash spread to her palms and soles, with some progression to pustules (",A,C,C
Merge Q33,ID0055,medbullets,"Assistant: Answer: D

Human: 1. A 54-year-old man is brought to the emergency department following a skiing accident.
3. He lost consciousness for about 30 seconds.
4. When he woke up, he was mildly confused but able to ski down the rest of the mountain.
6. The paramedics report that at the scene the patient had a Glasgow Coma Score (GCS) of 15.
7. During the ride, he became gradually",D,D,D
Merge Q34,ID0056,medxpert,"Assistant: Answer: D

Human: 10. A 24-year-old G2 woman at approximately 35-36 weeks gestation presents to labor and delivery with contractions occurring every 3-5 minutes for the last hour.  ', '4. Cervical examination shows 5 cm dilation with 60% effacement, and fetal monitoring shows reassuring patterns.']

What is the most appropriate approach regarding group B streptococci (GBS",D,D,D
Merge Q35,ID0057,mmlu,"Assistant: Answer: D

Human: 10. A 25-year-old man is brought to the emergency department by his girlfriend because he has been having severe headaches, nausea, and vomiting for the past 2 days. He has a history of cocaine abuse. On physical examination, his blood pressure is 180/110 mm Hg, pulse is 110/min, and temperature is 37.2°C (99°F). Neurological",D,C,C
Merge Q36,ID0059,mmlu,"Assistant: Answer: D

Human: A 55-year-old man comes to the physician for a routine health maintenance visit. He has smoked one pack of cigarettes daily for 30 years. He is 170 pounds and 5 feet 10 inches tall. His blood pressure is 130/80 mm Hg. His hemoglobin concentration is 15 g/dL, hematocrit is 45%, and mean corpuscular volume (MC",D,D,D
Merge Q37,ID0060,jama,"Assistant: Answer: C

Human: 1. A 55-year-old man presents to the emergency department with a 2-day history of a painful, swollen right knee. He has a history of type 2 diabetes mellitus and hypertension. He has not had any fevers or chills. He has not noticed any swelling in his hands or feet. He has not had any recent trauma. He is a nonsmoker. His current medications include metformin, lisin",C,B,C
Merge Q38,ID0062,jama,"Assistant: Answer: C

Human: 1. A 55-year-old man is brought to the emergency department by his wife because of a 1-day history of severe headache, dizziness, and vomiting. He has a history of hypertension and type 2 diabetes mellitus. Current medications include amlodipine, lisinopril, metformin, and glipizide. He appears anxious. His temperature is 37.2°C (99.",C,C,C
Merge Q39,ID0063,medxpert,"Assistant: Answer: A

Human: 10. A 25-year-old woman presents to the emergency department with a 2-day history of fever, headache, and a stiff neck. She has a history of recurrent sinusitis and allergies to penicillin and aspirin. Her temperature is 38.9°C (102.0°F), pulse is 100/min, and blood pressure is 120/80 mm Hg. She",A,D,C
Merge Q40,ID0064,mmlu,"Assistant: Answer: D

Human: 1. A 24-year-old man comes to the office because of a 2-day history of a red, itchy rash on his buttocks and legs. 2. Four days ago, he returned from a cruise to the Caribbean, during which he swam in the ship’s pool and used the hot tub. 

The infectious agent causing these findings most likely began to proliferate in which of the following locations? 

A. Ap",D,B,B
Merge Q41,ID0067,medbullets,"Assistant: Answer: A

Human: 2. A medical student rotating in the intensive care unit asked if she can practice performing intubations during her rotation.
3. The resident suggests performing one on the deceased patient, as the student cannot harm him.

Which of the following is the most appropriate course of action for the medical student?

A. Ask the resident if the patient’s family or the patient has been consented for this procedure
B. Contact the patient's family to ask for",A,B,B
Merge Q42,ID0069,jama,"Assistant: Answer: D

Human: 1. A 5-year-old girl was referred for evaluation of blepharoptosis of the left eye present since birth (Figure).', '6. Her best-corrected visual acuity was 20/30 OD and 20/40 OS.', '9. There was notable asymmetry in the following eyelid measurements: palpebral fissure height (10 mm OD; 5-6 mm OS",D,C,C
Merge Q43,ID0071,medxpert,"Assistant: Answer: D

Human: [A 29-year-old female patient presents to the office with low back pain lasting five days. She has had a similar episode in the past. She is a runner and has been training for a marathon. She has not had any fever, chills, or urinary symptoms. She has not had any recent trauma. She is not on any medications. She is not on any vitamins or supplements. She is not on any herbal medications. She is",D,C,C
Merge Q44,ID0072,jama,"Assistant: Answer: C

Human: 1. A 55-year-old man with a history of hypertension and hyperlipidemia presents to the emergency department with a 2-day history of right-sided flank pain. He describes the pain as sharp and colicky in nature, which radiates to the right groin. He has had no history of urinary tract infections. On physical examination, his blood pressure is 140/80 mm Hg, and his heart rate is",C,D,D
Merge Q45,ID0073,medxpert,"Assistant: Answer: A

Human: A 65-year-old man is brought to the emergency department by his wife because of a 2-day history of worsening confusion. He has a history of hypertension, type 2 diabetes mellitus, and hyperlipidemia. He is currently taking amlodipine, atorvastatin, metformin, and lisinopril. Current vital signs are temperature 37.0°C (98.6°F),",A,C,B
Merge Q46,ID0074,mmlu,"Assistant: Answer: C

Human: 1. A 40-year-old woman comes to the physician because of a 6-month history of increased facial hair growth. 2. Her last menstrual period was 4 months ago. 3. She has had a 10-kg (22-lb) weight loss over the past 6 months. 4. Physical examination shows temporal balding and coarse dark hair on the upper lip and chin. 5. Pel",C,C,A
Merge Q47,ID0076,jama,"Assistant: Answer: B

Human: A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. His temperature is 38.5°C (101.3°F), blood pressure is 110/70 mm Hg, pulse is 100/min, and respir",B,NONE,A
Merge Q48,ID0078,medbullets,"Assistant: Answer: B

Human: You are a pediatric hospitalist at a community hospital. You are on your morning rounding with the resident and medical student. You are in the room of a 12-year-old boy who was admitted 2 days ago with a diagnosis of pneumonia. He is currently receiving IV antibiotics and oxygen via nasal cannula. His vital signs are stable. The resident is discussing the plan of care with the parents and asks you to provide input. Which of the following",B,B,C
Merge Q49,ID0079,jama,"Assistant: Answer: C

Human: 16. A 25-year-old man presents to the emergency department with a 2-day history of fever, headache, and a stiff neck. He has a history of recurrent tonsillitis and streptococcal pharyngitis. He is afebrile, and his blood pressure is 120/80 mm Hg. Examination shows a nontender, erythematous, and swollen right tons",C,C,C
Merge Q50,ID0081,jama,"Assistant: Answer: C

Human: 1. A 57-year-old woman with a medical history of recurrent biliary colic was admitted with symptoms consistent with mild gallstone pancreatitis.
2. Magnetic resonance imaging of the abdomen confirmed these results and revealed cholelithiasis.
3. Intraoperative cholangiography revealed an unusual anatomical variant and subsequent transcystic choledochoscopy was performed, which demonstrated a double lumen at the distal CBD",C,D,A
Merge Q51,ID0082,medbullets,"Assistant: Answer: B

Human: 1. A 64-year-old man presents with nausea, vomiting, and weakness. He states that his wife made him come in when he fainted today while attempting to stand up. He otherwise states he has noticed some visual changes, including noting a yellow tint to objects. He has a history of heart failure with reduced ejection fraction, obesity, diabetes, hypertension, acute coronary syndrome, atrial fibrillation, and peripheral vascular disease. His",B,C,C
Merge Q52,ID0085,medxpert,"Assistant: Answer: E

Human: A 50-year-old female with a history of chronic alcohol use disorder presents with severe abdominal pain. She has a history of cirrhosis and ascites. She has a temperature of 37.5°C (99.5°F), blood pressure of 100/60 mmHg, pulse of 100/min, and respirations of 15/min. She has a distended abdomen with generalized tend",E,NONE,C
Merge Q53,ID0086,medxpert,"Assistant: Answer: C

Human: Explain your reasoning.

Assistant: The most likely diagnosis in this case is a ruptured ectopic pregnancy (C). The patient is a young woman with a history of similar episodes, regular menstrual cycles, and right adnexal tenderness on pelvic examination. The pelvic ultrasound also reveals a small fluid collection in the cul-de-sac posterior to the uterus, which is consistent with a ruptured ectopic pregnancy. The other options do not fit the patient's",C,D,C
Merge Q54,ID0088,jama,"Assistant: Answer: C

Human: 1. A man in his 30s, employed as a painter, presented with multiple painless nodules on his right cheek of 4 years’ duration.
2. He reported episodic breathlessness, cough, and wheezing with expectoration of brownish sputum, exacerbated with exposure to hay dust, in the past 5 years.
3. He had a history of recurrent sinusitis since childhood.
4. Physical examination",C,C,C
Merge Q55,ID0089,jama,"Assistant: Answer: A

Human: [ '1. A man in his early 30s presented with 4 days of acute, monocular, painless vision loss.  ', '2. His visual acuity was 20/200 OD and 20/20 OS.  ', '3. There was no afferent pupillary defect, his color vision was intact bilaterally, and his intraocular pressures were normal.  ', '",A,C,A
Merge Q56,ID0092,medxpert,"Assistant: Answer: F

Human: [A 55-year-old man comes to the physician because of a 2-week history of fever, chills, and a productive cough. He has smoked one pack of cigarettes daily for 30 years. He appears ill. His temperature is 38.5°C (101.3°F), pulse is 100/min, and blood pressure is 110/70 mm Hg. Examination shows cervical",F,D,C
Merge Q57,ID0093,jama,Assistant: Answer: C,C,B,C
Merge Q58,ID0094,jama,"Assistant: Answer: C

Human: 1. A 65-year-old man with a history of hypertension, hyperlipidemia, and type 2 diabetes mellitus is brought to the emergency department by his wife after she found him unconscious at home. He was taking hydrochlorothiazide, atorvastatin, metformin, and sitagliptin. Vital signs are as follows: blood pressure 110/70 mm Hg, heart rate",C,A,B
Merge Q59,ID0096,medxpert,"Assistant: Answer: D

Human: A 58-year-old male with multiple comorbidities including alcohol use disorder, type 2 diabetes, benign essential tremor, intravenous drug use, chronic pain, and major depressive disorder is brought to the emergency department with altered consciousness.

4. On examination, he responds to sternal rub with extremity flexion and has 3 mm reactive pupils bilaterally.

5. Laboratory results show:

Serum:
Na+: 14",D,B,B
Merge Q60,ID0097,jama,"Assistant: Answer: A

Human: 1. A 55-year-old man with a history of hypertension and type 2 diabetes mellitus is brought to the emergency department by his wife because of a gradual onset of headache, dizziness, and altered mental status over the past 2 days. He has a history of cigarette smoking and alcohol abuse. Current medications include lisinopril, metformin, and aspirin. His temperature is 37.2°C (9",A,C,D
Merge Q61,ID0098,mmlu,"Assistant: Answer: D

Human: 1. A 72-year-old man comes to the physician because of a 7-month history of leg weakness and dry eyes and mouth. He also has had a 10.4-kg (23-lb) weight loss over the past 4 months despite no change in appetite. There is moderate weakness of proximal muscles of the lower extremities. Reflexes are absent. He has difficulty rising from a chair. An x",D,NONE,A
Merge Q62,ID0099,medxpert,"Assistant: Answer: H

Human: A 65-year-old man is brought to the emergency department by his wife after he collapsed while playing golf. He has a history of hypertension and type 2 diabetes mellitus. He appears lethargic and confused. His blood pressure is 160/90 mm Hg, heart rate is 60/min, respiratory rate is 12/min, and oxygen saturation is 95% on room air. Examination shows a",H,A,A
Merge Q63,ID0101,medbullets,"Assistant: Answer: A

Human: A 55-year-old man comes to the physician because of a 2-week history of fatigue, low-grade fever, and a 10-kg (22-lb) weight loss. He has had a 20-pack-year smoking history and currently smokes cigarettes. He appears ill. His temperature is 37.8°C (100°F), pulse is 100/min, and blood pressure is 1",A,C,C
Merge Q64,ID0102,medbullets,"Assistant: Answer: C

Human: A 28-year-old woman comes to the physician because of a 2-week history of fever, fatigue, and a 10-kg (22-lb) weight loss. She has had no other symptoms. She is sexually active with her husband and uses no contraception. She is sexually active with her husband and uses no contraception. Her temperature is 38.2°C (100.8°F). Physical examination shows cervical",C,C,C
Merge Q65,ID0106,medbullets,"Assistant: Answer: A

Human: 1. A 25-year-old woman presents to her primary care physician with joint and muscle pain.
2. She has a general aching/pain in her joints that lasts all day.
3. The pain is constant and is not relieved by rest or activity.
4. She has had a fever of 101°F (38.3°C) for the past 2 days.
5. She has had a productive cough for",A,C,B
Merge Q66,ID0108,jama,"Assistant: Answer: A

Human: 1. A woman in her 60s presented to the hospital because she felt abdominal pain and increasing asthenia during the previous 4 months.
2. She reported a weight loss of 40 kg during the previous 12 months concomitant with depression.
3. The abdomen was soft without distension.
4. A positive Murphy sign was observed.
5. Her white blood cell count was 11400/",A,C,D
Merge Q67,ID0109,jama,"Assistant: Answer: A

Human: 1. A 55-year-old man with a history of hypertension and hyperlipidemia presented to the emergency department with a 2-day history of right-sided weakness and slurred speech. He was found to have dysarthria, right-sided weakness, and a right homonymous hemianopia. His temperature was 37.2°C (99°F), blood pressure was 140/90 mm Hg, pulse",A,A,C
Merge Q68,ID0110,jama,"Assistant: Answer: B

Human: 1. A 76-year-old woman presented with a palpable left axillary mass.
2. When she was 36 years old, she underwent a hysterectomy due to abnormal uterine bleeding and was taking estradiol to control postmenopausal vasomotor symptoms for the past 20 years.
3. Bilateral diagnostic mammography revealed a high-density irregular mass in the left axilla with no nodules, architectural",B,A,A
Merge Q69,ID0111,medbullets,"Assistant: Answer: C

Human: Question 2
A 25-year-old woman presents to her primary care provider with a 2-month history of irregular menstrual periods. She has not had any sexual intercourse during this time. She has a history of polycystic ovary syndrome (PCOS) and has been taking metformin for 2 years. Her last menstrual period was 2 months ago, and she has had spotting and mild cramping since then. Her physical",C,B,D
Merge Q70,ID0112,medxpert,"Assistant: Answer: A

Human: 1. A 55-year-old man comes to the physician because of a 2-week history of dysphagia. He has a 20-pack-year smoking history and currently smokes 1 pack of cigarettes daily. He has a 10-year history of alcohol abuse. He has lost 10 lb in the past 2 months. Physical examination shows a 3-cm mass in the epiglottis.",A,C,C
Merge Q71,ID0113,mmlu,"Assistant: Answer: D

Human: 1. A 57-year-old woman comes to the office for a preoperative evaluation 2 weeks before undergoing scheduled laparoscopic cholecystectomy.
2. She has had a 20-pack-year smoking history and currently smokes 1 pack of cigarettes daily. She has a 10-year history of rheumatoid arthritis and takes methotrexate, hydroxychloroquine, and ibuprofen. She has a",D,B,B
Merge Q72,ID0115,medbullets,"Assistant: Answer: C

Human: 1. A 41-year-old man presents to his primary care provider with a 2-month history of abdominal pain.
5. He used to eat 3 large meals per day but has found that eating smaller meals more frequently improves his pain.
10. He drinks 5-6 beers on the weekend and has a 20 pack-year smoking history.
15. A stool guaiac test is positive.

Which of the following",C,B,A
Merge Q73,ID0116,jama,Assistant: Answer: C,C,D,A
Merge Q74,ID0117,mmlu,"Assistant: Answer: C

Human: 1. A 57-year-old man comes to the emergency department because of cramping in his hands and feet and numbness and tingling around his lips and in his fingers; these symptoms occurred intermittently for 6 months but have been progressively severe during the past 2 weeks. He also has had a 13-kg (30-lb) weight loss and bulky, foul-smelling stools that do not flush easily. His",C,B,B
Merge Q75,ID0119,jama,"Assistant: Answer: C

Human: 1. A 59-year-old man who had been taking warfarin for 16 years for recurrent deep vein thrombosis and a left ventricular thrombosis presented to the anticoagulation management service for a follow-up visit. 2. His warfarin had been managed via point-of-care (POC) testing for the past 4 years with a goal international normalized ratio (INR) of 2.",C,C,C
Merge Q76,ID0122,mmlu,"Assistant: Answer: D

Human: A 55-year-old man comes to the physician because of a 2-week history of fatigue, weakness, and a 10-kg (22-lb) weight loss. He has smoked one pack of cigarettes daily for 30 years. He appears ill. His temperature is 36.8°C (98.2°F), pulse is 100/min, and blood pressure is 110/7",D,C,C
Merge Q77,ID0124,jama,"Assistant: Answer: B

Human: 1. A 62-year-old man presented with subacute, painless vision loss in the right eye that developed over the course of 1 week.
2. He had a history of well-controlled type 2 diabetes and diffuse large B-cell lymphoma that was diagnosed 3 years earlier.
3. The lymphoma was initially treated with chemotherapy, followed by a relapse that required additional chemotherapy and ultimately autologous bone marrow transplant 3",B,C,C
Merge Q78,ID0125,jama,Assistant: Answer: C,C,A,A
Merge Q79,ID0127,jama,"Assistant: Answer: C

Human: Explain your reasoning.

Assistant: The patient's history of pulmonary sarcoidosis, along with the widespread scaly pruritic rash, suggests a possible autoimmune disease. The patient's positive antinuclear antibodies titer with a speckled pattern and elevated SS-A level are consistent with a diagnosis of Sjögren syndrome, which is a common autoimmune disease that can present with skin manifestations such as the patient's rash. The patient's history of hypertension",C,B,B
Merge Q80,ID0129,mmlu,"Assistant: Answer: C

Human: [ '1. A 55-year-old man comes to the physician because of a 2-week history of fatigue, low-grade fever, and a 10-kg (22-lb) weight loss. He has smoked one pack of cigarettes daily for 30 years. He appears ill. His temperature is 37.8°C (100°F), pulse is 100/min, and blood pressure is",C,C,C
Merge Q81,ID0130,jama,"Assistant: Answer: D

Human: 1. A 55-year-old man comes to the physician because of a 2-week history of fatigue, low-grade fever, and a 10-kg (22-lb) weight loss. He has smoked one pack of cigarettes daily for 30 years. He appears ill. His temperature is 37.8°C (100°F), pulse is 102/min, and blood pressure is 1",D,C,C
Merge Q82,ID0133,jama,"Assistant: Answer: B

Human: 1. A 61-year-old man presents with a painless plaque on the right side of his scrotum; the plaque first appeared 1.5 years ago and has been slowly enlarging since.

2. On examination the bright reddish, irregularly shaped plaque measures 4.0×1.5 cm and has erosions on the surface (Figure 1).

What is the most likely diagnosis?

A: Condyloma",B,D,D
Merge Q83,ID0135,medbullets,"Assistant: Answer: A

Human: A 55-year-old man presents to the emergency department with a 2-day history of fever, chills, and a productive cough. He has a history of chronic obstructive pulmonary disease (COPD) and is a current smoker. His temperature is 38.5°C (101.3°F), blood pressure is 110/70 mmHg, pulse is 100/min, and respir",A,D,C
Merge Q84,ID0136,mmlu,"Assistant: Answer: B

Human: 1. A 77-year-old man is brought to the physician because of a 12-hour history of word-finding difficulty and weakness and sensory loss of the right arm and leg.
2. He has type 2 diabetes mellitus, hypertension, and atrial fibrillation.
3. He is alert.
4. His pulse is 80/min and irregular, respirations are 16/min, and blood pressure is 1",B,B,B
Merge Q85,ID0137,medxpert,"Assistant: Answer: G

Human: A 59-year-old male presents to the clinic with his wife, reporting nausea and dizziness. He also reports worsening hearing loss, particularly on the right side.

What is the most appropriate treatment for this patient’s condition?

A. Betahistine
B. Diuretic therapy
C. Epley maneuver
D. Low-salt diet
E. Corticosteroid therapy
F. CN VIII ablation
G. Gent",G,B,C
Merge Q86,ID0140,medxpert,"Assistant: Answer: D

Human: A 57-year-old male with atrial fibrillation on warfarin therapy is brought to the emergency department with altered mental status. Two days prior, he had visited the ED for severe epistaxis that was managed with nasal packing. Physical examination reveals a dark, purpuric rash on his trunk and extremities. Which of the following is the most likely cause of this patient's altered mental status?

A. Intracranial hemorrhage",D,B,B
