model,Origin,concordance_pct,n_sentence_pairs,missing_model_row,model_csv
GPT4o,ID0094,33.33333333333333,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0096,60.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0098,57.14285714285714,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0110,77.77777777777779,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0111,42.85714285714285,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0112,100.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0113,0.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0115,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0116,50.0,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0117,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0122,100.0,1,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0127,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0129,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0133,100.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0136,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0137,50.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0140,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0141,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0148,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0149,50.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0150,9.090909090909092,11,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0151,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0152,0.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0153,100.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0154,66.66666666666666,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0155,0.0,12,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0161,56.25,16,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0162,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0164,66.66666666666666,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0165,40.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0166,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0168,85.71428571428571,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0169,40.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0170,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0177,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0182,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0184,14.285714285714285,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0185,50.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0186,54.54545454545454,11,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0189,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0190,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0193,0.0,1,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0198,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0199,44.44444444444444,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0207,100.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0209,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0211,20.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0215,28.57142857142857,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0216,100.0,1,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0217,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0220,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0221,66.66666666666666,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0229,25.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0232,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0233,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0235,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0236,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0237,60.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0238,71.42857142857143,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0242,33.33333333333333,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0243,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0244,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0247,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0249,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0251,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0253,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0254,50.0,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0256,75.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0262,50.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0265,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0268,12.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0270,57.14285714285714,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0275,20.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0278,50.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0281,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0284,83.33333333333334,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0291,0.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0292,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0293,100.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0296,0.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0297,75.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0298,100.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0300,75.0,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0302,33.33333333333333,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0303,75.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0304,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0305,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0307,40.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0309,50.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0310,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0313,100.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0314,0.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0315,40.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0317,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0320,44.44444444444444,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0321,57.14285714285714,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0324,0.0,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0325,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0327,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0328,20.0,20,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0330,60.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0332,28.57142857142857,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0334,55.55555555555556,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0336,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0337,63.63636363636363,11,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0339,0.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0345,40.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0349,100.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0352,80.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0353,0.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0356,33.33333333333333,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0357,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0359,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0360,25.0,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0363,0.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0364,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0367,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0368,60.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0371,80.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0376,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0379,0.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0382,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0385,40.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0388,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0389,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0391,100.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0393,42.85714285714285,14,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0395,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0396,66.66666666666666,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0397,40.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0399,57.14285714285714,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0400,50.0,10,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0403,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0405,44.44444444444444,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0406,57.14285714285714,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0407,100.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0409,50.0,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0416,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0417,27.27272727272727,11,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0421,70.0,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0422,50.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0426,33.33333333333333,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0428,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0429,50.0,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0433,75.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0435,0.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0437,50.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0438,25.0,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0440,20.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0447,33.33333333333333,6,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0449,46.15384615384615,13,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0453,42.85714285714285,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0455,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0458,50.0,2,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0463,62.5,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0466,78.57142857142857,14,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0467,57.14285714285714,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0468,14.285714285714285,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0469,66.66666666666666,4,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0470,60.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0471,25.0,8,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0472,55.55555555555556,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0473,50.0,3,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0478,45.45454545454545,11,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0483,0.0,9,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0488,0.0,5,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
GPT4o,ID0490,0.0,7,False,/orcd/home/002/yuexing/NeuRIPS25/Physician_Labels/results/GPT4o_MatchRate.csv
