QA_ID,Origin,Round 2,Round 1,Ground_Truth,data_source
Merge Q50,ID0081,C,A,D,jama
Merge Q51,ID0082,B,C,B,medbullets
Merge Q52,ID0085,E,A,J,medxpert
Merge Q53,ID0086,D,D,H,medxpert
Merge Q54,ID0088,C,C,B,jama
Merge Q55,ID0089,A,C,A,jama
Merge Q56,ID0092,B,D,B,medxpert
Merge Q57,ID0093,C,A,C,jama
Merge Q58,ID0094,C,A,C,jama
Merge Q59,ID0096,D,B,E,medxpert
Merge Q60,ID0097,D,C,D,jama
Merge Q61,ID0098,D,B,D,mmlu
Merge Q62,ID0099,D,A,E,medxpert
Merge Q63,ID0101,A,C,A,medbullets
Merge Q64,ID0102,C,C,D,medbullets
Merge Q65,ID0106,A,C,C,medbullets
Merge Q66,ID0108,A,D,C,jama
Merge Q67,ID0109,A,D,A,jama
Merge Q68,ID0110,B,C,B,jama
Merge Q69,ID0111,D,B,D,medbullets
Merge Q70,ID0112,G,C,D,medxpert
Merge Q71,ID0113,D,B,D,mmlu
Merge Q72,ID0115,B,D,D,medbullets
Merge Q73,ID0116,A,D,A,jama
Merge Q74,ID0117,B,B,D,mmlu
Merge Q75,ID0119,C,C,D,jama
Merge Q76,ID0122,D,C,D,mmlu
Merge Q77,ID0124,C,C,C,jama
Merge Q78,ID0125,B,A,D,jama
Merge Q79,ID0127,D,B,B,jama
Merge Q80,ID0129,C,C,A,mmlu
Merge Q81,ID0130,D,C,C,jama
Merge Q82,ID0133,D,D,D,jama
Merge Q83,ID0135,B,C,A,medbullets
Merge Q84,ID0136,B,B,B,mmlu
Merge Q85,ID0137,A,D,D,medxpert
Merge Q86,ID0140,D,B,G,medxpert
Merge Q87,ID0141,A,A,I,medxpert
Merge Q88,ID0142,C,C,C,jama
Merge Q89,ID0144,B,A,A,medbullets
Merge Q90,ID0146,A,B,A,jama
Merge Q91,ID0147,B,C,B,jama
Merge Q92,ID0148,I,D,C,medxpert
Merge Q93,ID0149,B,A,B,jama
Merge Q94,ID0150,C,A,A,jama
Merge Q95,ID0151,J,B,J,medxpert
Merge Q96,ID0152,B,D,C,medbullets
Merge Q97,ID0153,D,C,D,jama
Merge Q98,ID0154,A,D,A,mmlu
Merge Q99,ID0155,C,B,C,jama
Merge Q100,ID0157,C,D,C,jama
Merge Q101,ID0161,C,B,C,jama
Merge Q102,ID0162,D,A,A,medbullets
Merge Q103,ID0163,B,B,C,jama
Merge Q104,ID0164,B,C,B,mmlu
Merge Q105,ID0165,I,D,I,medxpert
Merge Q106,ID0166,F,C,F,medxpert
Merge Q107,ID0168,B,C,B,mmlu
Merge Q108,ID0169,A,B,B,jama
Merge Q109,ID0170,D,B,G,medxpert
Merge Q110,ID0172,C,B,D,jama
Merge Q111,ID0177,B,C,B,medbullets
Merge Q112,ID0182,D,B,A,medbullets
Merge Q113,ID0184,C,B,C,mmlu
Merge Q114,ID0185,D,D,D,medbullets
Merge Q115,ID0186,C,A,C,jama
Merge Q116,ID0189,A,D,A,mmlu
Merge Q117,ID0190,C,C,A,mmlu
Merge Q118,ID0191,D,C,C,jama
Merge Q119,ID0192,A,A,D,jama
Merge Q120,ID0193,E,A,E,medxpert
Merge Q121,ID0195,B,C,C,jama
Merge Q122,ID0198,A,C,A,medbullets
Merge Q123,ID0199,B,A,C,jama
Merge Q124,ID0200,A,D,J,medxpert
Merge Q125,ID0202,D,D,D,jama
Merge Q126,ID0206,D,C,D,jama
Merge Q127,ID0207,D,C,J,medxpert
Merge Q128,ID0209,D,B,D,mmlu
Merge Q129,ID0211,A,C,A,medxpert
Merge Q130,ID0213,C,B,C,jama
Merge Q131,ID0215,B,D,B,jama
Merge Q132,ID0216,B,C,A,medxpert
Merge Q133,ID0217,C,B,C,mmlu
Merge Q134,ID0219,B,C,B,jama
Merge Q135,ID0220,B,B,B,mmlu
Merge Q136,ID0221,A,B,A,medbullets
Merge Q137,ID0222,B,B,D,jama
Merge Q138,ID0229,A,C,A,medxpert
Merge Q139,ID0230,C,C,C,jama
Merge Q140,ID0232,B,D,B,jama
Merge Q141,ID0233,B,C,B,medxpert
Merge Q142,ID0235,H,D,B,medxpert
Merge Q143,ID0236,C,D,C,jama
Merge Q144,ID0237,A,B,A,mmlu
Merge Q145,ID0238,A,C,D,medbullets
Merge Q146,ID0240,C,B,A,jama
Merge Q147,ID0241,C,D,A,jama
Merge Q148,ID0242,G,D,A,medxpert
Merge Q149,ID0243,C,B,C,jama
Merge Q150,ID0244,C,D,C,medbullets
Merge Q151,ID0246,D,B,C,jama
Merge Q152,ID0247,C,C,C,medbullets
Merge Q153,ID0248,A,D,C,medxpert
Merge Q154,ID0249,A,C,C,medbullets
Merge Q155,ID0251,D,B,D,mmlu
Merge Q156,ID0253,B,B,D,mmlu
Merge Q157,ID0254,D,B,D,jama
Merge Q158,ID0256,D,B,D,mmlu
Merge Q159,ID0257,C,A,B,jama
Merge Q160,ID0258,C,D,C,jama
Merge Q161,ID0262,C,C,H,medxpert
Merge Q162,ID0265,C,B,C,mmlu
Merge Q163,ID0268,D,C,C,jama
Merge Q164,ID0270,D,D,D,mmlu
Merge Q165,ID0275,A,A,C,medxpert
Merge Q166,ID0277,B,B,B,jama
Merge Q167,ID0278,C,C,C,jama
Merge Q168,ID0280,B,A,B,jama
Merge Q169,ID0281,J,A,A,medxpert
Merge Q170,ID0283,A,C,B,jama
Merge Q171,ID0284,F,C,I,medxpert
Merge Q172,ID0286,C,C,C,jama
Merge Q173,ID0287,C,C,C,jama
Merge Q174,ID0289,B,B,B,jama
Merge Q175,ID0291,E,B,D,medxpert
Merge Q176,ID0292,B,D,G,medxpert
Merge Q177,ID0293,F,C,B,medxpert
Merge Q178,ID0295,A,D,A,jama
Merge Q179,ID0296,B,B,C,jama
Merge Q180,ID0297,B,C,B,jama
Merge Q181,ID0298,H,B,H,medxpert
Merge Q182,ID0300,C,A,C,jama
Merge Q183,ID0301,B,C,A,jama
Merge Q184,ID0302,C,A,C,jama
Merge Q185,ID0303,F,C,F,medxpert
Merge Q186,ID0304,C,A,I,medxpert
Merge Q187,ID0305,C,B,B,medbullets
Merge Q188,ID0307,D,C,D,mmlu
Merge Q189,ID0309,B,B,A,medbullets
Merge Q190,ID0310,A,C,C,jama
Merge Q191,ID0313,A,C,A,mmlu
Merge Q192,ID0314,C,C,C,medbullets
Merge Q193,ID0315,C,D,C,mmlu
Merge Q194,ID0317,A,D,F,medxpert
Merge Q195,ID0320,F,C,A,medxpert
Merge Q196,ID0321,B,A,B,jama
Merge Q197,ID0323,D,C,D,jama
Merge Q198,ID0324,C,A,C,jama
Merge Q199,ID0325,C,B,B,medbullets
Merge Q200,ID0326,B,A,B,jama
Merge Q201,ID0327,D,D,C,medxpert
Merge Q202,ID0328,B,C,A,jama
Merge Q203,ID0330,C,C,C,medbullets
Merge Q204,ID0331,C,B,C,jama
Merge Q205,ID0332,C,B,C,jama
Merge Q206,ID0334,B,A,C,jama
Merge Q207,ID0336,A,C,E,medxpert
Merge Q208,ID0337,D,A,C,jama
Merge Q209,ID0339,B,C,B,mmlu
Merge Q210,ID0342,B,D,B,jama
Merge Q211,ID0345,A,B,A,jama
Merge Q212,ID0349,F,B,C,medxpert
Merge Q213,ID0351,A,C,D,jama
Merge Q214,ID0352,A,C,A,jama
Merge Q215,ID0353,J,A,H,medxpert
Merge Q216,ID0356,C,A,A,jama
Merge Q217,ID0357,B,C,B,medxpert
Merge Q218,ID0359,H,D,A,medxpert
Merge Q219,ID0360,A,C,A,mmlu
Merge Q220,ID0362,A,B,C,jama
Merge Q221,ID0363,A,A,A,medbullets
Merge Q222,ID0364,B,A,B,jama
Merge Q223,ID0365,B,A,C,jama
Merge Q224,ID0366,D,D,B,jama
Merge Q225,ID0367,C,D,F,medxpert
Merge Q226,ID0368,D,C,D,jama
Merge Q227,ID0371,F,D,F,medxpert
Merge Q228,ID0373,C,A,C,jama
Merge Q229,ID0376,B,D,A,medxpert
Merge Q230,ID0377,C,A,A,jama
Merge Q231,ID0379,H,D,C,medxpert
Merge Q232,ID0382,C,B,C,medbullets
Merge Q233,ID0385,H,B,I,medxpert
Merge Q234,ID0387,C,B,C,jama
Merge Q235,ID0388,B,C,F,medxpert
Merge Q236,ID0389,C,B,C,jama
Merge Q237,ID0391,A,B,A,medxpert
Merge Q238,ID0393,D,A,D,jama
Merge Q239,ID0395,D,B,C,jama
Merge Q240,ID0396,B,B,B,medbullets
Merge Q241,ID0397,F,A,B,medxpert
Merge Q242,ID0399,C,C,C,jama
Merge Q243,ID0400,B,A,B,jama
Merge Q244,ID0402,B,D,B,jama
Merge Q245,ID0403,B,A,B,medbullets
Merge Q246,ID0404,A,B,D,jama
Merge Q247,ID0405,B,C,B,jama
Merge Q248,ID0406,D,B,D,mmlu
Merge Q249,ID0407,A,A,G,medxpert
Merge Q250,ID0409,D,C,D,mmlu
Merge Q251,ID0412,D,A,D,jama
Merge Q252,ID0415,B,A,B,jama
Merge Q253,ID0416,E,D,I,medxpert
Merge Q254,ID0417,D,B,D,jama
Merge Q255,ID0418,A,D,B,jama
Merge Q256,ID0421,D,C,D,jama
Merge Q257,ID0422,C,B,C,jama
Merge Q258,ID0425,D,B,F,medxpert
Merge Q259,ID0426,J,C,D,medxpert
Merge Q260,ID0428,D,B,D,mmlu
Merge Q261,ID0429,B,D,B,mmlu
Merge Q262,ID0431,A,B,C,jama
Merge Q263,ID0433,E,B,E,medxpert
Merge Q264,ID0435,I,C,I,medxpert
Merge Q265,ID0437,C,C,C,mmlu
Merge Q266,ID0438,B,A,B,medbullets
Merge Q267,ID0440,J,C,B,medxpert
Merge Q268,ID0442,C,C,D,jama
Merge Q269,ID0444,B,C,C,jama
Merge Q270,ID0446,C,D,C,jama
Merge Q271,ID0447,D,B,D,medbullets
Merge Q272,ID0449,C,C,C,jama
Merge Q273,ID0451,B,D,B,jama
Merge Q274,ID0453,D,A,D,jama
Merge Q275,ID0455,E,B,E,medxpert
Merge Q276,ID0458,F,C,F,medxpert
Merge Q277,ID0459,B,D,F,medxpert
Merge Q278,ID0460,C,B,C,jama
Merge Q279,ID0461,C,A,C,jama
Merge Q280,ID0462,C,A,C,jama
Merge Q281,ID0463,D,C,D,jama
Merge Q282,ID0465,C,D,B,jama
Merge Q283,ID0466,D,C,D,jama
Merge Q284,ID0467,C,C,C,jama
Merge Q285,ID0468,C,C,C,medbullets
Merge Q286,ID0469,A,D,A,jama
Merge Q287,ID0470,B,D,C,medbullets
Merge Q288,ID0471,D,D,D,jama
Merge Q289,ID0472,D,A,D,jama
Merge Q290,ID0473,A,A,A,medbullets
Merge Q291,ID0476,A,C,C,jama
Merge Q292,ID0477,C,C,C,jama
Merge Q293,ID0478,A,D,A,jama
Merge Q294,ID0479,B,C,B,jama
Merge Q295,ID0483,B,C,A,jama
Merge Q296,ID0484,C,A,C,jama
Merge Q297,ID0487,C,B,C,jama
Merge Q298,ID0488,A,C,C,jama
Merge Q299,ID0490,B,B,B,jama
Merge Q300,ID0491,F,B,A,medxpert
Merge Q301,ID0492,B,B,C,jama
Merge Q302,ID0494,C,A,C,jama
Merge Q303,ID0495,B,C,B,medbullets
Merge Q304,ID0496,C,A,C,medbullets
Merge Q305,ID0498,B,C,C,jama
Merge Q306,ID0500,B,D,B,jama
Merge Q307,ID0502,B,D,C,jama
Merge Q308,ID0503,C,C,A,medbullets
Merge Q309,ID0504,E,A,B,medxpert
Merge Q310,ID0506,D,B,D,medxpert
Merge Q311,ID0508,B,B,B,jama
Merge Q312,ID0509,C,D,J,medxpert
Merge Q313,ID0510,B,D,B,mmlu
Merge Q314,ID0511,B,D,B,jama
Merge Q315,ID0513,B,B,B,jama
Merge Q316,ID0514,I,B,I,medxpert
Merge Q317,ID0517,A,A,A,medbullets
Merge Q318,ID0519,D,B,I,medxpert
Merge Q319,ID0520,B,D,B,mmlu
Merge Q320,ID0521,I,A,H,medxpert
Merge Q321,ID0522,C,C,C,jama
Merge Q322,ID0523,E,B,D,medxpert
Merge Q323,ID0524,B,C,B,jama
Merge Q324,ID0525,B,C,B,jama
Merge Q325,ID0526,A,B,D,medbullets
Merge Q326,ID0528,B,C,B,jama
Merge Q327,ID0529,C,B,D,medbullets
Merge Q328,ID0532,B,B,B,medxpert
Merge Q329,ID0533,C,D,C,jama
Merge Q330,ID0534,B,B,B,jama
Merge Q331,ID0535,C,B,C,medbullets
Merge Q332,ID0536,F,D,J,medxpert
Merge Q333,ID0539,C,C,C,jama
Merge Q334,ID0541,B,A,B,jama
Merge Q335,ID0542,D,B,D,mmlu
Merge Q336,ID0543,D,C,D,mmlu
Merge Q337,ID0546,D,C,D,medbullets
Merge Q338,ID0551,C,D,B,jama
Merge Q339,ID0552,C,C,C,jama
Merge Q340,ID0553,D,B,C,jama
Merge Q341,ID0554,A,A,A,mmlu
Merge Q342,ID0555,C,A,D,jama
Merge Q343,ID0559,D,C,B,jama
Merge Q344,ID0561,A,C,D,jama
Merge Q345,ID0564,D,D,D,medbullets
Merge Q346,ID0566,B,A,B,mmlu
Merge Q347,ID0567,D,C,C,medxpert
Merge Q348,ID0568,C,C,C,medbullets
Merge Q349,ID0569,B,C,D,mmlu
Merge Q350,ID0572,C,D,C,medxpert
Merge Q351,ID0574,I,D,H,medxpert
Merge Q352,ID0575,C,A,D,jama
Merge Q353,ID0576,C,C,C,mmlu
Merge Q354,ID0577,D,C,C,jama
Merge Q355,ID0578,D,C,D,mmlu
Merge Q356,ID0581,J,B,B,medxpert
Merge Q357,ID0584,C,B,C,jama
Merge Q358,ID0585,B,A,B,medbullets
Merge Q359,ID0586,B,D,B,jama
Merge Q360,ID0587,E,A,E,medxpert
Merge Q361,ID0589,C,C,C,jama
Merge Q362,ID0590,B,C,D,jama
Merge Q363,ID0591,G,B,C,medxpert
Merge Q364,ID0592,C,C,C,jama
Merge Q365,ID0594,G,C,G,medxpert
Merge Q366,ID0595,J,A,J,medxpert
Merge Q367,ID0596,B,B,A,jama
Merge Q368,ID0598,I,D,C,medxpert
Merge Q369,ID0599,C,C,A,medbullets
Merge Q370,ID0600,B,C,B,medbullets
Merge Q371,ID0601,D,D,A,medbullets
Merge Q372,ID0602,C,A,D,jama
Merge Q373,ID0603,A,B,C,jama
Merge Q374,ID0604,C,B,C,mmlu
Merge Q375,ID0605,E,A,E,medxpert
Merge Q376,ID0607,A,C,A,mmlu
Merge Q377,ID0609,C,B,D,jama
Merge Q378,ID0613,C,C,C,medbullets
Merge Q379,ID0614,D,D,A,medxpert
Merge Q380,ID0616,E,D,I,medxpert
Merge Q381,ID0617,D,C,D,mmlu
Merge Q382,ID0618,A,A,A,mmlu
Merge Q383,ID0619,C,C,C,medbullets
Merge Q384,ID0621,B,D,C,medxpert
Merge Q385,ID0622,D,C,D,mmlu
Merge Q386,ID0623,A,B,A,medbullets
Merge Q387,ID0625,I,A,I,medxpert
Merge Q388,ID0626,D,B,D,medxpert
Merge Q389,ID0627,D,B,J,medxpert
Merge Q390,ID0628,C,D,C,mmlu
Merge Q391,ID0629,A,B,C,jama
Merge Q392,ID0631,A,D,A,jama
Merge Q393,ID0633,B,B,B,jama
Merge Q394,ID0634,B,B,B,mmlu
Merge Q395,ID0635,D,B,D,jama
Merge Q396,ID0636,B,C,C,jama
Merge Q397,ID0639,D,D,B,jama
Merge Q398,ID0641,J,C,F,medxpert
Merge Q399,ID0642,B,C,C,jama
Merge Q400,ID0643,C,A,C,jama
Merge Q401,ID0647,C,B,C,jama
Merge Q402,ID0648,B,C,B,jama
Merge Q403,ID0651,G,D,C,medxpert
Merge Q404,ID0652,A,B,A,mmlu
Merge Q405,ID0653,D,D,D,mmlu
Merge Q406,ID0654,C,B,C,mmlu
Merge Q407,ID0655,E,C,E,medxpert
Merge Q408,ID0656,A,C,A,jama
Merge Q409,ID0658,H,B,D,medxpert
Merge Q410,ID0659,B,B,B,jama
Merge Q411,ID0660,C,C,C,jama
Merge Q412,ID0661,C,B,A,jama
Merge Q413,ID0662,A,C,A,medbullets
Merge Q414,ID0664,B,C,B,jama
Merge Q415,ID0665,C,B,C,mmlu
Merge Q416,ID0668,C,B,H,medxpert
Merge Q417,ID0669,D,A,D,jama
Merge Q418,ID0670,B,C,B,jama
Merge Q419,ID0671,D,B,D,jama
Merge Q420,ID0672,G,C,G,medxpert
Merge Q421,ID0673,A,D,A,medbullets
Merge Q422,ID0675,A,D,A,jama
Merge Q423,ID0676,C,D,C,jama
Merge Q424,ID0679,A,D,A,medbullets
Merge Q425,ID0680,G,B,A,medxpert
Merge Q426,ID0682,C,C,C,mmlu
Merge Q427,ID0683,D,C,D,jama
Merge Q428,ID0684,I,B,J,medxpert
Merge Q429,ID0691,D,C,D,jama
Merge Q430,ID0692,B,C,B,jama
Merge Q431,ID0693,D,A,D,medbullets
Merge Q432,ID0695,D,D,D,mmlu
Merge Q433,ID0696,F,A,I,medxpert
Merge Q434,ID0697,B,B,B,jama
Merge Q435,ID0698,H,C,A,medxpert
Merge Q436,ID0699,C,C,C,jama
Merge Q437,ID0700,D,D,C,jama
Merge Q438,ID0701,H,A,H,medxpert
Merge Q439,ID0702,A,B,A,medxpert
Merge Q440,ID0703,B,C,B,jama
Merge Q441,ID0708,C,C,C,jama
Merge Q442,ID0709,B,A,B,jama
Merge Q443,ID0710,D,C,D,jama
Merge Q444,ID0711,D,D,B,medbullets
Merge Q445,ID0712,A,C,A,mmlu
Merge Q446,ID0713,B,C,B,medbullets
Merge Q447,ID0715,C,C,B,medbullets
Merge Q448,ID0716,D,B,D,jama
Merge Q449,ID0717,J,A,B,medxpert
Merge Q450,ID0718,B,A,B,jama
Merge Q451,ID0719,C,B,C,jama
Merge Q452,ID0721,A,D,A,jama
Merge Q453,ID0723,B,A,B,jama
Merge Q454,ID0726,D,D,B,jama
Merge Q455,ID0728,C,C,C,medbullets
Merge Q456,ID0731,C,B,C,jama
Merge Q457,ID0732,C,C,C,medbullets
Merge Q458,ID0733,D,C,D,jama
Merge Q459,ID0734,A,D,D,jama
Merge Q460,ID0735,B,D,B,mmlu
Merge Q461,ID0737,F,D,J,medxpert
Merge Q462,ID0739,C,D,C,jama
Merge Q463,ID0740,D,C,C,jama
Merge Q464,ID0743,B,D,B,jama
Merge Q465,ID0744,D,B,B,jama
Merge Q466,ID0745,A,A,D,jama
Merge Q467,ID0746,C,B,C,jama
Merge Q468,ID0747,C,D,D,jama
Merge Q469,ID0752,A,C,A,mmlu
Merge Q470,ID0753,A,C,G,medxpert
Merge Q471,ID0754,C,B,B,jama
Merge Q472,ID0756,B,B,A,jama
Merge Q473,ID0757,B,C,B,mmlu
Merge Q474,ID0758,D,B,D,medxpert
Merge Q475,ID0759,B,A,B,medbullets
Merge Q476,ID0761,D,C,D,medxpert
Merge Q477,ID0762,C,D,C,jama
Merge Q478,ID0764,B,A,B,medxpert
Merge Q479,ID0765,B,B,J,medxpert
Merge Q480,ID0766,D,C,D,mmlu
Merge Q481,ID0769,B,A,B,jama
Merge Q482,ID0770,D,C,E,medxpert
Merge Q483,ID0773,D,D,D,mmlu
Merge Q484,ID0775,A,C,D,jama
Merge Q485,ID0776,D,C,B,jama
Merge Q486,ID0777,D,C,A,medxpert
Merge Q487,ID0778,G,B,G,medxpert
Merge Q488,ID0779,C,A,C,jama
Merge Q489,ID0780,B,A,C,jama
Merge Q490,ID0781,D,A,C,jama
Merge Q491,ID0782,C,C,D,jama
Merge Q492,ID0783,C,D,C,jama
Merge Q493,ID0784,C,D,C,medbullets
Merge Q494,ID0785,C,B,C,jama
Merge Q495,ID0786,I,B,A,medxpert
Merge Q496,ID0788,D,A,B,medbullets
Merge Q497,ID0789,A,B,A,mmlu
Merge Q498,ID0790,C,C,C,medbullets
Merge Q499,ID0792,A,D,I,medxpert
Merge Q500,ID0796,D,C,D,medbullets
Merge Q501,ID0797,C,A,C,jama
Merge Q502,ID0798,C,A,H,medxpert
Merge Q503,ID0799,D,B,D,mmlu
Merge Q504,ID0800,B,C,C,jama
Merge Q505,ID0801,B,D,B,medbullets
Merge Q506,ID0802,D,C,D,mmlu
Merge Q507,ID0803,C,C,D,jama
Merge Q508,ID0805,J,C,J,medxpert
Merge Q509,ID0809,C,C,B,jama
Merge Q510,ID0810,C,B,C,medbullets
Merge Q511,ID0811,A,C,A,medxpert
Merge Q512,ID0813,D,B,D,medxpert
Merge Q513,ID0814,B,C,B,jama
Merge Q514,ID0815,B,D,I,medxpert
Merge Q515,ID0816,A,C,E,medxpert
Merge Q516,ID0819,C,C,C,mmlu
Merge Q517,ID0821,G,A,A,medxpert
Merge Q518,ID0824,B,D,A,medbullets
Merge Q519,ID0825,B,D,D,medbullets
Merge Q520,ID0826,C,D,C,jama
Merge Q521,ID0827,H,C,C,medxpert
Merge Q522,ID0828,B,C,E,medxpert
Merge Q523,ID0830,A,B,A,medbullets
Merge Q524,ID0831,C,B,F,medxpert
Merge Q525,ID0832,D,D,D,jama
Merge Q526,ID0833,C,B,C,medbullets
Merge Q527,ID0834,C,D,C,jama
Merge Q528,ID0835,A,B,A,medbullets
Merge Q529,ID0836,C,C,B,medbullets
Merge Q530,ID0837,C,B,C,jama
Merge Q531,ID0840,A,C,A,mmlu
Merge Q532,ID0841,B,C,C,medbullets
Merge Q533,ID0842,D,D,C,medbullets
Merge Q534,ID0843,F,A,B,medxpert
Merge Q535,ID0844,A,A,A,medbullets
Merge Q536,ID0845,C,D,C,medbullets
Merge Q537,ID0846,C,D,C,jama
Merge Q538,ID0847,C,A,B,jama
Merge Q539,ID0850,C,A,C,jama
Merge Q540,ID0851,D,A,D,mmlu
Merge Q541,ID0852,A,C,A,medbullets
Merge Q542,ID0853,B,C,B,medbullets
Merge Q543,ID0854,C,A,A,jama
Merge Q544,ID0855,A,B,D,jama
Merge Q545,ID0856,J,A,J,medxpert
Merge Q546,ID0858,B,B,B,jama
Merge Q547,ID0859,B,D,C,jama
Merge Q548,ID0860,B,B,B,medxpert
Merge Q549,ID0861,C,D,C,medbullets
Merge Q550,ID0862,B,B,B,jama
Merge Q551,ID0864,A,B,A,mmlu
Merge Q552,ID0866,D,C,D,jama
Merge Q553,ID0867,B,C,B,jama
Merge Q554,ID0869,B,C,B,jama
Merge Q555,ID0870,B,D,A,medxpert
Merge Q556,ID0871,C,C,C,jama
Merge Q557,ID0872,D,D,D,medxpert
Merge Q558,ID0876,A,B,B,jama
Merge Q559,ID0878,A,C,B,jama
Merge Q560,ID0879,C,C,C,jama
Merge Q561,ID0880,I,C,F,medxpert
Merge Q562,ID0883,G,B,G,medxpert
Merge Q563,ID0884,C,C,C,mmlu
Merge Q564,ID0885,A,C,D,medbullets
Merge Q565,ID0887,B,D,B,medbullets
Merge Q566,ID0889,D,B,D,jama
Merge Q567,ID0893,D,B,D,medbullets
Merge Q568,ID0894,B,D,B,jama
Merge Q569,ID0895,C,B,C,jama
Merge Q570,ID0899,C,C,B,jama
Merge Q571,ID0900,C,D,C,jama
Merge Q572,ID0901,B,A,B,medbullets
Merge Q573,ID0902,D,D,I,medxpert
Merge Q574,ID0904,A,C,A,jama
Merge Q575,ID0905,C,C,C,jama
Merge Q576,ID0907,E,D,C,medxpert
Merge Q577,ID0908,C,B,C,jama
Merge Q578,ID0909,A,B,A,mmlu
Merge Q579,ID0910,D,C,D,mmlu
Merge Q580,ID0911,D,D,D,mmlu
Merge Q581,ID0912,B,B,E,medxpert
Merge Q582,ID0915,C,C,C,jama
Merge Q583,ID0916,D,C,D,jama
Merge Q584,ID0918,D,C,D,mmlu
Merge Q585,ID0919,D,B,A,medxpert
Merge Q586,ID0922,I,B,I,medxpert
Merge Q587,ID0923,A,B,A,medbullets
Merge Q588,ID0924,B,C,B,medbullets
Merge Q589,ID0925,B,B,B,jama
Merge Q590,ID0926,C,D,A,medxpert
Merge Q591,ID0927,B,D,B,jama
Merge Q592,ID0928,B,A,C,medbullets
Merge Q593,ID0934,G,B,G,medxpert
Merge Q594,ID0935,A,B,A,jama
Merge Q595,ID0937,A,A,C,jama
Merge Q596,ID0939,A,A,A,jama
Merge Q597,ID0941,C,B,E,medxpert
Merge Q598,ID0942,A,B,H,medxpert
Merge Q599,ID0944,B,C,B,mmlu
Merge Q600,ID0948,G,D,F,medxpert
Merge Q601,ID0949,C,C,C,medbullets
Merge Q602,ID0951,B,A,B,mmlu
Merge Q603,ID0953,D,B,D,mmlu
Merge Q604,ID0954,B,C,B,jama
Merge Q605,ID0957,D,C,J,medxpert
Merge Q606,ID0961,B,C,A,jama
Merge Q607,ID0962,C,C,A,jama
Merge Q608,ID0963,D,D,D,mmlu
Merge Q609,ID0965,I,C,F,medxpert
Merge Q610,ID0967,B,C,B,medbullets
Merge Q611,ID0968,B,B,C,jama
Merge Q612,ID0969,C,A,C,jama
Merge Q613,ID0970,C,B,B,medbullets
Merge Q614,ID0972,C,C,B,medxpert
Merge Q615,ID0973,C,B,D,jama
Merge Q616,ID0974,A,A,D,medbullets
Merge Q617,ID0976,A,C,A,jama
Merge Q618,ID0977,B,C,B,jama
Merge Q619,ID0979,B,B,B,medxpert
Merge Q620,ID0981,C,D,C,jama
Merge Q621,ID0982,D,C,C,jama
Merge Q622,ID0987,D,C,A,medbullets
Merge Q623,ID0990,D,B,D,jama
Merge Q624,ID0991,A,B,C,jama
Merge Q625,ID0992,A,C,B,medxpert
Merge Q626,ID0993,A,A,C,jama
Merge Q627,ID0994,A,A,C,medxpert
Merge Q628,ID0996,C,B,C,jama
Merge Q629,ID0998,B,D,B,jama
Merge Q630,ID0999,D,C,D,mmlu
Merge Q631,ID1001,C,D,C,jama
