QA_ID_std,14B_sentence_number
Merge Q1078,"1,2,3,4,5,6,7,8,9"
Merge Q1079,"1,2,3,4,5,6,7,8,9,10"
Merge Q108,"1,2,3,4,5,6,7,8,9,10"
Merge Q1080,"1,2,3,4,5,6,7"
Merge Q1081,"1,2,3,4,5,6,7,8"
Merge Q1082,"1,2,3,4,5,6"
Merge Q1083,"1,2,3,4,5,6,7,8,9"
Merge Q1085,"1,2,3,4,5,6,7,8"
Merge Q1087,"1,2,3,4,5,6,7,8"
Merge Q1089,"1,2,3,4,5,6,7,8,9,10"
Merge Q109,"1,2,3,4,5,6"
Merge Q1091,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1092,"1,2,3,4,5,6,7"
Merge Q1093,"1,2,3,4,5"
Merge Q1095,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q1096,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1097,"1,2,3,4,5,7"
Merge Q1098,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1099,"1,2,3,4,5,6,7,8"
Merge Q11,"1,2,3,4,5,6,7,8,9"
Merge Q110,"1,2,3,4,5,6,7,8,9,11,12,13"
Merge Q1101,"1,2,3,4,5,6,7,8,9,10"
Merge Q1102,"1,2,3,4,5,6,7,8"
Merge Q1103,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1104,"1,2,3,4,5,6,7"
Merge Q1105,"1,2,3,4,5,6,7,8,9,10"
Merge Q1106,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1108,"1,2,3,4,5,6,7,8,9"
Merge Q1109,"1,2,3,4,5,6,7,8"
Merge Q111,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1110,"1,2,3,4,5,6,7,8,9,10"
Merge Q1111,"1,2,3,4,5,6,7,8,9"
Merge Q1113,"1,2,3,4,5,6,7,8"
Merge Q1115,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q1117,"1,2,3,4,5,6,7,8"
Merge Q1118,"1,2,3,4,5,6,7,8,9"
Merge Q112,"1,2,3,4,5,6,7,8,9,10"
Merge Q1120,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1121,"1,2,3,4,5,6"
Merge Q1122,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1125,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1128,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q1129,"1,2,3,4,5,6"
Merge Q1131,"1,2,3,4,5,6,7,8"
Merge Q1132,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1133,"1,2,3,4,5,6,7,8,9,10"
Merge Q1134,"1,2,3,4,5,6,7,8"
Merge Q1136,"1,2,3,4,5,6,7,8"
Merge Q1137,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q114,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1140,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1141,"1,2,3,4,5,6,7,8,9,10"
Merge Q1143,"1,2,3,4,5,6"
Merge Q1144,"1,2,3,4,5,6,7,8,10,11"
Merge Q1145,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q1147,"1,2,3,4,5,6,7,8,9"
Merge Q1148,"1,2,3,4,5,6,7,8,9,10"
Merge Q1149,"1,2,3,4,5,6,7,8,9,10"
Merge Q1150,"1,2,3,4,5,6,7"
Merge Q1151,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1152,"1,2,3,4,5,6,7,8"
Merge Q1153,"1,2,3,4,5,6,7,8,9"
Merge Q1154,"1,2,3,4,5,6,7,8,9"
Merge Q1155,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1159,"1,2,3,4,5,6,7"
Merge Q1160,"1,2,3,4,5,6,7,8,9,10"
Merge Q1161,"1,2,3,4,5,6,7,8,9"
Merge Q1162,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1163,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1164,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1165,"1,2,3,4,5,6,7,8,9,10"
Merge Q1167,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1169,"1,2,3,4,5,6,7,8"
Merge Q117,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1171,"1,2,3,4,5"
Merge Q1172,"1,2,3,4,5,6,7,8,9,10"
Merge Q1173,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1174,"1,2,3,4,5,6,7,8,9"
Merge Q1175,"1,2,3,4,5,6,7,8,9"
Merge Q1176,"1,2,3,4,5,6,7,8,9,10"
Merge Q1177,"1,2,3,4,5,6,7,8,9"
Merge Q1178,"1,2,3,4,5,6"
Merge Q118,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1180,"1,2,3,4,5,6,7,8,9,10"
Merge Q1181,"1,2,3,4,5,6,7,8,9,10"
Merge Q1183,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1184,"1,2,3,4,5,6,7,8"
Merge Q1185,"1,2,3,4,5,6,7,8,9"
Merge Q1187,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q119,"1,2,3,4,5,7,8"
Merge Q1190,"1,2,3,4,5,6,7,8,9"
Merge Q1191,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1192,"1,2,3,4,5,6,7,8"
Merge Q1193,"1,2,3,4,5,6,7,8,9,10"
Merge Q1194,"1,2,3,4,5,6,7,8,9,10"
Merge Q1195,"1,2,3,4,5,6,7,8,9,10"
Merge Q1196,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1198,"1,2,3,4,5,6,7,8,9,10"
Merge Q1199,"1,2,3,4,5,6,7"
Merge Q12,"1,2,4,5,6,7,8,9"
Merge Q1200,"1,2,3,4,5,6,7,8,9"
Merge Q1201,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1202,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1204,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1205,"1,2,3,4,5,6,7"
Merge Q1207,"1,2,3,4,5,6,7,8,9"
Merge Q121,"1,2,3,4,6,7,8,9,10,11,13,14,15"
Merge Q1210,"1,2,3,4,5,6,7,8"
Merge Q1213,"1,2,3,4,5,6,7,8,9,10"
Merge Q1214,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1215,"1,2,3,4,5,6,7,8"
Merge Q1216,"1,3,4,5,6,7,8,9,10,11,12"
Merge Q1217,"1,2,3,4,5,6,7,8,9"
Merge Q1218,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1219,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1220,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1221,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1222,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1223,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1227,"1,2,3,4,5,6,7,8"
Merge Q1229,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1230,"1,2,3,4,5,6,7,8,9"
Merge Q1231,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1233,"1,2,3,4,5,6,7,8,9"
Merge Q1238,"1,2,3,4,5,6,7,8,9"
Merge Q1239,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1240,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1241,"1,2,3,4,5,6,7,8,9"
Merge Q1242,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1243,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1244,"1,2,3,4,5,6"
Merge Q1245,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1246,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1247,"1,2,3,4,5,6"
Merge Q1252,"1,2,3,4,5"
Merge Q1253,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1254,"1,2,3,4,5,6,7,8,9"
Merge Q1256,"1,2,3,4,5,6,7"
Merge Q1257,"1,2,3,4,5,6,7,8"
Merge Q1258,"1,2,3,4,5,6,7,8,9"
Merge Q1259,"1,2,3,4,5,6,7,8,9,10"
Merge Q126,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1260,"1,2,3,4,5,6,7"
Merge Q1261,"1,2,3,4,5,6,7"
Merge Q1262,"1,2,3,4,5,6,7,8,9,10"
Merge Q1263,"1,2,3,4,5,6,7,8"
Merge Q1265,"1,2,3,4,5,6,7,8,9"
Merge Q1266,"1,2,3,4,5,6,7,8"
Merge Q1267,"1,2,3,4,5,6,7,8"
Merge Q1268,"1,2,3,4,5,6"
Merge Q1269,"1,2,3,4,5,6,7,8,9"
Merge Q1270,"1,2,3,4,5,6"
Merge Q1271,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1273,"1,2,3,4,5,6,7,8,9,10"
Merge Q1274,"1,2,3,4,5,6,7,8,9"
Merge Q1276,"1,2,3,4,5,6,7,8,9"
Merge Q1277,"1,2,3"
Merge Q1279,"1,2,3,4,5,6,7,8"
Merge Q1282,"1,2,3,4,5,6,7,8"
Merge Q1285,"1,2,3,4,5,6,7,8"
Merge Q1286,"1,2,3,4,5,6,7,8,9"
Merge Q1287,"1,2,3,4,5,6,7,8"
Merge Q1288,"1,2,3,4,5,6,7,8"
Merge Q1290,"1,2,3,4,5,6,7,8"
Merge Q1291,"1,2,3,4,5,6,7,8"
Merge Q1292,"1,2,3,4,5,6,7"
Merge Q1293,"1,2,3,4,5,6,7,8"
Merge Q1295,"1,2,3,4,5,6,7,8,9,10"
Merge Q1296,"1,2,3,4,5,6,7,8"
Merge Q1297,"1,2,3,4,5,6,7,8,9,10"
Merge Q1298,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1300,"1,2,3,4,5,6,7,8,9"
Merge Q1301,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1303,"1,2,3,4,5,6,7,8"
Merge Q1304,"1,2,3,4,5,6,7,8,9"
Merge Q1306,"1,2,3,4,5,6,7,8,9"
Merge Q1309,"1,2,3,4,5,6,7,8,9,10"
Merge Q1312,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1314,"1,2,3,4,5,6,7,8,9"
Merge Q1316,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1317,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1318,"1,2,3,4,5"
Merge Q1319,"1,2,3,4,5,6,7,8"
Merge Q132,"1,2,3,4,5,6,8,9,10,11,12,13,14,16,17,19"
Merge Q1321,"1,2,3,4,5,6,7"
Merge Q1322,"1,2,3,4,5,6,7,8,9"
Merge Q1323,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1324,"1,2,3,4,5,6,7,8"
Merge Q1325,"1,2,3,4,5,6,7,8,9,10"
Merge Q1328,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1329,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q1330,"1,2,3,4,5,6,7,8,9,10"
Merge Q134,"1,2,3,5,6,7,8"
Merge Q136,"1,2,3"
Merge Q137,"1,3,4,6,7,8,9,10,11,12"
Merge Q138,"1,2,3,4,6,7,8"
Merge Q1395,"1,2,3,4,5,6"
Merge Q140,"1,2,3,4,5,6,7,8"
Merge Q1400,"1,2,3,4"
Merge Q1401,"1,2,3,4,5,7,8,9,10,11,12"
Merge Q1403,"1,2,3,4,5,6,7"
Merge Q1406,"1,2,3,4,5,6"
Merge Q141,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Merge Q1416,"1,2,3,4,5"
Merge Q142,"1,2,3,4,5,7,8,10,11,13,14"
Merge Q1428,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1431,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge Q1434,"1,2,3,4,5,6,7,8"
Merge Q1440,"1,2,3,4,5,6,7,8,9"
Merge Q145,"1,2,3,4,5,6,7"
Merge Q1450,"1,2,3,4,5,6,7"
Merge Q1455,"1,2,3,4,5,6"
Merge Q146,"1,2,4,5,6,9,10,12,13"
Merge Q147,"1,2,3,4,5,6,7,8,9,10"
Merge Q1473,"1,2,3,4,5"
Merge Q1474,"1,2,3,4,5,6,7,8,9"
Merge Q148,"1,2,3,4"
Merge Q1480,"1,2,3,4,5,6,7"
Merge Q1482,"1,2,3,4"
Merge Q1486,"1,2,3,4,5,6,7,8,9,10"
Merge Q1489,"1,2,3,4,5,6,7,8"
Merge Q149,"1,2,3,5,7,8,9"
Merge Q150,"1,2,4,5,6,9,10"
Merge Q1500,"1,2,3,4,5,6,7,8"
Merge Q1506,"1,2,3,4,5"
Merge Q151,"1,2,3,5,6,7,8"
Merge Q1510,"1,2,3,4,5,6,7,8"
Merge Q1514,"1,2,3,4,5,6,7,8,10"
Merge Q1517,"1,2,3,4,5,6,7"
Merge Q1518,"1,2,3,4"
Merge Q152,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,19,20,21"
Merge Q1521,"1,2,3,4,5,6,7,8"
Merge Q1526,"1,2,3,4"
Merge Q1527,"1,2,3"
Merge Q153,"1,2,3,4,6,7,8,9,10,11,12,14,15,16"
Merge Q154,"1,2,3,4,5,6,7,8"
Merge Q1543,"1,2,3,4,5,6"
Merge Q1550,"1,2,3,4,5,6"
Merge Q1554,"1,2,3,4,5,6,7,8,9"
Merge Q1555,"1,2,3,4,5"
Merge Q1557,"1,2,3,4"
Merge Q156,"1,2,3,4,5,6,7,8,9,10"
Merge Q1565,"1,2,3,4,5,6,7"
Merge Q1569,"1,2,3,4,5,6"
Merge Q1577,"1,2,3,4,5,6,8"
Merge Q1581,"1,2,3,4,5,6,7"
Merge Q1587,"1,2,3,4,5,6"
Merge Q159,"1,2,4,5,6,7,8,10"
Merge Q1590,"1,2,3,4,5,6,7,8"
Merge Q1595,"1,3"
Merge Q16,"1,2,3,4,5,6,7,8,9,11"
Merge Q1607,"1,2,3,4"
Merge Q1608,"1,2,3,4,5,6,7,8,9,10"
Merge Q1621,"1,2,3,4,5,6"
Merge Q1623,"1,2,3,4,5,6"
Merge Q1624,"1,2,3,4,5,6,7,8,10,11"
Merge Q163,"1,2,3,4,5,6,7,9,10,11,13"
Merge Q164,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1640,"1,2,3,4,5,6,7"
Merge Q1645,"1,2,3,4,5"
Merge Q1647,"1,2,3,4,5,6,7,9,10"
Merge Q1648,"1,2,3,4,5"
Merge Q165,"1,2,3,4,5,6,7,8,9"
Merge Q1651,"1,2,3,4,5,6,7"
Merge Q1656,"1,2,3,4"
Merge Q166,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q1669,"1,2,3"
Merge Q1671,"1,3,4,5,6,7,8"
Merge Q1678,"1,2,3"
Merge Q1684,"1,2,3,4"
Merge Q169,"1,2,3,5,6,7,8,10,11,12,13,15,16,17,18,20"
Merge Q1690,"1,2,3,4,5,6,7"
Merge Q1692,"1,2,3,4,5,6,7,8"
Merge Q17,"1,2,3,4,5,6,7,8,9"
Merge Q170,"1,2,3,4,5,6,7,8,10,11,12"
Merge Q1702,"1,2,3,4,5"
Merge Q1703,"1,2,3,4,5,6,7,8"
Merge Q1705,"1,2,3,4,5"
Merge Q1706,"1,2,3,5,6,7"
Merge Q172,"1,2,3,4,5,6,7,8,9,10"
Merge Q1721,"1,2,3,4,5,6,7,8"
Merge Q1728,"1,2,3,4,5,6,7,8"
Merge Q173,"1,2,3,4,6,7,8,9,10,11,12"
Merge Q1731,"1,2,3,4,5,6"
Merge Q174,"1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17"
Merge Q1743,"1,2,3,4,5"
Merge Q1747,"1,2,3,4,5,6,7,8"
Merge Q1749,"1,2,3,4"
Merge Q175,"1,2,3,4,5,6,7,9,10,12,13,14,15,16,17,18"
Merge Q1750,"1,2,3,5,6,7"
Merge Q1757,"1,2,3,4,5"
Merge Q1758,"1,2,3,4,5,6,7"
Merge Q176,"1,2,3,4,6,7,8,9"
Merge Q1765,"1,2,3,4,5,6,7,8"
Merge Q178,"1,2,3,4,5,7,10,12"
Merge Q1781,"1,2,3,4,5,6"
Merge Q1782,"1,2,3,4,5,6,7"
Merge Q179,"1,2,3,4,5,6,9,10"
Merge Q1796,"1,2,3,4"
Merge Q18,"1,2,3,4,5,6,7,8"
Merge Q180,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q1804,"1,2,3,4,5,6,7,8,9"
Merge Q181,"1,2,3,4,5,6,7,8,9,10"
Merge Q182,"1,2,3,4,6,7,8,9,10,11,12,14,15"
Merge Q1828,"1,2,3,4,5,6,7,8"
Merge Q1848,"1,2,3,4,5,6,7,8"
Merge Q1851,"1,2,3,4,5,6,7"
Merge Q1854,"1,2,3,4,5,6,7"
Merge Q1858,"1,2,3,4,5,6,7,8,9"
Merge Q1860,"1,2,3,4,5"
Merge Q1868,"1,2,3,4,5,6,7"
Merge Q1871,"1,2,3,4,5,6,7,8,9"
Merge Q1877,"1,2,3,4,5,6,7,8"
Merge Q1888,"1,2,3,4,5,6,7"
Merge Q189,"1,2,3,4,5,6,7,8"
Merge Q1905,"1,2,3,4,5,6,7,8"
Merge Q191,"1,2,3,4,6,7,8,9,10,11,12,13,14,15"
Merge Q1914,"1,2,3,4,5,6,7"
Merge Q1925,"1,2,3,4,5"
Merge Q1928,"1,2,3,4,5,6,7,8,9"
Merge Q193,"1,2,3,4,5,7,8,9,10,12,13,15,16,17,18,19,20,21"
Merge Q1937,"1,2,3,4,5,6,7"
Merge Q1938,"1,2,3,4,5"
Merge Q194,"1,2,3,4,5,6,7,8,9,10"
Merge Q1940,"1,2,3,4,5,6,7"
Merge Q1942,"1,2,3,4,5,6,7,8,9"
Merge Q1949,"1,2,3,4,5,6,7,8"
Merge Q195,"1,2,3,4,5,7,8"
Merge Q1952,"1,2,3,4,5"
Merge Q1961,"1,2,3,4"
Merge Q1962,"1,2,3,4,5,6,7,8,9"
Merge Q197,"1,2,3,4,5,6,7,8"
Merge Q1974,"1,2,3,4,5"
Merge Q1982,"1,2,3,4"
Merge Q199,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q20,"1,2,3,4,5,6,8,10,11,12,13,14"
Merge Q200,"1,2,3,4,5,6,8"
Merge Q2002,"1,2,3,4,5,6"
Merge Q2006,"1,2,3,4"
Merge Q2009,"1,2,3,4"
Merge Q2027,"1,2,3"
Merge Q2028,"1,2,3,4,5"
Merge Q2031,"1,2,3,4"
Merge Q2034,"1,2,3,4,5,6,7"
Merge Q2036,"1,2,3,4,5,6"
Merge Q204,"1,2,3,4,5,6,7,8,9"
Merge Q205,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge Q2050,"1,2,3,4,5"
Merge Q2053,"1,2,3,4"
Merge Q2067,"1,2,3,4"
Merge Q2072,"1,2,3,4"
Merge Q2077,"1,2,3"
Merge Q208,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Merge Q2083,"1,2,3,4,5,6,7"
Merge Q2085,"1,2,3,4,5,6"
Merge Q2088,"1,2,3,4,5"
Merge Q2099,"1,2,3,4,5,6,7"
Merge Q210,"1,2,3,4,5,6,7,8,9"
Merge Q211,"1,2,3,4,5,6,7,9,10,11,12,14,15"
Merge Q2114,"1,2,3,4,5,6,7,8"
Merge Q2115,"1,2,3,4,5,6,7,8"
Merge Q2116,"1,2,3,4,5"
Merge Q2119,"1,2,3,4"
Merge Q212,"1,2,3,4,6,8,9,10,11,12,13,15"
Merge Q2120,"1,2,3,4,5"
Merge Q2122,"1,2,3,4"
Merge Q213,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q2132,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q214,"1,2,3,4,5,6,7,8,9,10,11,13,14"
Merge Q2143,"1,2,3,4,5,6"
Merge Q216,"1,2,3,5,6,7,8,9,10,11,13,14,15"
Merge Q2177,"1,2,3,4"
Merge Q219,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge Q2193,"1,2,3,4,5,6,7,8"
Merge Q2197,"1,2,3,4,5"
Merge Q2200,"1,2,3,4,5"
Merge Q2202,"1,2,3,4,5"
Merge Q221,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18"
Merge Q2222,"1,2,3,4,5"
Merge Q223,"1,2,3,4,5,6,7"
Merge Q2231,"1,2,3,4,5,6,7,8"
Merge Q2235,"1,2,3,4,5,6,7"
Merge Q2237,"1,2,3,4,5"
Merge Q224,"1,2,4,5,6,7,8,11,13,14,15,16"
Merge Q2241,"1,2,3,4,5,6,7"
Merge Q2242,"1,2,3"
Merge Q2246,"1,2,3,4,5,6"
Merge Q2255,"1,2,3,4,5,6,7,8"
Merge Q2256,"1,2,3,4,5"
Merge Q226,"1,3,5,6,7,9,10,11,12,13,14,15,16,17,18"
Merge Q2261,"1,2,3,4,5,6,7"
Merge Q2265,"1,2,3,4,5"
Merge Q227,"1,2,3,4,5,6,7,8"
Merge Q2273,"1,2,3"
Merge Q2281,"1,2,3,4,5,6,7"
Merge Q2282,"1,2,3,4,5,6,7"
Merge Q229,"1,3,4,5,6,7,8,9,10,11"
Merge Q23,"1,2,3,4,5,6,7,9,10"
Merge Q230,"1,2,3,4,6,7,8,9,11,14"
Merge Q2311,"1,2,3,4"
Merge Q2319,"1,2,3,4"
Merge Q232,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,18,19"
Merge Q2324,"1,2,3,4,5,6,7,8,9,10"
Merge Q2329,"1,2,3,4,5,6,7,8,9,10"
Merge Q2336,"1,2,3"
Merge Q2338,"1,2,3,4,5,6,7"
Merge Q235,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q236,"1,2,3,4,5,6,7,8,9,11"
Merge Q2361,"1,2,3,4,5,6"
Merge Q2366,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q2367,"1,2,3,4,5"
Merge Q2369,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q237,"1,2,3,4,5,6,7,8,10"
Merge Q2370,"1,2,3,4,5,6,7,8,9"
Merge Q2376,"1,2,3,4,5,6,7,8"
Merge Q238,"1,2,3,4,5,7,8,9,10,11,12,13,15"
Merge Q2383,"1,2,3,4,5"
Merge Q2384,"1,2,3,4,5,6,7,8,10"
Merge Q239,"1,2,3,4,5,6,9,10"
Merge Q2397,"1,2,3,4,5,6"
Merge Q24,"1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18"
Merge Q240,"1,2,3,4,5,7,8,9,10,11,13,14"
Merge Q2402,"1,2,3,4,5,6,7"
Merge Q2405,"1,2,3,4,5,6,7"
Merge Q2408,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge Q2409,"1,2,3,4,5,6"
Merge Q2413,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q2414,"1,2,3,4,5,6,7"
Merge Q2435,"1,2,3,4,6,7"
Merge Q2437,"1,2,3,4,5"
Merge Q2438,"1,2,3,4,5,6,7,8"
Merge Q245,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q2450,"1,2,3,4,5"
Merge Q2456,"1,2,3,4,5,6,7,8"
Merge Q246,"1,2,3,4,5,6,8,9,10,11,13,14,15,16"
Merge Q2473,"1,2,3,4,5,6"
Merge Q2481,"1,2,3,4,5,6,7"
Merge Q249,"1,2,3,4,5,6,7,8"
Merge Q2490,"1,2,3,4,5,6,7,8,9,10"
Merge Q2494,"1,2,3,4,5"
Merge Q2495,"1,2,3,4,5,6,7"
Merge Q2497,"1,2,3,4"
Merge Q251,"1,2,3,4,5,7,8,9,10,11"
Merge Q2511,"1,2,3,4,5,6"
Merge Q2517,"1,2,3,4,5,6,7"
Merge Q2533,"1,2,3,4,5,6,7,8,9,10"
Merge Q2536,"1,2,3,4,5,6,7,8,9,10,11"
Merge Q2539,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
Merge Q254,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge Q2542,"1,2,3,4"
Merge Q2550,"1,2,3,4,5"
Merge Q256,"1,2,3,4,5,6,7,9,10,11,13,14"
Merge Q2568,"1,2,3,4,5,6"
Merge Q2569,"1,2,3,4,5,6,7,8"
Merge Q258,"1,2,3,5,6,7,8,11,12,14,15"
Merge Q2582,"1,2,3,4,5,6"
Merge Q2589,"1,2,3,4,5"
Merge Q2593,"1,2,3,4,5,6,7,8,9,10"
Merge Q2594,"1,2,3,4,5,6"
Merge Q2595,"1,2,3,4,5,6,7"
Merge Q26,"1,2,3,4,6,7,9,10,11,12,13"
Merge Q2608,"1,2,3,4,5"
Merge Q2609,"1,2,3,4,5,6"
