QA_ID_std,14B_sentence_number,4k_ID_std,ID_corr,human_sentence_ids,data_source_corr,sentence_number_corr,keep_k
Merge Q102,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",Merge Q102,ID1150,"1, 2, 11, 12, 13, 15",jama,17.0,6.0
Merge Q1020,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",Merge Q1020,ID0199,"1, 2, 3, 4, 10, 11, 12, 13, 15",jama,15.0,9.0
Merge Q1023,"1,2,3,4,5,6,7,8,9,10,11,12,13,15",Merge Q1023,ID1032,"1, 6, 7, 9, 14",jama,15.0,5.0
Merge Q1025,"1,2,3,4,5,6,7,9,10,11,12,13,15",Merge Q1025,ID1977,"1, 6, 15",jama,15.0,3.0
Merge Q1027,"1,2,3,4,5,6,7,8,9,10",Merge Q1027,ID0551,"1, 4, 5, 7, 8",jama,11.0,5.0
Merge Q103,"1,2,3,4,5,6,7,10,11,12,13",Merge Q103,ID0295,"1, 3, 4, 5, 6, 8",jama,13.0,6.0
Merge Q1032,"1,2,3,4,5,6,7,8,10",Merge Q1032,ID1174,"1, 2, 3, 4, 6, 7, 9, 10, 11",jama,11.0,9.0
Merge Q1033,"1,2,3,4,5,6,7,8",Merge Q1033,ID0278,"1, 2, 4, 5, 6, 8",jama,8.0,6.0
Merge Q1037,"1,2,3,4,5,6,7,8",Merge Q1037,ID1570,"1, 2, 3, 8",medbullets,8.0,4.0
Merge Q1039,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1039,ID0852,"1, 2, 4, 5, 8, 9, 10, 11",medbullets,11.0,8.0
Merge Q104,"1,2,3,4,6,7,8,9,10,11,12,13,15,16",Merge Q104,ID0699,1,jama,16.0,1.0
Merge Q1040,"1,2,3,4,5,6,7",Merge Q1040,ID0728,1,medbullets,7.0,1.0
Merge Q1041,"1,2,3,4,5,6,7",Merge Q1041,ID1919,"1, 4, 6, 7",medbullets,7.0,4.0
Merge Q1042,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1042,ID0801,"1, 6, 7, 8, 10, 11",medbullets,11.0,6.0
Merge Q1044,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1044,ID0790,"1, 2, 3, 4, 5, 9, 11",medbullets,11.0,7.0
Merge Q1046,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1046,ID1279,"1, 2, 3, 5, 9, 10, 11, 12, 13",medbullets,13.0,9.0
Merge Q1047,"1,2,3,4,5,6,7,8,9,10",Merge Q1047,ID1488,"1, 2, 3, 6, 7",medbullets,10.0,5.0
Merge Q1050,"1,2,3,4,5,6,7,8,9,10",Merge Q1050,ID0314,"1, 4, 7, 8, 9, 10",medbullets,10.0,6.0
Merge Q1051,"1,2,3,4,5,6",Merge Q1051,ID1536,"2, 3, 5, 6",medbullets,6.0,4.0
Merge Q1053,"1,2,3,4,5,6,7,8,9",Merge Q1053,ID1051,"2, 3, 7, 8, 9",medbullets,9.0,5.0
Merge Q1054,"1,2,3,4,5,6,7,8,9,10",Merge Q1054,ID0529,"1, 2, 3, 4, 6, 8, 10",medbullets,10.0,7.0
Merge Q1055,"1,2,3,4,5,6,7,8,9",Merge Q1055,ID1489,"1, 2, 5, 6, 7, 8",medbullets,9.0,6.0
Merge Q1058,"1,2,3,4,5,6,7,8,9",Merge Q1058,ID1081,"1, 2, 3, 4, 5, 6, 7, 8",medbullets,9.0,8.0
Merge Q1060,"1,2,3,4,5,6,7,8,9,10",Merge Q1060,ID1974,"1, 2, 3, 4, 5, 6, 7, 9",medbullets,10.0,8.0
Merge Q1061,"1,2,3,4",Merge Q1061,ID1130,"1, 3, 4",medbullets,4.0,3.0
Merge Q1062,"1,2,3,4,5,6,7,8,9",Merge Q1062,ID1153,"2, 3, 6, 7",medbullets,9.0,4.0
Merge Q1063,"1,2,3,4,5,6,7",Merge Q1063,ID0007,"2, 3, 4, 5, 7",medbullets,7.0,5.0
Merge Q1065,"1,2,3,4,5,6,7,8,9",Merge Q1065,ID1337,"1, 2, 3, 4, 6, 7",medbullets,9.0,6.0
Merge Q1066,"1,2,3,4,5,6,7,8",Merge Q1066,ID0135,"1, 2, 3, 4, 5",medbullets,8.0,5.0
Merge Q1067,"1,2,3,4,5,6,7,8,9",Merge Q1067,ID1983,"1, 2, 3, 5, 6, 7, 8, 9",medbullets,9.0,8.0
Merge Q1068,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1068,ID0600,"1, 2, 4, 5, 9",medbullets,11.0,5.0
Merge Q1069,"1,2,3,4,5,6,7",Merge Q1069,ID0715,"1, 2, 4, 6, 7",medbullets,7.0,5.0
Merge Q107,"1,2,3,4,5,6,7,9,10,11,12,13,14,15",Merge Q107,ID1900,"1, 6, 9, 13",jama,15.0,4.0
Merge Q1070,"1,2,3,4,5,6,7,8",Merge Q1070,ID0713,"1, 2, 3, 5, 7, 8",medbullets,8.0,6.0
Merge Q1072,"1,2,3,4,5,6,7,8,9",Merge Q1072,ID1845,"1, 2, 4, 5, 7, 8",medbullets,9.0,6.0
Merge Q1074,"1,2,3,4,5,6,7,8",Merge Q1074,ID1998,"1, 2, 3, 4, 5, 6",medbullets,8.0,6.0
Merge Q1076,"1,2,3,4,5,6,7,8,9",Merge Q1076,ID1599,"1, 2, 3, 8, 9",medbullets,9.0,5.0
Merge Q1077,"1,2,3,4,5,6,7,8,9",Merge Q1077,ID0673,"1, 3, 5, 6, 7, 8, 9",medbullets,9.0,7.0
Merge Q1078,"1,2,3,4,5,6,7,8,9",Merge Q1078,ID0564,"1, 5, 6, 7, 8",medbullets,9.0,5.0
Merge Q1079,"1,2,3,4,5,6,7,8,9,10",Merge Q1079,ID0711,"2, 3, 5, 6, 7, 8",medbullets,10.0,6.0
Merge Q108,"1,2,3,4,5,6,7,8,9,10",Merge Q108,ID1047,"1, 2, 3, 4, 5, 11, 12, 13",jama,13.0,8.0
Merge Q1080,"1,2,3,4,5,6,7",Merge Q1080,ID1632,"5, 6",medbullets,7.0,2.0
Merge Q1081,"1,2,3,4,5,6,7,8",Merge Q1081,ID1824,"3, 4, 7",medbullets,8.0,3.0
Merge Q1082,"1,2,3,4,5,6",Merge Q1082,ID0496,"1, 3, 6",medbullets,6.0,3.0
Merge Q1083,"1,2,3,4,5,6,7,8,9",Merge Q1083,ID1955,"1, 2, 3, 5, 8, 9",medbullets,9.0,6.0
Merge Q1085,"1,2,3,4,5,6,7,8",Merge Q1085,ID1898,"1, 2, 3, 4, 6, 8",medbullets,8.0,6.0
Merge Q1087,"1,2,3,4,5,6,7,8",Merge Q1087,ID0949,"1, 2, 3, 5",medbullets,8.0,4.0
Merge Q1089,"1,2,3,4,5,6,7,8,9,10",Merge Q1089,ID0325,"1, 2, 7, 8",medbullets,10.0,4.0
Merge Q109,"1,2,3,4,5,6",Merge Q109,ID0465,"1, 2, 3, 4, 5, 7, 9, 10",jama,11.0,8.0
Merge Q1091,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1091,ID1963,"1, 2, 9, 10, 11",medbullets,11.0,5.0
Merge Q1092,"1,2,3,4,5,6,7",Merge Q1092,ID0619,"1, 2, 3, 4, 6",medbullets,7.0,5.0
Merge Q1093,"1,2,3,4,5",Merge Q1093,ID1812,"2, 3",medbullets,5.0,2.0
Merge Q1095,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",Merge Q1095,ID1821,"2, 3, 7, 11, 12, 13, 14, 15",medbullets,15.0,8.0
Merge Q1096,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1096,ID1157,"1, 2, 3, 4, 7, 8, 9, 10, 11",medbullets,11.0,9.0
Merge Q1097,"1,2,3,4,5,7",Merge Q1097,ID0221,"1, 2, 3, 5, 6, 7",medbullets,7.0,6.0
Merge Q1098,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1098,ID0679,"1, 2, 3, 8, 9, 10, 11",medbullets,11.0,7.0
Merge Q1099,"1,2,3,4,5,6,7,8",Merge Q1099,ID0830,"1, 2, 3, 4, 7",medbullets,8.0,5.0
Merge Q11,"1,2,3,4,5,6,7,8,9",Merge Q11,ID0321,"1, 2, 4, 6, 7, 8, 9",jama,9.0,7.0
Merge Q110,"1,2,3,4,5,6,7,8,9,11,12,13",Merge Q110,ID0415,"1, 2, 4, 5, 6, 7, 9, 11, 12",jama,13.0,9.0
Merge Q1101,"1,2,3,4,5,6,7,8,9,10",Merge Q1101,ID1129,"1, 2, 8, 9",medbullets,10.0,4.0
Merge Q1102,"1,2,3,4,5,6,7,8",Merge Q1102,ID0788,"1, 2, 4",medbullets,8.0,3.0
Merge Q1103,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1103,ID1508,8,medbullets,12.0,1.0
Merge Q1104,"1,2,3,4,5,6,7",Merge Q1104,ID1480,"1, 2, 3, 5",medbullets,7.0,4.0
Merge Q1105,"1,2,3,4,5,6,7,8,9,10",Merge Q1105,ID0924,"1, 3, 5, 6, 7, 8, 9, 10",medbullets,10.0,8.0
Merge Q1106,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1106,ID1315,"2, 3, 8, 10, 11",medbullets,12.0,5.0
Merge Q1108,"1,2,3,4,5,6,7,8,9",Merge Q1108,ID1200,"1, 2, 3, 5, 8, 9, 10",medbullets,10.0,7.0
Merge Q1109,"1,2,3,4,5,6,7,8",Merge Q1109,ID0182,"1, 2, 3, 4, 8",medbullets,8.0,5.0
Merge Q111,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q111,ID1819,"1, 6, 7, 11, 12",jama,12.0,5.0
Merge Q1110,"1,2,3,4,5,6,7,8,9,10",Merge Q1110,ID0048,"2, 3",medbullets,10.0,2.0
Merge Q1111,"1,2,3,4,5,6,7,8,9",Merge Q1111,ID1634,"1, 2, 4, 6, 7, 8, 9",medbullets,9.0,7.0
Merge Q1113,"1,2,3,4,5,6,7,8",Merge Q1113,ID1602,"1, 3, 7, 8",medbullets,8.0,4.0
Merge Q1115,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",Merge Q1115,ID0046,"1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14",medbullets,14.0,11.0
Merge Q1117,"1,2,3,4,5,6,7,8",Merge Q1117,ID0796,"1, 3, 6, 7",medbullets,8.0,4.0
Merge Q1118,"1,2,3,4,5,6,7,8,9",Merge Q1118,ID1397,"1, 2, 9",medbullets,9.0,3.0
Merge Q112,"1,2,3,4,5,6,7,8,9,10",Merge Q112,ID0215,"1, 2, 3, 4, 6, 8, 9",jama,10.0,7.0
Merge Q1120,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1120,ID0495,"1, 2, 3, 4, 5, 10, 11",medbullets,11.0,7.0
Merge Q1121,"1,2,3,4,5,6",Merge Q1121,ID0967,"1, 2, 5, 6",medbullets,6.0,4.0
Merge Q1122,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1122,ID0517,"1, 2, 3, 5, 9, 11",medbullets,11.0,6.0
Merge Q1125,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1125,ID0662,"1, 2, 5, 9, 10, 11, 12",medbullets,12.0,7.0
Merge Q1128,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",Merge Q1128,ID0115,"1, 5, 10, 15",medbullets,16.0,4.0
Merge Q1129,"1,2,3,4,5,6",Merge Q1129,ID1496,"1, 4, 6",medbullets,6.0,3.0
Merge Q1131,"1,2,3,4,5,6,7,8",Merge Q1131,ID1439,"1, 2, 3, 4",medbullets,8.0,4.0
Merge Q1132,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1132,ID1116,"1, 2, 4, 11",medbullets,11.0,4.0
Merge Q1133,"1,2,3,4,5,6,7,8,9,10",Merge Q1133,ID0568,"1, 2, 3, 5, 6, 8, 9",medbullets,10.0,7.0
Merge Q1134,"1,2,3,4,5,6,7,8",Merge Q1134,ID1685,"3, 7, 8",medbullets,8.0,3.0
Merge Q1136,"1,2,3,4,5,6,7,8",Merge Q1136,ID1221,"1, 2, 5, 6",medbullets,8.0,4.0
Merge Q1137,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1137,ID0247,"7, 8, 9, 10",medbullets,11.0,4.0
Merge Q114,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q114,ID1560,"1, 2, 3, 7, 9, 10, 11, 12",jama,13.0,8.0
Merge Q1140,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1140,ID1232,"1, 2, 3, 4, 5, 6, 8",medbullets,11.0,7.0
Merge Q1141,"1,2,3,4,5,6,7,8,9,10",Merge Q1141,ID1158,"1, 3, 8, 9, 10",medbullets,10.0,5.0
Merge Q1143,"1,2,3,4,5,6",Merge Q1143,ID0974,"1, 6",medbullets,6.0,2.0
Merge Q1144,"1,2,3,4,5,6,7,8,10,11",Merge Q1144,ID1271,"1, 3, 4, 5, 7, 10",medbullets,11.0,6.0
Merge Q1145,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",Merge Q1145,ID1553,"1, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15",medbullets,15.0,12.0
Merge Q1147,"1,2,3,4,5,6,7,8,9",Merge Q1147,ID1093,"1, 3, 4, 5, 6, 8",medbullets,9.0,6.0
Merge Q1148,"1,2,3,4,5,6,7,8,9,10",Merge Q1148,ID1490,"1, 4, 10",medbullets,10.0,3.0
Merge Q1149,"1,2,3,4,5,6,7,8,9,10",Merge Q1149,ID0693,"1, 2, 3, 5, 10",medbullets,10.0,5.0
Merge Q1150,"1,2,3,4,5,6,7",Merge Q1150,ID1895,"1, 2, 3, 6, 7",medbullets,7.0,5.0
Merge Q1151,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1151,ID1218,"1, 2, 3, 4, 9, 11, 13",medbullets,13.0,7.0
Merge Q1152,"1,2,3,4,5,6,7,8",Merge Q1152,ID0893,"1, 3",medbullets,8.0,2.0
Merge Q1153,"1,2,3,4,5,6,7,8,9",Merge Q1153,ID1362,"1, 2, 5, 7, 8, 9",medbullets,9.0,6.0
Merge Q1154,"1,2,3,4,5,6,7,8,9",Merge Q1154,ID1384,"1, 5, 9",medbullets,9.0,3.0
Merge Q1155,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1155,ID0078,"1, 2, 4, 7, 8, 9, 10, 11, 12, 13",medbullets,13.0,10.0
Merge Q1159,"1,2,3,4,5,6,7",Merge Q1159,ID1833,"1, 2, 6",medbullets,7.0,3.0
Merge Q1160,"1,2,3,4,5,6,7,8,9,10",Merge Q1160,ID0249,"1, 9",medbullets,10.0,2.0
Merge Q1161,"1,2,3,4,5,6,7,8,9",Merge Q1161,ID1945,"1, 2, 3, 4, 7, 8",medbullets,9.0,6.0
Merge Q1162,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1162,ID1028,"1, 2, 3, 4, 5, 6, 8, 10, 11",medbullets,11.0,9.0
Merge Q1163,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1163,ID0238,"1, 2, 5, 6, 7, 9, 10",medbullets,11.0,7.0
Merge Q1164,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1164,ID0759,"1, 2, 3, 4, 5, 6",medbullets,12.0,6.0
Merge Q1165,"1,2,3,4,5,6,7,8,9,10",Merge Q1165,ID0844,"1, 3, 7, 9",medbullets,10.0,4.0
Merge Q1167,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1167,ID0102,"6, 9, 10",medbullets,12.0,3.0
Merge Q1169,"1,2,3,4,5,6,7,8",Merge Q1169,ID1494,"1, 2, 8",medbullets,8.0,3.0
Merge Q117,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q117,ID1458,"1, 2, 4, 7, 8, 9, 10, 11, 12",jama,12.0,9.0
Merge Q1171,"1,2,3,4,5",Merge Q1171,ID0152,"1, 2, 5",medbullets,5.0,3.0
Merge Q1172,"1,2,3,4,5,6,7,8,9,10",Merge Q1172,ID0928,"1, 4, 5, 6, 9",medbullets,10.0,5.0
Merge Q1173,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1173,ID1411,"1, 2, 3, 9, 10",medbullets,12.0,5.0
Merge Q1174,"1,2,3,4,5,6,7,8,9",Merge Q1174,ID1338,"1, 2, 3, 6",medbullets,9.0,3.0
Merge Q1175,"1,2,3,4,5,6,7,8,9",Merge Q1175,ID1718,"3, 4, 7, 8, 9",medbullets,9.0,5.0
Merge Q1176,"1,2,3,4,5,6,7,8,9,10",Merge Q1176,ID1468,"8, 9, 10",medbullets,10.0,3.0
Merge Q1177,"1,2,3,4,5,6,7,8,9",Merge Q1177,ID1539,"1, 2, 4, 7, 8, 9",medbullets,9.0,6.0
Merge Q1178,"1,2,3,4,5,6",Merge Q1178,ID0244,"1, 2, 6",medbullets,6.0,3.0
Merge Q118,"1,2,3,4,5,6,7,8,9,10,11",Merge Q118,ID1517,"1, 2, 5, 7, 11",jama,11.0,5.0
Merge Q1180,"1,2,3,4,5,6,7,8,9,10",Merge Q1180,ID0185,"1, 3, 9",medbullets,10.0,3.0
Merge Q1181,"1,2,3,4,5,6,7,8,9,10",Merge Q1181,ID0887,"1, 2, 4, 10",medbullets,10.0,4.0
Merge Q1183,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1183,ID1394,"5, 6, 7, 8, 13",medbullets,13.0,5.0
Merge Q1184,"1,2,3,4,5,6,7,8",Merge Q1184,ID0106,"1, 2, 3, 6, 7, 8",medbullets,8.0,6.0
Merge Q1185,"1,2,3,4,5,6,7,8,9",Merge Q1185,ID1378,"1, 2, 3, 4, 5, 7, 8, 9",medbullets,9.0,8.0
Merge Q1187,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1187,ID0470,"1, 2, 3, 8, 11",medbullets,13.0,5.0
Merge Q119,"1,2,3,4,5,7,8",Merge Q119,ID1510,"1, 3, 4, 5",jama,8.0,4.0
Merge Q1190,"1,2,3,4,5,6,7,8,9",Merge Q1190,ID0585,"1, 2, 8",medbullets,9.0,3.0
Merge Q1191,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1191,ID0885,"8, 10, 12",medbullets,12.0,3.0
Merge Q1192,"1,2,3,4,5,6,7,8",Merge Q1192,ID1704,"1, 2, 4, 5, 6, 8",medbullets,8.0,6.0
Merge Q1193,"1,2,3,4,5,6,7,8,9,10",Merge Q1193,ID1228,"1, 2, 7, 9",medbullets,10.0,4.0
Merge Q1194,"1,2,3,4,5,6,7,8,9,10",Merge Q1194,ID1413,"3, 9",medbullets,10.0,2.0
Merge Q1195,"1,2,3,4,5,6,7,8,9,10",Merge Q1195,ID1142,"1, 3, 4, 8, 9, 10",medbullets,10.0,6.0
Merge Q1196,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1196,ID1822,"8, 9, 13",medbullets,13.0,3.0
Merge Q1198,"1,2,3,4,5,6,7,8,9,10",Merge Q1198,ID1706,"1, 2, 3, 4, 5, 10",medbullets,10.0,6.0
Merge Q1199,"1,2,3,4,5,6,7",Merge Q1199,ID0032,"1, 2, 5, 6",medbullets,7.0,4.0
Merge Q12,"1,2,4,5,6,7,8,9",Merge Q12,ID1073,"1, 4, 5, 7, 8, 10, 11",jama,12.0,7.0
Merge Q1200,"1,2,3,4,5,6,7,8,9",Merge Q1200,ID1452,"1, 4, 5, 7, 9",medbullets,9.0,5.0
Merge Q1201,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1201,ID1629,"3, 4, 6, 7, 8, 9, 10",medbullets,11.0,7.0
Merge Q1202,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1202,ID0853,"1, 2, 6, 7, 9, 12",medbullets,13.0,6.0
Merge Q1204,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1204,ID0111,"1, 2, 3, 6, 7, 10, 11",medbullets,11.0,7.0
Merge Q1205,"1,2,3,4,5,6,7",Merge Q1205,ID1343,"1, 2, 5, 6, 7",medbullets,7.0,5.0
Merge Q1207,"1,2,3,4,5,6,7,8,9",Merge Q1207,ID0923,"1, 2, 3, 6, 7, 8, 9",medbullets,10.0,7.0
Merge Q121,"1,2,3,4,6,7,8,9,10,11,13,14,15",Merge Q121,ID0915,"3, 6, 14",jama,15.0,3.0
Merge Q1210,"1,2,3,4,5,6,7,8",Merge Q1210,ID0970,"1, 2, 3, 6, 8",medbullets,8.0,5.0
Merge Q1213,"1,2,3,4,5,6,7,8,9,10",Merge Q1213,ID1202,"1, 4, 5, 8",medbullets,10.0,4.0
Merge Q1214,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1214,ID0029,"1, 2, 3, 4, 5, 9, 11, 12",medbullets,12.0,8.0
Merge Q1215,"1,2,3,4,5,6,7,8",Merge Q1215,ID0403,"1, 7, 8",medbullets,8.0,3.0
Merge Q1216,"1,3,4,5,6,7,8,9,10,11,12",Merge Q1216,ID1880,"2, 3, 4, 7, 10",medbullets,12.0,5.0
Merge Q1217,"1,2,3,4,5,6,7,8,9",Merge Q1217,ID1927,"1, 2, 3, 5",medbullets,9.0,4.0
Merge Q1218,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1218,ID0034,"1, 3, 4, 5, 6, 7, 10",medbullets,11.0,7.0
Merge Q1219,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1219,ID0987,"1, 2, 3, 4, 5, 6",medbullets,11.0,6.0
Merge Q1220,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1220,ID1262,"1, 2, 3, 4, 11",medbullets,12.0,5.0
Merge Q1221,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1221,ID0055,"1, 3, 4, 6, 7, 11",medbullets,12.0,6.0
Merge Q1222,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1222,ID0836,"2, 3, 8, 9, 10, 11",medbullets,12.0,6.0
Merge Q1223,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1223,ID1846,"1, 2, 3, 5, 8, 10, 11, 12",medbullets,12.0,8.0
Merge Q1227,"1,2,3,4,5,6,7,8",Merge Q1227,ID0438,"1, 2, 7, 8",medbullets,8.0,4.0
Merge Q1229,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1229,ID1269,"1, 7, 8",medbullets,11.0,3.0
Merge Q1230,"1,2,3,4,5,6,7,8,9",Merge Q1230,ID0305,"1, 2, 6, 7, 8",medbullets,7.0,3.0
Merge Q1231,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1231,ID0835,"2, 3, 6, 9, 11",medbullets,11.0,5.0
Merge Q1233,"1,2,3,4,5,6,7,8,9",Merge Q1233,ID0198,"1, 7, 8, 10",medbullets,10.0,4.0
Merge Q1238,"1,2,3,4,5,6,7,8,9",Merge Q1238,ID1566,"1, 2, 3, 7, 9",medbullets,9.0,5.0
Merge Q1239,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1239,ID1457,"1, 3, 4, 5, 6, 11, 12",medbullets,12.0,7.0
Merge Q1240,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1240,ID1534,"1, 2, 9, 10",medbullets,13.0,4.0
Merge Q1241,"1,2,3,4,5,6,7,8,9",Merge Q1241,ID1475,"1, 3, 7, 8",medbullets,9.0,4.0
Merge Q1242,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1242,ID0546,"1, 2, 3, 6, 7, 10",medbullets,12.0,6.0
Merge Q1243,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1243,ID1024,"9, 10",medbullets,11.0,2.0
Merge Q1244,"1,2,3,4,5,6",Merge Q1244,ID1245,"1, 2, 4, 5, 6",medbullets,6.0,5.0
Merge Q1245,"1,2,3,4,5,6,7,8,9,10,11",Merge Q1245,ID1495,"1, 2, 3, 8, 11",medbullets,11.0,5.0
Merge Q1246,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q1246,ID0468,"1, 2, 3, 4, 9, 10, 11",medbullets,12.0,7.0
Merge Q1247,"1,2,3,4,5,6",Merge Q1247,ID1637,"1, 2, 6",medbullets,6.0,3.0
Merge Q1252,"1,2,3,4,5",Merge Q1252,ID0810,"1, 2, 3, 4",medbullets,5.0,4.0
Merge Q1253,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q1253,ID1246,"3, 5, 6, 9, 10, 13",medbullets,13.0,6.0
Merge Q1254,"1,2,3,4,5,6,7,8,9",Merge Q1254,ID1137,"1, 2, 3, 4, 6",medbullets,9.0,5.0
Merge Q1256,"1,2,3,4,5,6,7",Merge Q1256,ID0732,"1, 2, 3, 6, 7",medbullets,8.0,6.0
Merge Q1257,"1,2,3,4,5,6,7,8",Merge Q1257,ID0447,"1, 2, 3, 6, 8, 9",medbullets,9.0,6.0
Merge Q1258,"1,2,3,4,5,6,7,8,9",Merge Q1258,ID0841,"1, 5, 6, 7, 8, 9",medbullets,9.0,6.0
Merge Q1259,"1,2,3,4,5,6,7,8,9,10",Merge Q1259,ID0177,"7, 8, 9, 10",medbullets,10.0,4.0
Merge Q126,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q126,ID0072,"1, 3, 5, 8, 10, 11, 12, 13",jama,13.0,8.0
Merge Q1260,"1,2,3,4,5,6,7",Merge Q1260,ID1307,5,medbullets,7.0,1.0
Merge Q1261,"1,2,3,4,5,6,7",Merge Q1261,ID1952,"1, 2, 3, 4, 5",medbullets,7.0,5.0
Merge Q1262,"1,2,3,4,5,6,7,8,9,10",Merge Q1262,ID0613,"1, 2, 3, 4, 5",medbullets,10.0,5.0
Merge Q1263,"1,2,3,4,5,6,7,8",Merge Q1263,ID1786,"1, 6, 7",medbullets,8.0,3.0
Merge Q1265,"1,2,3,4,5,6,7,8,9",Merge Q1265,ID1422,"1, 4, 8, 9",medbullets,10.0,4.0
