ID_corr,4k_ID,Extracted_Answer,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,data_source_corr
ID0852,Merge Q1039,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0699,Merge Q104,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,jama
ID0728,Merge Q1040,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID1919,Merge Q1041,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID0801,Merge Q1042,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0790,Merge Q1044,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID1279,Merge Q1046,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,medbullets
ID1488,Merge Q1047,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0314,Merge Q1050,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1536,Merge Q1051,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,medbullets
ID1051,Merge Q1053,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0529,Merge Q1054,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1489,Merge Q1055,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1081,Merge Q1058,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1974,Merge Q1060,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1130,Merge Q1061,A,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,medbullets
ID1153,Merge Q1062,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0007,Merge Q1063,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID1337,Merge Q1065,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0135,Merge Q1066,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1983,Merge Q1067,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0600,Merge Q1068,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0715,Merge Q1069,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID1900,Merge Q107,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,jama
ID0713,Merge Q1070,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1845,Merge Q1072,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1998,Merge Q1074,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1599,Merge Q1076,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0673,Merge Q1077,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0564,Merge Q1078,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0711,Merge Q1079,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1047,Merge Q108,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,jama
ID1632,Merge Q1080,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID1824,Merge Q1081,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID0496,Merge Q1082,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,medbullets
ID1955,Merge Q1083,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1898,Merge Q1085,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID0949,Merge Q1087,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID0325,Merge Q1089,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0465,Merge Q109,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,jama
ID1963,Merge Q1091,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0619,Merge Q1092,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID1812,Merge Q1093,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,medbullets
ID1821,Merge Q1095,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,medbullets
ID1157,Merge Q1096,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0221,Merge Q1097,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID0679,Merge Q1098,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0830,Merge Q1099,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID0321,Merge Q11,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,jama
ID0415,Merge Q110,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,jama
ID1129,Merge Q1101,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0788,Merge Q1102,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1508,Merge Q1103,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,medbullets
ID1480,Merge Q1104,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID0924,Merge Q1105,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1315,Merge Q1106,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,medbullets
ID1200,Merge Q1108,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,medbullets
ID0182,Merge Q1109,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1819,Merge Q111,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,jama
ID0048,Merge Q1110,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1634,Merge Q1111,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1602,Merge Q1113,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,medbullets
ID0046,Merge Q1115,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,medbullets
ID0796,Merge Q1117,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1397,Merge Q1118,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0215,Merge Q112,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,jama
ID0495,Merge Q1120,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0967,Merge Q1121,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,medbullets
ID0517,Merge Q1122,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0662,Merge Q1125,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,medbullets
ID0115,Merge Q1128,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,medbullets
ID1496,Merge Q1129,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,medbullets
ID1439,Merge Q1131,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1116,Merge Q1132,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0568,Merge Q1133,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1685,Merge Q1134,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1221,Merge Q1136,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID0247,Merge Q1137,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID1560,Merge Q114,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,jama
ID1232,Merge Q1140,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID1158,Merge Q1141,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0974,Merge Q1143,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,medbullets
ID1271,Merge Q1144,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID1553,Merge Q1145,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,medbullets
ID1093,Merge Q1147,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1490,Merge Q1148,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0693,Merge Q1149,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1895,Merge Q1150,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID1218,Merge Q1151,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,medbullets
ID0893,Merge Q1152,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1362,Merge Q1153,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1384,Merge Q1154,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0078,Merge Q1155,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,medbullets
ID1833,Merge Q1159,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID0249,Merge Q1160,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1945,Merge Q1161,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1028,Merge Q1162,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0238,Merge Q1163,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,medbullets
ID0759,Merge Q1164,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,medbullets
ID0844,Merge Q1165,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0102,Merge Q1167,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,medbullets
ID1494,Merge Q1169,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1458,Merge Q117,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,jama
ID0152,Merge Q1171,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,medbullets
ID0928,Merge Q1172,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1411,Merge Q1173,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,medbullets
ID1338,Merge Q1174,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1718,Merge Q1175,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID1468,Merge Q1176,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1539,Merge Q1177,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0244,Merge Q1178,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,medbullets
ID1517,Merge Q118,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,jama
ID0185,Merge Q1180,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0887,Merge Q1181,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1394,Merge Q1183,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,medbullets
ID0106,Merge Q1184,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1378,Merge Q1185,A,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0470,Merge Q1187,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,medbullets
ID1510,Merge Q119,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,jama
ID0585,Merge Q1190,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
ID0885,Merge Q1191,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,medbullets
ID1704,Merge Q1192,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,medbullets
ID1228,Merge Q1193,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1413,Merge Q1194,C,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1142,Merge Q1195,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID1822,Merge Q1196,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,medbullets
ID1706,Merge Q1198,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,medbullets
ID0032,Merge Q1199,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,medbullets
ID1073,Merge Q12,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,jama
ID1452,Merge Q1200,B,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,medbullets
