row_index,GPT4o_answer,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21
85,D,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,
87,C,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,
88,A,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,
89,C,High Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
90,,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,
91,,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
92,D,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,
93,C,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,,
94,D,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,,
95,D,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
96,D,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,
97,D,High Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,
98,D,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,
99,,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
100,A,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
101,D,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,
102,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
103,D,Low Relevance,Irrelevant,High Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,,,,,,,,,
104,B,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
105,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,
106,C,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,
107,A,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,
109,B,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,
110,D,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
111,,Low Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,
112,D,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,Irrelevant,Irrelevant,High Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,,,,,,,,,
113,,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,
114,B,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,
115,A,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,
117,B,High Relevance,High Relevance,Irrelevant,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,
118,C,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
119,,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
120,E,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,
121,D,Low Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,,
122,D,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
123,C,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,
124,A,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,
125,,High Relevance,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
126,C,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,
127,D,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
128,A,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,
129,C,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,
130,,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
131,,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
132,D,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,
133,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
134,B,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
135,B,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
136,,High Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,
137,,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,,
138,,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,
139,,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,
140,,Low Relevance,,,,,,,,,,,,,,,,,,,,
141,B,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,High Relevance,,,,,,,,,,,
142,,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,
143,C,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,
144,D,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,
145,A,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,
147,,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
148,B,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
149,A,High Relevance,,,,,,,,,,,,,,,,,,,,
150,,High Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,,
151,B,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
152,D,High Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,,,,
153,A,High Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,Irrelevant,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,
155,D,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,Irrelevant,,,,,,,,,,,
156,C,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,,,,,,,,,,,
157,,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,,,
158,A,High Relevance,Irrelevant,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,
159,C,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
160,C,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,
161,A,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,
162,A,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
163,B,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
164,,Low Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
165,,High Relevance,High Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,,,,
166,,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,
167,B,Low Relevance,High Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
168,B,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,,,,,,,,,,
169,,Low Relevance,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
170,C,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,
171,C,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,
172,,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,
173,,High Relevance,High Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,
175,,High Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
176,B,Low Relevance,Irrelevant,Irrelevant,Low Relevance,Irrelevant,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,
177,,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
178,C,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,
179,,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,
180,D,Low Relevance,Low Relevance,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,,,,,
181,A,High Relevance,High Relevance,High Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,
182,,Low Relevance,Irrelevant,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
183,C,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,,,,,,,,,,,
184,D,High Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
185,C,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,
186,C,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
187,,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,
189,A,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
190,D,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,
191,A,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,Irrelevant,High Relevance,High Relevance,,,,
192,E,Low Relevance,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,
194,B,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,,,
195,B,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,
196,D,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,,,,
197,A,Low Relevance,Irrelevant,Irrelevant,High Relevance,Low Relevance,,,,,,,,,,,,,,,,
198,B,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,
199,,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Irrelevant,,,,,,,,,,,,,,
200,A,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,
201,D,High Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,
202,C,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
203,A,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,
204,B,High Relevance,Low Relevance,Low Relevance,High Relevance,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,
205,D,Low Relevance,Low Relevance,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,
206,,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,,,,,,,,,
207,E,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,
208,D,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,,,,
209,D,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,
210,,Low Relevance,Low Relevance,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,
211,B,High Relevance,Low Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,,,
212,C,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,,,,,,,
213,B,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,,,,,,,
214,B,Low Relevance,Irrelevant,Irrelevant,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,,,,,,,,,,,,
215,,High Relevance,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,,,,,,
216,C,High Relevance,Low Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,,,
217,B,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,
