Origin,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,ID_corr,sentence_number_corr,answer_corr,data_source_corr,REMOVED_Sentences,sentence_number_df3,step1_excerpts,question_options,Filtered_Sentences,New_Sentences,Redundant Clinical Details,"Negative Result or vital signs, Not essential for diagnosis; Was the clinical information removed because it was negative and did not add meaningful value?","History (Medical, Surgical, Medication, Social) with No/Very Low Clinical Information",Low-yield diagnostic/interventional detail (Patient did X test; without result),"Low Relevant / Irrelevant Temporal Information (Patient did X, Y happened, etc. that is less relevant to current medical problem)",Did the labeler simply missed the important information and mislabeled relevant info to be irrelevant?,"Removed other relevant info? (Yes - they did remove, No - they didn't remove)","Using only filtered sentences, can you solve the question?",Sentences that needs further screening,ETC
ID0024,REMOVED,REMOVED,REMOVED,1,,,,,,,,,,,,,,,,,ID0024,4,B,mmlu,3,4,"1. A 25-year-old woman comes to the office because of a 6-month history of increasingly severe low back pain and heavy menses.  
2. Her temperature is 37.1¬∞C (98.8¬∞F), pulse is 75/min, respirations are 13/min, and blood pressure is 115/79 mm Hg.  
3. Physical examination shows no abnormalities.  
4. An endometrial biopsy specimen shows regular tubular endometrial glands with abundant mitotic figures in the endometrial glands and stroma.","Which of the following proteins or enzymes regulate the progression of cells into this phase of this patient's menstrual cycle?

A. AMP-dependent kinases

B. Cyclin-dependent kinases

C. Hexokinases

D. Lipid kinases","['1. A 25-year-old woman comes to the office because of a 6-month history of increasingly severe low back pain and heavy menses.  ', '2. Her temperature is 37.1¬∞C (98.8¬∞F), pulse is 75/min, respirations are 13/min, and blood pressure is 115/79 mm Hg.  ', '3. Physical examination shows no abnormalities.  ']",['4. An endometrial biopsy specimen shows regular tubular endometrial glands with abundant mitotic figures in the endometrial glands and stroma.'],No,Yes,Yes,No,No,No,No,Yes,,
ID0027,1,REMOVED,REMOVED,REMOVED,REMOVED,0.75,REMOVED,REMOVED,,,,,,,,,,,,,ID0027,8,D,mmlu,6,8,"1. A 47-year-old man comes to the physician 12 hours after the sudden onset of a severe occipital headache and stiff neck.  
2. He has not had any other symptoms and has no history of severe headache.  
3. He has hypertension and gastroesophageal reflux disease.  
4. Current medications include hydrochlorothiazide and ranitidine.  
5. He is oriented to person, place, and time.  
6. His temperature is 36.7¬∞C (98.1¬∞F), pulse is 100/min, and blood pressure is 160/90 mm Hg.  
7. Range of motion of the neck is decreased due to pain.  
8. Neurologic examination shows no focal findings.","Which of the following is the most likely diagnosis?

A. Cluster headache

B. Meningitis

C. Migraine

D. Subarachnoid hemorrhage","['2. He has not had any other symptoms and has no history of severe headache.  ', '3. He has hypertension and gastroesophageal reflux disease.  ', '4. Current medications include hydrochlorothiazide and ranitidine.  ', '5. He is oriented to person, place, and time.  ', '7. Range of motion of the neck is decreased due to pain.  ', '8. Neurologic examination shows no focal findings.']","['1. A 47-year-old man comes to the physician 12 hours after the sudden onset of a severe occipital headache and stiff neck.  ', '6. His temperature is 36.7¬∞C (98.1¬∞F), pulse is 100/min, and blood pressure is 160/90 mm Hg.  ']",Yes,Yes,Yes,No,No,No,No,Yes,,
ID0028,0.666666667,0.833333333,0.75,REMOVED,0.833333333,1,,,,,,,,,,,,,,,ID0028,6,A,medbullets,1,6,"1. A 72-year-old man presents to his primary care physician for a general checkup.
2. He states that he has been a bit more fatigued lately but believes it is secondary to poor sleep at his new house.
3. The patient is otherwise healthy and takes no medications.
4. His temperature is 98.0¬∞F (36.7¬∞C), blood pressure is 141/90 mmHg, pulse is 82/min, respirations are 16/min, and oxygen saturation is 98% on room air.
5. Physical exam is notable only for minor pallor but is otherwise unremarkable.
6. Basic laboratory studies are ordered as seen below.

Hemoglobin: 10 g/dL  
Hematocrit: 30%  
Leukocyte count: 67,500/mm^3  
Platelet count: 119,000/mm^3  

Serum:  
Na: 141 mEq/L  
Cl: 103 mEq/L  
K: 4.0 Eq/L  
HCO3-: 24 mEq/L  
BUN: 22 mg/dL  
Glucose: 109 mg/dL  
Creatinine: 1.2 mg/dL  
Ca: 10.0 mg/dL","Which of the following is the most likely diagnosis?

A. Chronic lymphocytic leukemia  
B. Acute lymphoblastic leukemia  
C. Hairy cell leukemia  
D. Chronic myelogenous leukemia","['4. His temperature is 98.0¬∞F (36.7¬∞C), blood pressure is 141/90 mmHg, pulse is 82/min, respirations are 16/min, and oxygen saturation is 98% on room air.']","['1. A 72-year-old man presents to his primary care physician for a general checkup.', '2. He states that he has been a bit more fatigued lately but believes it is secondary to poor sleep at his new house.', '3. The patient is otherwise healthy and takes no medications.', '5. Physical exam is notable only for minor pallor but is otherwise unremarkable.', '6. Basic laboratory studies are ordered as seen below.\n\nHemoglobin: 10 g/dL  \nHematocrit: 30%  \nLeukocyte count: 67,500/mm^3  \nPlatelet count: 119,000/mm^3  \n\nSerum:  \nNa: 141 mEq/L  \nCl: 103 mEq/L  \nK: 4.0 Eq/L  \nHCO3-: 24 mEq/L  \nBUN: 22 mg/dL  \nGlucose: 109 mg/dL  \nCreatinine: 1.2 mg/dL  \nCa: 10.0 mg/dL']",No,Yes,Yes,No,No,No,No,Yes,"3, 5",
ID0029,1,0.75,0.75,0.75,0.75,REMOVED,REMOVED,REMOVED,0.75,REMOVED,0.75,1,,,,,,,,,ID0029,12,A,medbullets,4,12,"1. A 46-year-old man presents with his wife to his primary care provider for depression and strange movements.
2. His wife reports that her husband has not been himself for the last 2 months.
3. Whereas he was previously outgoing and ‚Äúthe life of the party,‚Äù the patient is now irritable and withdrawn.
4. He is a partner at an accounting firm, but his colleagues are threatening to fire him if he continues to perform poorly at work.
5. The patient cannot explain the recent changes to his mood and tearfully admits he fears there is something seriously wrong with him.
6. His wife says that he is getting worse.
7. The patient‚Äôs medical history is significant for hypertension, for which he takes lisinopril.
8. His family history is unknown as he was adopted.
9. The patient met his mother once and never knew his father but was told he died in his 50s.
10. He drinks a few glasses of wine per week and has never smoked.
11. His temperature is 98.6¬∞F (37¬∞C), blood pressure is 141/87 mmHg, pulse is 81/min, and respirations are 12/min.
12. On physical exam, the patient has a flat affect with a facial grimace and sudden jerky movements of his upper extremities.","Which of the following is most likely to be seen on further workup?

A. Dorsal striatum atrophy on head CT  
B. Neurofibrillary tangles on brain biopsy  
C. Alpha-synuclein aggregates on brain biopsy  
D. Frontotemporal atrophy on head CT","['6. His wife says that he is getting worse.', '7. The patient‚Äôs medical history is significant for hypertension, for which he takes lisinopril.', '8. His family history is unknown as he was adopted.', '10. He drinks a few glasses of wine per week and has never smoked.']","['1. A 46-year-old man presents with his wife to his primary care provider for depression and strange movements.', '2. His wife reports that her husband has not been himself for the last 2 months.', '3. Whereas he was previously outgoing and ‚Äúthe life of the party,‚Äù the patient is now irritable and withdrawn.', '4. He is a partner at an accounting firm, but his colleagues are threatening to fire him if he continues to perform poorly at work.', '5. The patient cannot explain the recent changes to his mood and tearfully admits he fears there is something seriously wrong with him.', '9. The patient met his mother once and never knew his father but was told he died in his 50s.', '11. His temperature is 98.6¬∞F (37¬∞C), blood pressure is 141/87 mmHg, pulse is 81/min, and respirations are 12/min.', '12. On physical exam, the patient has a flat affect with a facial grimace and sudden jerky movements of his upper extremities.']",Yes,No,Yes,No,No,No,No,Yes,"2, 3, 4, 5",
ID0030,REMOVED,1,1,REMOVED,1,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,1,REMOVED,REMOVED,REMOVED,REMOVED,,,,,,ID0030,15,B,jama,11,15,"1. The patient is a 48-year-old man with a history of a rectal adenocarcinoma (cT3N2bM0) diagnosed 9 years prior.
2. Following neoadjuvant chemoradiotherapy, low anterior resection, and 6 cycles of adjuvant FOLFOX therapy (fluorouracil, leucovorin, and oxaliplatin), he had developed a lung metastasis (KRAS wild type) 1 year later.
3. He subsequently developed multiple lung metastases treated with palliative local interventions (lobectomy, radiofrequency ablation) and 4 lines of chemotherapy.
4. Owing to symptomatic lung disease, he was enrolled in a clinical trial (NCT03502733) following informed consent and achieved a confirmed partial response.
5. After 9 months, contrast computed tomography restaging scans noted a new, 1-cm posterior subglottic lesion of unclear origin (Figure, A).
6. He had no shortness of breath or noisy breathing, dysphagia, voice change, or hemoptysis.
7. A partial response was maintained without evidence of progression of lung disease.A, An axial computed tomographic image reveals a new posterior subglottic lesion (pink arrowhead) of unclear etiology.
8. B, In the operating room, the larynx was exposed with a Lindholm laryngoscope, and a Hopkins rod-lens endoscope was used to photograph the lesion under apneic conditions.
9. C, Photomicrograph (original magnification √ó20) of a section of the mass stained for CDX2 via standard immunohistochemical techniques.Otolaryngology was consulted to assess the lesion.
10. The differential diagnosis based on imaging included a mass vs inspissated mucus.
11. Examination using distal-chip flexible laryngoscopy revealed a 1-cm, broad-based, exophytic mass along the posterior wall of the subglottis with prominent vasculature.
12. No other anatomic abnormalities in the upper aerodigestive tract or cervical lymphadenopathy were noted.
13. The decision was made to proceed to the operating room for definitive endoscopic biopsy under general anesthesia (Figure, B).
14. Examination revealed a subglottic mass that did not extend inferiorly beyond the caudal aspect of the cricoid cartilage.
15. The mass was debulked and sent to pathology for analysis, including hematoxylin-eosin and immunohistochemical staining (Figure, C).","What Is Your Diagnosis?

A: Tracheal granuloma  
B: Metastatic rectal adenocarcinoma  
C: Subglottic squamous cell carcinoma  
D: Subglottic papilloma","['1. The patient is a 48-year-old man with a history of a rectal adenocarcinoma (cT3N2bM0) diagnosed 9 years prior.', '4. Owing to symptomatic lung disease, he was enrolled in a clinical trial (NCT03502733) following informed consent and achieved a confirmed partial response.', '6. He had no shortness of breath or noisy breathing, dysphagia, voice change, or hemoptysis.', '7. A partial response was maintained without evidence of progression of lung disease.A, An axial computed tomographic image reveals a new posterior subglottic lesion (pink arrowhead) of unclear etiology.', '8. B, In the operating room, the larynx was exposed with a Lindholm laryngoscope, and a Hopkins rod-lens endoscope was used to photograph the lesion under apneic conditions.', '9. C, Photomicrograph (original magnification √ó20) of a section of the mass stained for CDX2 via standard immunohistochemical techniques.Otolaryngology was consulted to assess the lesion.', '10. The differential diagnosis based on imaging included a mass vs inspissated mucus.', '12. No other anatomic abnormalities in the upper aerodigestive tract or cervical lymphadenopathy were noted.', '13. The decision was made to proceed to the operating room for definitive endoscopic biopsy under general anesthesia (Figure, B).', '14. Examination revealed a subglottic mass that did not extend inferiorly beyond the caudal aspect of the cricoid cartilage.', '15. The mass was debulked and sent to pathology for analysis, including hematoxylin-eosin and immunohistochemical staining (Figure, C).']","['2. Following neoadjuvant chemoradiotherapy, low anterior resection, and 6 cycles of adjuvant FOLFOX therapy (fluorouracil, leucovorin, and oxaliplatin), he had developed a lung metastasis (KRAS wild type) 1 year later.', '3. He subsequently developed multiple lung metastases treated with palliative local interventions (lobectomy, radiofrequency ablation) and 4 lines of chemotherapy.', '5. After 9 months, contrast computed tomography restaging scans noted a new, 1-cm posterior subglottic lesion of unclear origin (Figure, A).', '11. Examination using distal-chip flexible laryngoscopy revealed a 1-cm, broad-based, exophytic mass along the posterior wall of the subglottis with prominent vasculature.']",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
ID0032,1,0.666666667,REMOVED,REMOVED,0.666666667,1,REMOVED,,,,,,,,,,,,,,ID0032,7,D,medbullets,3,7,"1. A 34-year-old nulliparous woman presents to the clinic with 2 weeks of copper-colored discharge from her right nipple.
2. Her breast has not been tender, and she has not noticed any changes to the skin.
3. She is otherwise healthy and does not take any medications.
4. Her temperature is 36.5¬∞C (97.7¬∞F), blood pressure is 110/82 mmHg, pulse is 68/min, respirations are 12/min, and oxygen saturation is 99% on room air.
5. Exam of the right breast reveals no mass on palpation.
6. Bloody discharge is expressed from the right nipple.
7. There is no axillary lymphadenopathy.","Which of the following is the most likely diagnosis?

A. Ductal carcinoma in situ  
B. Mammary duct ectasia  
C. Invasive ductal carcinoma  
D. Intraductal papilloma","['3. She is otherwise healthy and does not take any medications.', '4. Her temperature is 36.5¬∞C (97.7¬∞F), blood pressure is 110/82 mmHg, pulse is 68/min, respirations are 12/min, and oxygen saturation is 99% on room air.', '7. There is no axillary lymphadenopathy.']","['1. A 34-year-old nulliparous woman presents to the clinic with 2 weeks of copper-colored discharge from her right nipple.', '2. Her breast has not been tender, and she has not noticed any changes to the skin.', '5. Exam of the right breast reveals no mass on palpation.', '6. Bloody discharge is expressed from the right nipple.']",No,Yes,Yes,No,No,No,Yes,,,
ID0034,0.666666667,REMOVED,0.666666667,1,1,1,1,REMOVED,REMOVED,1,REMOVED,,,,,,,,,,ID0034,11,A,medbullets,4,11,"1. A 27-year-old man presents to his primary care physician for exposure to toxic materials.
2. The patient states that when he left for work this morning he was certain that he had closed the door to his pantry.
3. Upon returning home, he saw that the door to his pantry was wide open.
4. The patient is certain that his neighbors have been tampering with his food and potentially poisoned him.
5. He further states that he knows they have been trying to break into his house and steal his things.
6. He has tried multiple times to get them evicted from the building to no avail.
7. It is for this reason that he is certain that they are trying to get their revenge upon him.
8. His temperature is 98.6¬∞F (37¬∞C), blood pressure is 115/71 mmHg, pulse is 72/min, and respirations are 12/min.
9. The physician performs a physical exam and tells the patient that he thinks there is nothing to be concerned about, but that he should call him or come into the office if he experiences any symptoms.
10. The patient is outraged at this news and requests a competent doctor who is not colluding with his enemies.
11. He storms out of the office angrily, stating that he deserves the best in medical care.","Which of the following is the most likely disorder that this patient is suffering from?

A. Paranoid personality disorder  
B. Borderline personality disorder  
C. Narcissistic personality disorder  
D. Schizoid personality disorder","['2. The patient states that when he left for work this morning he was certain that he had closed the door to his pantry.', '8. His temperature is 98.6¬∞F (37¬∞C), blood pressure is 115/71 mmHg, pulse is 72/min, and respirations are 12/min.', '9. The physician performs a physical exam and tells the patient that he thinks there is nothing to be concerned about, but that he should call him or come into the office if he experiences any symptoms.', '11. He storms out of the office angrily, stating that he deserves the best in medical care.']","['1. A 27-year-old man presents to his primary care physician for exposure to toxic materials.', '3. Upon returning home, he saw that the door to his pantry was wide open.', '4. The patient is certain that his neighbors have been tampering with his food and potentially poisoned him.', '5. He further states that he knows they have been trying to break into his house and steal his things.', '6. He has tried multiple times to get them evicted from the building to no avail.', '7. It is for this reason that he is certain that they are trying to get their revenge upon him.', '10. The patient is outraged at this news and requests a competent doctor who is not colluding with his enemies.']",No,Yes,No,Yes,Yes,No,No,Yes,,
ID0039,1,0.666666667,0.666666667,REMOVED,,,,,,,,,,,,,,,,,ID0039,4,B,mmlu,1,4,"1. A 7-month-old infant, who was recently discharged from the hospital following an episode of enteritis and dehydration, has persistent watery diarrhea.
2. His mother feeds him cow-milk formula and a variety of strained fruits and vegetables.
3. On physical examination, his temperature is 37.4¬∞C (99.3¬∞F), his mucous membranes are dry, and his abdomen is slightly distended.
4. No other abnormalities are seen.","The problem is most likely related to which of the following?

A. Fructose intolerance

B. Transient lactase deficiency

C. Magnesium deficiency

D. Regional enteritis",['4. No other abnormalities are seen.'],"['1. A 7-month-old infant, who was recently discharged from the hospital following an episode of enteritis and dehydration, has persistent watery diarrhea.', '2. His mother feeds him cow-milk formula and a variety of strained fruits and vegetables.', '3. On physical examination, his temperature is 37.4¬∞C (99.3¬∞F), his mucous membranes are dry, and his abdomen is slightly distended.']",No,Yes,No,No,No,No,No,Yes,,
ID0042,1,1,1,REMOVED,1,1,1,1,,,,,,,,,,,,,ID0042,8,B,medxpert,1,8,"1. A 3-month-old boy is brought to the physician by his parents because of a 2-day history of poor feeding and lethargy.  
2. He was born at term and has had three episodes of bilateral otitis media since birth.  
3. Umbilical cord separation occurred at the age of 8 weeks.  
4. He is at the 30th percentile for height and 20th percentile for weight.  
5. His temperature is 39.0¬∞C (102.2¬∞F) and blood pressure is 58/36 mm Hg.  
6. Physical examination shows white oral patches and confluent scaly erythematous skin lesions in the groin.  
7. Laboratory studies show a leukocyte count of 41,300/mm3 (92% segmented neutrophils and 8% lymphocytes) and a platelet count of 224,000/mm3.  
8. Blood cultures at 20¬∞C (68¬∞F) grow catalase-positive yeast cells.","Which of the following is the most likely underlying cause of this patient's symptoms?

A. Impaired neutrophil chemotaxis  
B. Defective beta-2 integrin  
C. Defective NADPH oxidase  
D. Abnormal toll-like receptor function  
E. Defective IL-12 receptor signaling  
F. Defective CD40 ligand  
G. Abnormal neutrophil granule formation  
H. Impaired myeloperoxidase function  
I. Defective neutrophil adhesion molecule expression  
J. Defective interferon-gamma production",['4. He is at the 30th percentile for height and 20th percentile for weight.  '],"['1. A 3-month-old boy is brought to the physician by his parents because of a 2-day history of poor feeding and lethargy.  ', '2. He was born at term and has had three episodes of bilateral otitis media since birth.  ', '3. Umbilical cord separation occurred at the age of 8 weeks.  ', '5. His temperature is 39.0¬∞C (102.2¬∞F) and blood pressure is 58/36 mm Hg.  ', '6. Physical examination shows white oral patches and confluent scaly erythematous skin lesions in the groin.  ', '7. Laboratory studies show a leukocyte count of 41,300/mm3 (92% segmented neutrophils and 8% lymphocytes) and a platelet count of 224,000/mm3.  ', '8. Blood cultures at 20¬∞C (68¬∞F) grow catalase-positive yeast cells.']",No,No,No,Yes,No,No,No,Yes,,
ID0043,1,1,REMOVED,1,1,REMOVED,1,REMOVED,,,,,,,,,,,,,ID0043,8,C,jama,3,8,"1. A black woman in her 50s presented to the clinic with a 3-month history of nontender mildly pruritic verrucous nodules in several areas of a polychromatic tattoo on her right lower leg and foot.  
2. She reported that these appeared 1 to 2 months following placement of the tattoo and were restricted to areas where the artist created pink zones by layering white ink over red ink.  
3. She denied pain, fevers, and chills and had no history of skin cancer.  
4. She reported a distant history of discoid lupus, and was taking 2 antihypertensives but no other oral or topical medications.  
5. Physical examination revealed well-demarcated erythematous to violaceous verrucous nodules on the right lateral leg and dorsal foot (Figure 1A).  
6. A punch biopsy specimen from a representative nodule was obtained, with an additional biopsy for tissue culture (Figure 1B).  
7. A, Verrucous nodules are restricted to zones of pink pigment within the tattoo, sparing other colors present.  
8. B, Histologic reaction pattern from punch biopsy specimen of right lower leg nodule (hematoxylin-eosin, original magnification √ó4).","What Is Your Diagnosis?

A: Hypertrophic discoid lupus  
B: Eruptive keratoacanthomas  
C: Pseudoepitheliomatous hyperplasia  
D: Sarcoidosis arising in a tattoo","['3. She denied pain, fevers, and chills and had no history of skin cancer.  ', '6. A punch biopsy specimen from a representative nodule was obtained, with an additional biopsy for tissue culture (Figure 1B).  ', '8. B, Histologic reaction pattern from punch biopsy specimen of right lower leg nodule (hematoxylin-eosin, original magnification √ó4).']","['1. A black woman in her 50s presented to the clinic with a 3-month history of nontender mildly pruritic verrucous nodules in several areas of a polychromatic tattoo on her right lower leg and foot.  ', '2. She reported that these appeared 1 to 2 months following placement of the tattoo and were restricted to areas where the artist created pink zones by layering white ink over red ink.  ', '4. She reported a distant history of discoid lupus, and was taking 2 antihypertensives but no other oral or topical medications.  ', '5. Physical examination revealed well-demarcated erythematous to violaceous verrucous nodules on the right lateral leg and dorsal foot (Figure 1A).  ', '7. A, Verrucous nodules are restricted to zones of pink pigment within the tattoo, sparing other colors present.  ']",No,Yes,,Yes,Yes,,,,,
ID0044,0.75,0.75,REMOVED,REMOVED,REMOVED,1,REMOVED,0.75,0.75,REMOVED,REMOVED,0.75,1,,,,,,,,ID0044,13,B,jama,6,13,"1. An otherwise healthy adult man presented with left upper eyelid swelling for 2 days.
2. This was accompanied by foreign-body sensation and discomfort of the left eye and was preceded by a week of general malaise without fevers or chills.
3. He denied vision changes, light sensitivity, or drainage from the eye.
4. He denied previous similar episodes of eyelid swelling or recurrent chalazia.
5. He had no relevant medical history and his family history was negative for malignancy.
6. Clinical examination revealed an area of ulceration centrally along the left upper eyelid margin, measuring approximately 8 mm‚Äâ√ó‚Äâ2 mm (Figure 1A).
7. The eyelid demonstrated mild boggy edema; however, there were no associated nodules, vesicles, or plaques on the surrounding skin or face.
8. There was mild madarosis in the area of ulceration.
9. There was also a tender and enlarged preauricular lymph node on the ipsilateral side.
10. The remainder of the clinical examination was unremarkable, including visual acuity, intraocular pressure, slitlamp biomicroscopy, and dilated fundus examination.
11. A photomicrograph of a hematoxylin-eosin‚Äìstained section from an incisional biopsy specimen is shown in Figure 1B.
12. A, External photograph of the left eye demonstrating central upper eyelid margin ulceration with sparse lashes and surrounding edema.
13. B, Incisional biopsy reveals a necrotic epithelium with multinucleated keratinocytes and cytoplasmic inclusions (hematoxylin-eosin, √ó200).","What Would You Do Next?

A: Perform wide local excision with map biopsies  
B: Initiate treatment with oral valacyclovir  
C: Proceed with cryotherapy  
D: Perform Mohs micrographic surgery followed by reconstruction with flap","['3. He denied vision changes, light sensitivity, or drainage from the eye.', '4. He denied previous similar episodes of eyelid swelling or recurrent chalazia.', '5. He had no relevant medical history and his family history was negative for malignancy.', '7. The eyelid demonstrated mild boggy edema; however, there were no associated nodules, vesicles, or plaques on the surrounding skin or face.', '10. The remainder of the clinical examination was unremarkable, including visual acuity, intraocular pressure, slitlamp biomicroscopy, and dilated fundus examination.', '11. A photomicrograph of a hematoxylin-eosin‚Äìstained section from an incisional biopsy specimen is shown in Figure 1B.']","['1. An otherwise healthy adult man presented with left upper eyelid swelling for 2 days.', '2. This was accompanied by foreign-body sensation and discomfort of the left eye and was preceded by a week of general malaise without fevers or chills.', '6. Clinical examination revealed an area of ulceration centrally along the left upper eyelid margin, measuring approximately 8 mm\u2009√ó\u20092 mm (Figure 1A).', '8. There was mild madarosis in the area of ulceration.', '9. There was also a tender and enlarged preauricular lymph node on the ipsilateral side.', '12. A, External photograph of the left eye demonstrating central upper eyelid margin ulceration with sparse lashes and surrounding edema.', '13. B, Incisional biopsy reveals a necrotic epithelium with multinucleated keratinocytes and cytoplasmic inclusions (hematoxylin-eosin, √ó200).']",No,Yes,Yes,Yes,No,No,No,Yes,,
ID0045,REMOVED,0.5,REMOVED,,,,,,,,,,,,,,,,,,ID0045,3,D,medxpert,2,3,"1. A 32-year-old male presents to the emergency department after suffering an L1 burst fracture from a fall.
2. Neurologic examination confirms he is an ASIA E.
3. MRI reveals mild vertebral retropulsion with 10% central canal stenosis and no signs of posterior ligament complex injury.","Regarding surgical decompression and fixation compared to nonoperative management with bracing, which of the following statements is accurate?

A. Patients treated with surgery return to work earlier.  
B. Bracing is contraindicated in burst fractures with canal stenosis.  
C. All of the above  
D. Patients treated with surgery have increased complication rates.  
E. Surgical treatment provides superior functional outcomes.  
F. Surgery significantly improves canal stenosis compared to bracing.  
G. Surgery significantly reduces pain compared to bracing.  
H. Surgery is required in all cases of burst fractures to prevent long-term deformity.  
I. Surgical decompression is necessary for all ASIA E patients.  
J. Patients treated nonoperatively have higher rates of long-term disability.","['1. A 32-year-old male presents to the emergency department after suffering an L1 burst fracture from a fall.', '3. MRI reveals mild vertebral retropulsion with 10% central canal stenosis and no signs of posterior ligament complex injury.']",['2. Neurologic examination confirms he is an ASIA E.'],No,No,No,No,No,Yes,Yes,No,,
ID0046,0.875,0.875,0.875,0.625,REMOVED,REMOVED,REMOVED,0.625,0.875,1,0.75,0.875,1,1,,,,,,,ID0046,14,D,medbullets,3,14,"1. A 62-year-old man presents to the emergency department with increased fatigue and changes in his vision.
2. For the past month, he has felt abnormally tired and today noticed his vision is blurry.
3. The patient also endorses increased sweating at night and new-onset headaches.
4. He currently feels dizzy.
5. The patient has a medical history of diabetes and hypertension.
6. His current medications include insulin, metformin, and lisinopril.
7. His temperature is 99.5¬∞F (37.5¬∞C), blood pressure is 157/98 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.
8. A cardiopulmonary exam is within normal limits.
9. HEENT exam reveals non-tender posterior and anterior chain lymphadenopathy.
10. Abdominal exam reveals splenomegaly and hepatomegaly.
11. There are large, non-tender palpable lymph nodes in the patient's inguinal region.
12. A neurological exam is notable for decreased sensation in the patient's hands and feet.
13. He also complains of numbness and tingling pain in his extremities that has been persistent during this time.
14. The dermatologic exam is notable for multiple bruises on his upper and lower extremities.","Which of the following is most likely to be abnormal in this patient?

A. IgA and IgG  
B. Calcium  
C. T-cells  
D. IgM","['5. The patient has a medical history of diabetes and hypertension.', '6. His current medications include insulin, metformin, and lisinopril.', '7. His temperature is 99.5¬∞F (37.5¬∞C), blood pressure is 157/98 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.']","['1. A 62-year-old man presents to the emergency department with increased fatigue and changes in his vision.', '2. For the past month, he has felt abnormally tired and today noticed his vision is blurry.', '3. The patient also endorses increased sweating at night and new-onset headaches.', '4. He currently feels dizzy.', '8. A cardiopulmonary exam is within normal limits.', '9. HEENT exam reveals non-tender posterior and anterior chain lymphadenopathy.', '10. Abdominal exam reveals splenomegaly and hepatomegaly.', ""11. There are large, non-tender palpable lymph nodes in the patient's inguinal region."", ""12. A neurological exam is notable for decreased sensation in the patient's hands and feet."", '13. He also complains of numbness and tingling pain in his extremities that has been persistent during this time.', '14. The dermatologic exam is notable for multiple bruises on his upper and lower extremities.']",No,Yes,Yes,No,No,No,No,Yes,"2, 8",
ID0047,1,0.666666667,REMOVED,0.833333333,1,1,REMOVED,1,,,,,,,,,,,,,ID0047,8,A,jama,2,8,"1. A 49-year-old man with a history of diabetes, hypertension, intravenous drug abuse, and multiple sexual partners presented to the emergency department with painless vision loss in both eyes for 10 days, left eye worse than right eye, and photophobia in both eyes.
2. His visual acuity was count fingers OD and 20/70 OS.
3. Intraocular pressure was 20 mm Hg OD and 16 mm Hg OS.
4. There were 1+ (10-12 cells/high-power field) anterior chamber cells in both eyes with very hazy posterior pole details in the right eye and minimal vitreous haze in the left eye.
5. There was a hazy view to the posterior pole in the right eye with disc edema and multiple flame hemorrhages surrounding the nerve.
6. Examination of the posterior pole in the left eye revealed partial obstruction of all vessels and a complete halo on the disc with numerous flame hemorrhages emanating from and surrounding the optic nerve, along with a few dot blot hemorrhages within the macula (Figure).
7. His blood pressure was 173/137 mm Hg, but the rest of his vital signs were normal.Widefield color image of the left eye of a 49-year-old man with acute loss of vision.
8. There is marked hemorrhagic disc edema with flame hemorrhages emanating from and surrounding the optic nerve.","What Would You Do Next?

A: Obtain HIV and syphilis serology results  
B: Administer 1000 mg of intravenous methylprednisolone  
C: Inject intravitreal foscarnet  
D: Obtain computed tomographic scan of the brain","['3. Intraocular pressure was 20 mm Hg OD and 16 mm Hg OS.', '7. His blood pressure was 173/137 mm Hg, but the rest of his vital signs were normal.Widefield color image of the left eye of a 49-year-old man with acute loss of vision.']","['1. A 49-year-old man with a history of diabetes, hypertension, intravenous drug abuse, and multiple sexual partners presented to the emergency department with painless vision loss in both eyes for 10 days, left eye worse than right eye, and photophobia in both eyes.', '2. His visual acuity was count fingers OD and 20/70 OS.', '4. There were 1+ (10-12 cells/high-power field) anterior chamber cells in both eyes with very hazy posterior pole details in the right eye and minimal vitreous haze in the left eye.', '5. There was a hazy view to the posterior pole in the right eye with disc edema and multiple flame hemorrhages surrounding the nerve.', '6. Examination of the posterior pole in the left eye revealed partial obstruction of all vessels and a complete halo on the disc with numerous flame hemorrhages emanating from and surrounding the optic nerve, along with a few dot blot hemorrhages within the macula (Figure).', '8. There is marked hemorrhagic disc edema with flame hemorrhages emanating from and surrounding the optic nerve.']",No,No,No,No,No,Yes,Yes,Yes,,
