QA_ID,Origin,Round 2,Round 1,Ground_Truth,data_source
Merge Q77,ID0124,C,C,C,jama
Merge Q78,ID0125,B,A,D,jama
Merge Q79,ID0127,D,D,B,jama
Merge Q80,ID0129,C,A,A,mmlu
Merge Q81,ID0130,D,A,C,jama
Merge Q82,ID0133,D,D,D,jama
Merge Q83,ID0135,B,B,A,medbullets
Merge Q84,ID0136,B,B,B,mmlu
Merge Q85,ID0137,A,A,D,medxpert
Merge Q86,ID0140,D,H,G,medxpert
Merge Q87,ID0141,A,A,I,medxpert
Merge Q88,ID0142,C,A,C,jama
Merge Q89,ID0144,B,B,A,medbullets
Merge Q90,ID0146,A,A,A,jama
Merge Q91,ID0147,B,B,B,jama
Merge Q92,ID0148,I,C,C,medxpert
Merge Q93,ID0149,B,B,B,jama
Merge Q94,ID0150,C,A,A,jama
Merge Q95,ID0151,J,J,J,medxpert
Merge Q96,ID0152,B,B,C,medbullets
Merge Q97,ID0153,D,D,D,jama
Merge Q98,ID0154,A,A,A,mmlu
Merge Q99,ID0155,C,C,C,jama
Merge Q100,ID0157,C,C,C,jama
Merge Q101,ID0161,C,C,C,jama
Merge Q102,ID0162,D,A,A,medbullets
Merge Q103,ID0163,B,B,C,jama
Merge Q104,ID0164,B,B,B,mmlu
Merge Q105,ID0165,I,J,I,medxpert
Merge Q106,ID0166,F,C,F,medxpert
Merge Q107,ID0168,B,B,B,mmlu
Merge Q108,ID0169,A,B,B,jama
Merge Q109,ID0170,D,D,G,medxpert
Merge Q110,ID0172,C,D,D,jama
Merge Q111,ID0177,B,B,B,medbullets
Merge Q112,ID0182,D,D,A,medbullets
Merge Q113,ID0184,C,C,C,mmlu
Merge Q114,ID0185,D,D,D,medbullets
Merge Q115,ID0186,C,C,C,jama
Merge Q116,ID0189,A,A,A,mmlu
Merge Q117,ID0190,C,C,A,mmlu
Merge Q118,ID0191,D,D,C,jama
Merge Q119,ID0192,A,A,D,jama
Merge Q120,ID0193,E,E,E,medxpert
Merge Q121,ID0195,B,A,C,jama
Merge Q122,ID0198,A,A,A,medbullets
Merge Q123,ID0199,B,A,C,jama
Merge Q124,ID0200,A,G,J,medxpert
Merge Q125,ID0202,D,D,D,jama
Merge Q126,ID0206,D,D,D,jama
Merge Q127,ID0207,D,D,J,medxpert
Merge Q128,ID0209,D,D,D,mmlu
Merge Q129,ID0211,A,A,A,medxpert
Merge Q130,ID0213,C,C,C,jama
Merge Q131,ID0215,B,B,B,jama
Merge Q132,ID0216,B,B,A,medxpert
Merge Q133,ID0217,C,C,C,mmlu
Merge Q134,ID0219,B,B,B,jama
Merge Q135,ID0220,B,B,B,mmlu
Merge Q136,ID0221,A,A,A,medbullets
Merge Q137,ID0222,B,B,D,jama
Merge Q138,ID0229,A,A,A,medxpert
Merge Q139,ID0230,C,C,C,jama
Merge Q140,ID0232,B,B,B,jama
Merge Q141,ID0233,B,B,B,medxpert
Merge Q142,ID0235,H,H,B,medxpert
Merge Q143,ID0236,C,B,C,jama
Merge Q144,ID0237,A,A,A,mmlu
Merge Q145,ID0238,A,A,D,medbullets
Merge Q146,ID0240,C,A,A,jama
Merge Q147,ID0241,C,C,A,jama
Merge Q148,ID0242,G,G,A,medxpert
Merge Q149,ID0243,C,C,C,jama
Merge Q150,ID0244,C,C,C,medbullets
Merge Q151,ID0246,D,C,C,jama
Merge Q152,ID0247,C,B,C,medbullets
Merge Q153,ID0248,A,A,C,medxpert
Merge Q154,ID0249,A,A,C,medbullets
Merge Q155,ID0251,D,D,D,mmlu
Merge Q156,ID0253,B,D,D,mmlu
Merge Q157,ID0254,D,D,D,jama
Merge Q158,ID0256,D,D,D,mmlu
Merge Q159,ID0257,C,C,B,jama
Merge Q160,ID0258,C,C,C,jama
Merge Q161,ID0262,C,C,H,medxpert
Merge Q162,ID0265,C,C,C,mmlu
Merge Q163,ID0268,D,D,C,jama
Merge Q164,ID0270,D,D,D,mmlu
Merge Q165,ID0275,A,A,C,medxpert
Merge Q166,ID0277,B,B,B,jama
Merge Q167,ID0278,C,C,C,jama
Merge Q168,ID0280,B,B,B,jama
Merge Q169,ID0281,J,E,A,medxpert
Merge Q170,ID0283,A,A,B,jama
Merge Q171,ID0284,F,D,I,medxpert
Merge Q172,ID0286,C,C,C,jama
Merge Q173,ID0287,C,C,C,jama
Merge Q174,ID0289,B,B,B,jama
Merge Q175,ID0291,E,E,D,medxpert
Merge Q176,ID0292,B,B,G,medxpert
Merge Q177,ID0293,F,F,B,medxpert
Merge Q178,ID0295,A,A,A,jama
Merge Q179,ID0296,B,B,C,jama
Merge Q180,ID0297,B,B,B,jama
Merge Q181,ID0298,H,H,H,medxpert
Merge Q182,ID0300,C,C,C,jama
Merge Q183,ID0301,B,B,A,jama
Merge Q184,ID0302,C,C,C,jama
Merge Q185,ID0303,F,E,F,medxpert
Merge Q186,ID0304,C,C,I,medxpert
Merge Q187,ID0305,C,C,B,medbullets
Merge Q188,ID0307,D,D,D,mmlu
Merge Q189,ID0309,B,B,A,medbullets
Merge Q190,ID0310,A,A,C,jama
Merge Q191,ID0313,A,A,A,mmlu
Merge Q192,ID0314,C,C,C,medbullets
Merge Q193,ID0315,C,C,C,mmlu
Merge Q194,ID0317,A,B,F,medxpert
Merge Q195,ID0320,F,F,A,medxpert
Merge Q196,ID0321,B,B,B,jama
Merge Q197,ID0323,D,D,D,jama
Merge Q198,ID0324,C,C,C,jama
Merge Q199,ID0325,C,B,B,medbullets
Merge Q200,ID0326,B,B,B,jama
Merge Q201,ID0327,D,I,C,medxpert
Merge Q202,ID0328,B,C,A,jama
Merge Q203,ID0330,C,C,C,medbullets
Merge Q204,ID0331,C,C,C,jama
Merge Q205,ID0332,C,C,C,jama
Merge Q206,ID0334,B,D,C,jama
Merge Q207,ID0336,A,A,E,medxpert
Merge Q208,ID0337,D,B,C,jama
Merge Q209,ID0339,B,B,B,mmlu
Merge Q210,ID0342,B,A,B,jama
Merge Q211,ID0345,A,A,A,jama
Merge Q212,ID0349,F,F,C,medxpert
Merge Q213,ID0351,A,A,D,jama
Merge Q214,ID0352,A,A,A,jama
Merge Q215,ID0353,J,J,H,medxpert
Merge Q216,ID0356,C,C,A,jama
Merge Q217,ID0357,B,B,B,medxpert
Merge Q218,ID0359,H,H,A,medxpert
Merge Q219,ID0360,A,A,A,mmlu
Merge Q220,ID0362,A,A,C,jama
Merge Q221,ID0363,A,A,A,medbullets
Merge Q222,ID0364,B,B,B,jama
Merge Q223,ID0365,B,C,C,jama
Merge Q224,ID0366,D,D,B,jama
Merge Q225,ID0367,C,G,F,medxpert
Merge Q226,ID0368,D,A,D,jama
Merge Q227,ID0371,F,F,F,medxpert
Merge Q228,ID0373,C,C,C,jama
Merge Q229,ID0376,B,B,A,medxpert
Merge Q230,ID0377,C,D,A,jama
Merge Q231,ID0379,H,A,C,medxpert
Merge Q232,ID0382,C,C,C,medbullets
Merge Q233,ID0385,H,H,I,medxpert
Merge Q234,ID0387,C,C,C,jama
Merge Q235,ID0388,B,B,F,medxpert
Merge Q236,ID0389,C,C,C,jama
Merge Q237,ID0391,A,A,A,medxpert
Merge Q238,ID0393,D,B,D,jama
Merge Q239,ID0395,D,D,C,jama
Merge Q240,ID0396,B,B,B,medbullets
Merge Q241,ID0397,F,F,B,medxpert
Merge Q242,ID0399,C,C,C,jama
Merge Q243,ID0400,B,B,B,jama
Merge Q244,ID0402,B,B,B,jama
Merge Q245,ID0403,B,B,B,medbullets
Merge Q246,ID0404,A,A,D,jama
Merge Q247,ID0405,B,B,B,jama
Merge Q248,ID0406,D,D,D,mmlu
Merge Q249,ID0407,A,A,G,medxpert
Merge Q250,ID0409,D,D,D,mmlu
Merge Q251,ID0412,D,B,D,jama
Merge Q252,ID0415,B,B,B,jama
Merge Q253,ID0416,E,F,I,medxpert
Merge Q254,ID0417,D,D,D,jama
Merge Q255,ID0418,A,B,B,jama
Merge Q256,ID0421,D,D,D,jama
Merge Q257,ID0422,C,C,C,jama
Merge Q258,ID0425,D,D,F,medxpert
Merge Q259,ID0426,J,J,D,medxpert
Merge Q260,ID0428,D,D,D,mmlu
Merge Q261,ID0429,B,B,B,mmlu
Merge Q262,ID0431,A,C,C,jama
Merge Q263,ID0433,E,E,E,medxpert
Merge Q264,ID0435,I,I,I,medxpert
Merge Q265,ID0437,C,C,C,mmlu
Merge Q266,ID0438,B,B,B,medbullets
Merge Q267,ID0440,J,D,B,medxpert
Merge Q268,ID0442,C,D,D,jama
Merge Q269,ID0444,B,B,C,jama
Merge Q270,ID0446,C,C,C,jama
Merge Q271,ID0447,D,D,D,medbullets
Merge Q272,ID0449,C,C,C,jama
Merge Q273,ID0451,B,B,B,jama
Merge Q274,ID0453,D,D,D,jama
Merge Q275,ID0455,E,E,E,medxpert
Merge Q276,ID0458,F,F,F,medxpert
Merge Q277,ID0459,B,C,F,medxpert
Merge Q278,ID0460,C,A,C,jama
Merge Q279,ID0461,C,B,C,jama
Merge Q280,ID0462,C,C,C,jama
Merge Q281,ID0463,D,D,D,jama
Merge Q282,ID0465,C,B,B,jama
Merge Q283,ID0466,D,D,D,jama
Merge Q284,ID0467,C,C,C,jama
Merge Q285,ID0468,C,C,C,medbullets
Merge Q286,ID0469,A,A,A,jama
Merge Q287,ID0470,B,B,C,medbullets
Merge Q288,ID0471,D,D,D,jama
Merge Q289,ID0472,D,D,D,jama
Merge Q290,ID0473,A,A,A,medbullets
Merge Q291,ID0476,A,A,C,jama
Merge Q292,ID0477,C,A,C,jama
Merge Q293,ID0478,A,A,A,jama
Merge Q294,ID0479,B,B,B,jama
Merge Q295,ID0483,B,B,A,jama
Merge Q296,ID0484,C,C,C,jama
Merge Q297,ID0487,C,C,C,jama
Merge Q298,ID0488,A,A,C,jama
Merge Q299,ID0490,B,B,B,jama
Merge Q300,ID0491,F,F,A,medxpert
Merge Q301,ID0492,B,B,C,jama
Merge Q302,ID0494,C,C,C,jama
Merge Q303,ID0495,B,B,B,medbullets
Merge Q304,ID0496,C,A,C,medbullets
Merge Q305,ID0498,B,B,C,jama
Merge Q306,ID0500,B,D,B,jama
Merge Q307,ID0502,B,B,C,jama
Merge Q308,ID0503,C,C,A,medbullets
Merge Q309,ID0504,E,H,B,medxpert
Merge Q310,ID0506,D,D,D,medxpert
Merge Q311,ID0508,B,A,B,jama
Merge Q312,ID0509,C,C,J,medxpert
Merge Q313,ID0510,B,B,B,mmlu
Merge Q314,ID0511,B,B,B,jama
Merge Q315,ID0513,B,B,B,jama
Merge Q316,ID0514,I,I,I,medxpert
Merge Q317,ID0517,A,A,A,medbullets
Merge Q318,ID0519,D,D,I,medxpert
Merge Q319,ID0520,B,B,B,mmlu
Merge Q320,ID0521,I,I,H,medxpert
Merge Q321,ID0522,C,C,C,jama
Merge Q322,ID0523,E,E,D,medxpert
Merge Q323,ID0524,B,B,B,jama
Merge Q324,ID0525,B,B,B,jama
Merge Q325,ID0526,A,A,D,medbullets
Merge Q326,ID0528,B,B,B,jama
Merge Q327,ID0529,C,C,D,medbullets
Merge Q328,ID0532,B,B,B,medxpert
Merge Q329,ID0533,C,C,C,jama
Merge Q330,ID0534,B,B,B,jama
Merge Q331,ID0535,C,C,C,medbullets
Merge Q332,ID0536,F,E,J,medxpert
Merge Q333,ID0539,C,C,C,jama
Merge Q334,ID0541,B,B,B,jama
Merge Q335,ID0542,D,D,D,mmlu
Merge Q336,ID0543,D,D,D,mmlu
Merge Q337,ID0546,D,D,D,medbullets
Merge Q338,ID0551,C,C,B,jama
Merge Q339,ID0552,C,C,C,jama
Merge Q340,ID0553,D,C,C,jama
Merge Q341,ID0554,A,A,A,mmlu
Merge Q342,ID0555,C,C,D,jama
Merge Q343,ID0559,D,D,B,jama
Merge Q344,ID0561,A,A,D,jama
Merge Q345,ID0564,D,D,D,medbullets
Merge Q346,ID0566,B,B,B,mmlu
Merge Q347,ID0567,D,E,C,medxpert
Merge Q348,ID0568,C,C,C,medbullets
Merge Q349,ID0569,B,D,D,mmlu
Merge Q350,ID0572,C,G,C,medxpert
Merge Q351,ID0574,I,G,H,medxpert
Merge Q352,ID0575,C,C,D,jama
Merge Q353,ID0576,C,C,C,mmlu
Merge Q354,ID0577,D,C,C,jama
Merge Q355,ID0578,D,D,D,mmlu
Merge Q356,ID0581,J,J,B,medxpert
Merge Q357,ID0584,C,C,C,jama
Merge Q358,ID0585,B,C,B,medbullets
Merge Q359,ID0586,B,B,B,jama
Merge Q360,ID0587,E,E,E,medxpert
Merge Q361,ID0589,C,C,C,jama
Merge Q362,ID0590,B,D,D,jama
Merge Q363,ID0591,G,G,C,medxpert
Merge Q364,ID0592,C,C,C,jama
Merge Q365,ID0594,G,G,G,medxpert
Merge Q366,ID0595,J,J,J,medxpert
Merge Q367,ID0596,B,B,A,jama
Merge Q368,ID0598,I,C,C,medxpert
Merge Q369,ID0599,C,C,A,medbullets
Merge Q370,ID0600,B,B,B,medbullets
Merge Q371,ID0601,D,D,A,medbullets
Merge Q372,ID0602,C,D,D,jama
Merge Q373,ID0603,A,C,C,jama
Merge Q374,ID0604,C,C,C,mmlu
Merge Q375,ID0605,E,A,E,medxpert
Merge Q376,ID0607,A,A,A,mmlu
Merge Q377,ID0609,C,C,D,jama
Merge Q378,ID0613,C,C,C,medbullets
Merge Q379,ID0614,D,D,A,medxpert
Merge Q380,ID0616,E,E,I,medxpert
Merge Q381,ID0617,D,D,D,mmlu
Merge Q382,ID0618,A,A,A,mmlu
Merge Q383,ID0619,C,C,C,medbullets
Merge Q384,ID0621,B,B,C,medxpert
Merge Q385,ID0622,D,D,D,mmlu
Merge Q386,ID0623,A,A,A,medbullets
Merge Q387,ID0625,I,I,I,medxpert
Merge Q388,ID0626,D,D,D,medxpert
Merge Q389,ID0627,D,D,J,medxpert
Merge Q390,ID0628,C,C,C,mmlu
Merge Q391,ID0629,A,D,C,jama
Merge Q392,ID0631,A,A,A,jama
Merge Q393,ID0633,B,B,B,jama
Merge Q394,ID0634,B,B,B,mmlu
Merge Q395,ID0635,D,D,D,jama
Merge Q396,ID0636,B,C,C,jama
Merge Q397,ID0639,D,B,B,jama
Merge Q398,ID0641,J,F,F,medxpert
Merge Q399,ID0642,B,B,C,jama
Merge Q400,ID0643,C,C,C,jama
Merge Q401,ID0647,C,C,C,jama
Merge Q402,ID0648,B,B,B,jama
Merge Q403,ID0651,G,G,C,medxpert
Merge Q404,ID0652,A,A,A,mmlu
Merge Q405,ID0653,D,D,D,mmlu
Merge Q406,ID0654,C,C,C,mmlu
Merge Q407,ID0655,E,E,E,medxpert
Merge Q408,ID0656,A,C,A,jama
Merge Q409,ID0658,H,I,D,medxpert
Merge Q410,ID0659,B,B,B,jama
Merge Q411,ID0660,C,C,C,jama
Merge Q412,ID0661,C,C,A,jama
Merge Q413,ID0662,A,A,A,medbullets
Merge Q414,ID0664,B,B,B,jama
Merge Q415,ID0665,C,C,C,mmlu
Merge Q416,ID0668,C,C,H,medxpert
Merge Q417,ID0669,D,D,D,jama
Merge Q418,ID0670,B,B,B,jama
Merge Q419,ID0671,D,D,D,jama
Merge Q420,ID0672,G,G,G,medxpert
Merge Q421,ID0673,A,A,A,medbullets
Merge Q422,ID0675,A,A,A,jama
Merge Q423,ID0676,C,C,C,jama
Merge Q424,ID0679,A,A,A,medbullets
Merge Q425,ID0680,G,G,A,medxpert
Merge Q426,ID0682,C,C,C,mmlu
Merge Q427,ID0683,D,D,D,jama
Merge Q428,ID0684,I,I,J,medxpert
Merge Q429,ID0691,D,D,D,jama
Merge Q430,ID0692,B,B,B,jama
Merge Q431,ID0693,D,D,D,medbullets
Merge Q432,ID0695,D,D,D,mmlu
Merge Q433,ID0696,F,F,I,medxpert
Merge Q434,ID0697,B,B,B,jama
Merge Q435,ID0698,H,H,A,medxpert
Merge Q436,ID0699,C,C,C,jama
Merge Q437,ID0700,D,D,C,jama
Merge Q438,ID0701,H,H,H,medxpert
Merge Q439,ID0702,A,D,A,medxpert
Merge Q440,ID0703,B,B,B,jama
Merge Q441,ID0708,C,C,C,jama
Merge Q442,ID0709,B,B,B,jama
Merge Q443,ID0710,D,D,D,jama
Merge Q444,ID0711,D,D,B,medbullets
Merge Q445,ID0712,A,A,A,mmlu
Merge Q446,ID0713,B,B,B,medbullets
Merge Q447,ID0715,C,C,B,medbullets
Merge Q448,ID0716,D,D,D,jama
Merge Q449,ID0717,J,J,B,medxpert
Merge Q450,ID0718,B,B,B,jama
Merge Q451,ID0719,C,C,C,jama
Merge Q452,ID0721,A,A,A,jama
Merge Q453,ID0723,B,A,B,jama
Merge Q454,ID0726,D,D,B,jama
Merge Q455,ID0728,C,C,C,medbullets
Merge Q456,ID0731,C,C,C,jama
Merge Q457,ID0732,C,C,C,medbullets
Merge Q458,ID0733,D,D,D,jama
Merge Q459,ID0734,A,B,D,jama
Merge Q460,ID0735,B,B,B,mmlu
Merge Q461,ID0737,F,F,J,medxpert
Merge Q462,ID0739,C,C,C,jama
Merge Q463,ID0740,D,D,C,jama
Merge Q464,ID0743,B,B,B,jama
Merge Q465,ID0744,D,D,B,jama
Merge Q466,ID0745,A,D,D,jama
Merge Q467,ID0746,C,C,C,jama
Merge Q468,ID0747,C,D,D,jama
Merge Q469,ID0752,A,A,A,mmlu
Merge Q470,ID0753,A,F,G,medxpert
Merge Q471,ID0754,C,B,B,jama
Merge Q472,ID0756,B,B,A,jama
Merge Q473,ID0757,B,B,B,mmlu
Merge Q474,ID0758,D,D,D,medxpert
Merge Q475,ID0759,B,B,B,medbullets
Merge Q476,ID0761,D,H,D,medxpert
Merge Q477,ID0762,C,C,C,jama
Merge Q478,ID0764,B,B,B,medxpert
Merge Q479,ID0765,B,B,J,medxpert
Merge Q480,ID0766,D,D,D,mmlu
Merge Q481,ID0769,B,B,B,jama
Merge Q482,ID0770,D,E,E,medxpert
Merge Q483,ID0773,D,D,D,mmlu
Merge Q484,ID0775,A,A,D,jama
Merge Q485,ID0776,D,D,B,jama
Merge Q486,ID0777,D,D,A,medxpert
Merge Q487,ID0778,G,D,G,medxpert
Merge Q488,ID0779,C,C,C,jama
Merge Q489,ID0780,B,B,C,jama
Merge Q490,ID0781,D,C,C,jama
Merge Q491,ID0782,C,A,D,jama
Merge Q492,ID0783,C,C,C,jama
Merge Q493,ID0784,C,C,C,medbullets
Merge Q494,ID0785,C,A,C,jama
Merge Q495,ID0786,I,I,A,medxpert
Merge Q496,ID0788,D,B,B,medbullets
Merge Q497,ID0789,A,A,A,mmlu
Merge Q498,ID0790,C,C,C,medbullets
Merge Q499,ID0792,A,J,I,medxpert
Merge Q500,ID0796,D,D,D,medbullets
Merge Q501,ID0797,C,C,C,jama
Merge Q502,ID0798,C,C,H,medxpert
Merge Q503,ID0799,D,D,D,mmlu
Merge Q504,ID0800,B,B,C,jama
Merge Q505,ID0801,B,B,B,medbullets
Merge Q506,ID0802,D,B,D,mmlu
Merge Q507,ID0803,C,C,D,jama
Merge Q508,ID0805,J,J,J,medxpert
Merge Q509,ID0809,C,A,B,jama
Merge Q510,ID0810,C,C,C,medbullets
Merge Q511,ID0811,A,A,A,medxpert
Merge Q512,ID0813,D,D,D,medxpert
Merge Q513,ID0814,B,B,B,jama
Merge Q514,ID0815,B,H,I,medxpert
Merge Q515,ID0816,A,A,E,medxpert
Merge Q516,ID0819,C,C,C,mmlu
Merge Q517,ID0821,G,C,A,medxpert
Merge Q518,ID0824,B,A,A,medbullets
Merge Q519,ID0825,B,D,D,medbullets
Merge Q520,ID0826,C,C,C,jama
Merge Q521,ID0827,H,C,C,medxpert
Merge Q522,ID0828,B,B,E,medxpert
Merge Q523,ID0830,A,A,A,medbullets
Merge Q524,ID0831,C,B,F,medxpert
Merge Q525,ID0832,D,D,D,jama
Merge Q526,ID0833,C,C,C,medbullets
Merge Q527,ID0834,C,C,C,jama
Merge Q528,ID0835,A,A,A,medbullets
Merge Q529,ID0836,C,C,B,medbullets
Merge Q530,ID0837,C,C,C,jama
Merge Q531,ID0840,A,A,A,mmlu
Merge Q532,ID0841,B,D,C,medbullets
Merge Q533,ID0842,D,D,C,medbullets
Merge Q534,ID0843,F,F,B,medxpert
Merge Q535,ID0844,A,A,A,medbullets
Merge Q536,ID0845,C,C,C,medbullets
Merge Q537,ID0846,C,C,C,jama
Merge Q538,ID0847,C,C,B,jama
Merge Q539,ID0850,C,C,C,jama
Merge Q540,ID0851,D,D,D,mmlu
Merge Q541,ID0852,A,A,A,medbullets
Merge Q542,ID0853,B,B,B,medbullets
Merge Q543,ID0854,C,D,A,jama
Merge Q544,ID0855,A,A,D,jama
Merge Q545,ID0856,J,J,J,medxpert
Merge Q546,ID0858,B,B,B,jama
Merge Q547,ID0859,B,B,C,jama
Merge Q548,ID0860,B,D,B,medxpert
Merge Q549,ID0861,C,C,C,medbullets
Merge Q550,ID0862,B,A,B,jama
Merge Q551,ID0864,A,A,A,mmlu
Merge Q552,ID0866,D,D,D,jama
Merge Q553,ID0867,B,B,B,jama
Merge Q554,ID0869,B,B,B,jama
Merge Q555,ID0870,B,B,A,medxpert
Merge Q556,ID0871,C,C,C,jama
Merge Q557,ID0872,D,D,D,medxpert
Merge Q558,ID0876,A,D,B,jama
Merge Q559,ID0878,A,A,B,jama
Merge Q560,ID0879,C,C,C,jama
Merge Q561,ID0880,I,I,F,medxpert
Merge Q562,ID0883,G,C,G,medxpert
Merge Q563,ID0884,C,C,C,mmlu
Merge Q564,ID0885,A,B,D,medbullets
Merge Q565,ID0887,B,B,B,medbullets
Merge Q566,ID0889,D,D,D,jama
Merge Q567,ID0893,D,D,D,medbullets
Merge Q568,ID0894,B,B,B,jama
Merge Q569,ID0895,C,C,C,jama
Merge Q570,ID0899,C,A,B,jama
Merge Q571,ID0900,C,C,C,jama
Merge Q572,ID0901,B,B,B,medbullets
Merge Q573,ID0902,D,D,I,medxpert
Merge Q574,ID0904,A,A,A,jama
Merge Q575,ID0905,C,C,C,jama
Merge Q576,ID0907,E,E,C,medxpert
Merge Q577,ID0908,C,C,C,jama
Merge Q578,ID0909,A,A,A,mmlu
Merge Q579,ID0910,D,B,D,mmlu
Merge Q580,ID0911,D,D,D,mmlu
Merge Q581,ID0912,B,H,E,medxpert
Merge Q582,ID0915,C,C,C,jama
Merge Q583,ID0916,D,B,D,jama
Merge Q584,ID0918,D,D,D,mmlu
Merge Q585,ID0919,D,F,A,medxpert
Merge Q586,ID0922,I,F,I,medxpert
Merge Q587,ID0923,A,A,A,medbullets
Merge Q588,ID0924,B,B,B,medbullets
Merge Q589,ID0925,B,B,B,jama
Merge Q590,ID0926,C,C,A,medxpert
Merge Q591,ID0927,B,A,B,jama
Merge Q592,ID0928,B,C,C,medbullets
Merge Q593,ID0934,G,G,G,medxpert
Merge Q594,ID0935,A,A,A,jama
Merge Q595,ID0937,A,C,C,jama
Merge Q596,ID0939,A,A,A,jama
Merge Q597,ID0941,C,C,E,medxpert
Merge Q598,ID0942,A,A,H,medxpert
Merge Q599,ID0944,B,B,B,mmlu
Merge Q600,ID0948,G,B,F,medxpert
Merge Q601,ID0949,C,C,C,medbullets
Merge Q602,ID0951,B,B,B,mmlu
Merge Q603,ID0953,D,D,D,mmlu
Merge Q604,ID0954,B,B,B,jama
Merge Q605,ID0957,D,B,J,medxpert
Merge Q606,ID0961,B,A,A,jama
Merge Q607,ID0962,C,C,A,jama
Merge Q608,ID0963,D,D,D,mmlu
Merge Q609,ID0965,I,I,F,medxpert
Merge Q610,ID0967,B,B,B,medbullets
Merge Q611,ID0968,B,A,C,jama
Merge Q612,ID0969,C,C,C,jama
Merge Q613,ID0970,C,C,B,medbullets
Merge Q614,ID0972,C,C,B,medxpert
Merge Q615,ID0973,C,D,D,jama
Merge Q616,ID0974,A,A,D,medbullets
Merge Q617,ID0976,A,D,A,jama
Merge Q618,ID0977,B,C,B,jama
Merge Q619,ID0979,B,B,B,medxpert
Merge Q620,ID0981,C,C,C,jama
Merge Q621,ID0982,D,D,C,jama
Merge Q622,ID0987,D,A,A,medbullets
Merge Q623,ID0990,D,D,D,jama
Merge Q624,ID0991,A,A,C,jama
Merge Q625,ID0992,A,B,B,medxpert
Merge Q626,ID0993,A,A,C,jama
Merge Q627,ID0994,A,A,C,medxpert
Merge Q628,ID0996,C,C,C,jama
Merge Q629,ID0998,B,B,B,jama
Merge Q630,ID0999,D,D,D,mmlu
Merge Q631,ID1001,C,C,C,jama
