Origin,data_source_corr,q1_majority,Correct answer,matches_correct
ID0067,medbullets,a,A,True
ID0068,medxpert,c,,False
ID0069,jama,d,D,True
ID0070,medxpert,c,,False
ID0071,medxpert,b,D,False
ID0072,jama,c,C,True
ID0073,medxpert,g,G,True
ID0074,mmlu,c,C,True
ID0075,medbullets,d,,False
ID0076,jama,b,C,False
ID0077,medxpert,i,,False
ID0078,medbullets,b,B,True
ID0079,jama,a,B,False
ID0080,medxpert,d,,False
ID0081,jama,d,D,True
ID0082,medbullets,b,B,True
ID0083,medxpert,j,,False
ID0084,medxpert,j,,False
ID0085,medxpert,j,J,True
ID0086,medxpert,d,H,False
ID0087,medxpert,a,,False
ID0088,jama,b,B,True
ID0089,jama,a,A,True
ID0090,medxpert,c,,False
ID0091,medxpert,h,,False
ID0092,medxpert,j,B,False
ID0093,jama,c,C,True
ID0094,jama,c,C,True
ID0095,medxpert,d,,False
ID0096,medxpert,e,E,True
ID0097,jama,d,D,True
ID0098,mmlu,d,D,True
ID0099,medxpert,d,E,False
ID0100,medxpert,f,,False
ID0101,medbullets,a,A,True
ID0102,medbullets,d,D,True
ID0103,jama,d,,False
ID0104,medxpert,f,,False
ID0105,jama,a,,False
ID0106,medbullets,c,C,True
ID0107,jama,c,,False
ID0108,jama,c,C,True
ID0109,jama,a,A,True
ID0110,jama,b,B,True
ID0111,medbullets,d,D,True
ID0112,medxpert,d,D,True
ID0113,mmlu,d,D,True
ID0114,medxpert,i,,False
ID0115,medbullets,d,D,True
ID0116,jama,a,A,True
ID0117,mmlu,b,D,False
ID0118,medbullets,c,,False
ID0119,jama,d,D,True
ID0120,medxpert,j,,False
ID0121,medxpert,e,,False
ID0122,mmlu,d,D,True
ID0123,mmlu,d,,False
ID0124,jama,c,C,True
ID0125,jama,a,D,False
ID0126,medxpert,c,,False
ID0127,jama,c,B,False
ID0128,medbullets,c,,False
ID0129,mmlu,a,A,True
ID0130,jama,c,C,True
ID0131,medxpert,i,,False
ID0132,medxpert,a,,False
ID0133,jama,d,D,True
ID0134,jama,c,,False
ID0135,medbullets,b,A,False
ID0136,mmlu,b,B,True
ID0137,medxpert,c,D,False
ID0138,medxpert,e,,False
ID0139,medxpert,b,,False
ID0140,medxpert,d,G,False
ID0141,medxpert,g,I,False
ID0142,jama,c,C,True
ID0143,medxpert,f,,False
ID0144,medbullets,b,A,False
ID0145,medxpert,b,,False
ID0146,jama,a,A,True
ID0147,jama,b,B,True
ID0148,medxpert,c,C,True
ID0149,jama,b,B,True
ID0150,jama,a,A,True
ID0151,medxpert,j,J,True
ID0152,medbullets,c,C,True
ID0153,jama,d,D,True
ID0154,mmlu,a,A,True
ID0155,jama,c,C,True
ID0156,jama,c,,False
ID0157,jama,c,C,True
ID0158,medxpert,j,,False
ID0159,jama,a,,False
ID0160,medxpert,c,,False
ID0161,jama,c,C,True
ID0162,medbullets,a,A,True
ID0163,jama,a,C,False
ID0164,mmlu,b,B,True
ID0165,medxpert,j,I,False
ID0166,medxpert,f,F,True
ID0167,medxpert,j,,False
ID0168,mmlu,b,B,True
ID0169,jama,b,B,True
ID0170,medxpert,a,G,False
ID0171,mmlu,d,,False
ID0172,jama,d,D,True
ID0173,medxpert,j,,False
ID0174,medxpert,g,,False
ID0175,jama,d,,False
ID0176,medxpert,e,,False
ID0177,medbullets,b,B,True
ID0178,medxpert,i,,False
ID0179,medbullets,d,,False
ID0180,medxpert,f,,False
ID0181,medxpert,g,,False
ID0182,medbullets,d,A,False
ID0183,medxpert,e,,False
ID0184,mmlu,c,C,True
ID0185,medbullets,d,D,True
ID0186,jama,c,C,True
ID0187,medxpert,g,,False
ID0188,medxpert,b,,False
ID0189,mmlu,a,A,True
ID0190,mmlu,a,A,True
ID0191,jama,d,C,False
ID0192,jama,d,D,True
ID0193,medxpert,e,E,True
ID0194,jama,d,,False
ID0195,jama,b,C,False
ID0196,jama,b,,False
ID0197,mmlu,d,,False
ID0198,medbullets,c,A,False
ID0199,jama,c,C,True
ID0200,medxpert,i,J,False
ID0201,medxpert,a,,False
ID0202,jama,d,D,True
ID0203,jama,a,,False
ID0204,jama,a,,False
ID0205,jama,b,,False
ID0206,jama,d,D,True
ID0207,medxpert,d,J,False
ID0208,medxpert,e,,False
ID0209,mmlu,d,D,True
ID0210,jama,d,,False
ID0211,medxpert,a,A,True
ID0212,jama,b,,False
ID0213,jama,c,C,True
ID0214,jama,b,,False
ID0215,jama,b,B,True
ID0216,medxpert,b,A,False
ID0217,mmlu,c,C,True
ID0218,jama,a,,False
ID0219,jama,b,B,True
ID0220,mmlu,b,B,True
ID0221,medbullets,a,A,True
ID0222,jama,d,D,True
ID0223,jama,d,,False
ID0224,mmlu,d,,False
ID0225,medxpert,f,,False
ID0226,medxpert,e,,False
ID0227,jama,c,,False
ID0228,jama,d,,False
ID0229,medxpert,a,A,True
ID0230,jama,c,C,True
ID0231,medxpert,g,,False
ID0232,jama,b,B,True
ID0233,medxpert,b,B,True
ID0234,medxpert,e,,False
ID0235,medxpert,b,B,True
ID0236,jama,c,C,True
ID0237,mmlu,a,A,True
ID0238,medbullets,d,D,True
ID0239,medxpert,e,,False
ID0240,jama,a,A,True
ID0241,jama,a,A,True
ID0242,medxpert,a,A,True
ID0243,jama,c,C,True
ID0244,medbullets,c,C,True
ID0245,medxpert,e,,False
ID0246,jama,c,C,True
ID0247,medbullets,c,C,True
ID0248,medxpert,a,C,False
ID0249,medbullets,c,C,True
ID0250,medxpert,i,,False
ID0251,mmlu,d,D,True
ID0252,jama,b,,False
ID0253,mmlu,d,D,True
ID0254,jama,d,D,True
ID0255,medxpert,h,,False
ID0256,mmlu,d,D,True
ID0257,jama,b,B,True
ID0258,jama,c,C,True
ID0259,medxpert,j,,False
ID0260,medxpert,j,,False
ID0261,jama,b,,False
ID0262,medxpert,i,H,False
ID0263,jama,d,,False
ID0264,medxpert,f,,False
ID0265,mmlu,c,C,True
ID0266,medxpert,i,,False
ID0267,jama,c,,False
ID0268,jama,d,C,False
ID0269,jama,a,,False
ID0270,mmlu,d,D,True
ID0271,medxpert,d,,False
ID0272,medxpert,g,,False
ID0273,jama,a,,False
ID0274,medxpert,d,,False
ID0275,medxpert,c,C,True
ID0276,medxpert,b,,False
ID0277,jama,b,B,True
ID0278,jama,c,C,True
ID0279,medxpert,h,,False
ID0280,jama,b,B,True
ID0281,medxpert,j,A,False
ID0282,medxpert,h,,False
ID0283,jama,b,B,True
ID0284,medxpert,i,I,True
ID0285,medxpert,h,,False
ID0286,jama,c,C,True
ID0287,jama,c,C,True
ID0288,medxpert,h,,False
ID0289,jama,b,B,True
ID0290,jama,a,,False
ID0291,medxpert,e,D,False
ID0292,medxpert,g,G,True
ID0293,medxpert,b,B,True
ID0294,medxpert,g,,False
ID0295,jama,d,A,False
ID0296,jama,b,C,False
ID0297,jama,d,B,False
ID0298,medxpert,b,H,False
ID0299,medxpert,i,,False
ID0300,jama,c,C,True
ID0301,jama,a,A,True
ID0302,jama,c,C,True
ID0303,medxpert,f,F,True
ID0304,medxpert,i,I,True
ID0305,medbullets,b,B,True
ID0306,medxpert,i,,False
ID0307,mmlu,d,D,True
ID0308,medxpert,e,,False
ID0309,medbullets,a,A,True
ID0310,jama,c,C,True
ID0311,mmlu,b,,False
ID0312,medxpert,d,,False
ID0313,mmlu,a,A,True
ID0314,medbullets,c,C,True
ID0315,mmlu,c,C,True
ID0316,jama,c,,False
ID0317,medxpert,f,F,True
ID0318,medxpert,j,,False
ID0319,medxpert,j,,False
ID0320,medxpert,a,A,True
ID0321,jama,b,B,True
ID0322,medxpert,g,,False
ID0323,jama,c,D,False
ID0324,jama,c,C,True
ID0325,medbullets,b,B,True
ID0326,jama,b,B,True
ID0327,medxpert,c,C,True
ID0328,jama,a,A,True
ID0329,medxpert,c,,False
ID0330,medbullets,c,C,True
ID0331,jama,d,C,False
ID0332,jama,c,C,True
ID0333,medxpert,b,,False
ID0334,jama,c,C,True
ID0335,jama,d,,False
ID0336,medxpert,e,E,True
ID0337,jama,b,C,False
ID0338,jama,b,,False
ID0339,mmlu,b,B,True
ID0340-new,,e,,False
ID0341,medxpert,i,,False
ID0342,jama,b,B,True
ID0343,medxpert,j,,False
ID0344,medbullets,a,,False
ID0345,jama,a,A,True
ID0346,medxpert,i,,False
ID0347,jama,d,,False
ID0348,medxpert,a,,False
ID0349,medxpert,c,C,True
ID0350,medbullets,d,,False
ID0351,jama,d,D,True
ID0352,jama,a,A,True
ID0353,medxpert,h,H,True
ID0354,medxpert,h,,False
ID0355,jama,a,,False
ID0356,jama,c,A,False
ID0357,medxpert,b,B,True
ID0358,medxpert,b,,False
ID0359,medxpert,a,A,True
ID0360,mmlu,a,A,True
ID0361,jama,d,,False
ID0362,jama,b,C,False
ID0363,medbullets,a,A,True
ID0364,jama,b,B,True
ID0365,jama,a,C,False
ID0366,jama,c,B,False
ID0367,medxpert,f,F,True
ID0368,jama,d,D,True
ID0369,mmlu,b,,False
ID0370,jama,a,,False
ID0371,medxpert,e,F,False
ID0372,medxpert,d,,False
ID0373,jama,c,C,True
ID0374,medxpert,i,,False
ID0375,medxpert,f,,False
ID0376,medxpert,a,A,True
ID0377,jama,a,A,True
ID0378,medxpert,i,,False
ID0379,medxpert,c,C,True
ID0380,medxpert,b,,False
ID0381,medxpert,d,,False
ID0382,medbullets,c,C,True
ID0383,jama,b,,False
ID0384,medxpert,d,,False
ID0385,medxpert,h,I,False
ID0386,medbullets,d,,False
ID0387,jama,c,C,True
ID0388,medxpert,b,F,False
ID0389,jama,c,C,True
ID0390,medxpert,i,,False
ID0391,medxpert,a,A,True
ID0392,medxpert,b,,False
ID0393,jama,d,D,True
ID0394,jama,a,,False
ID0395,jama,a,C,False
ID0396,medbullets,b,B,True
ID0397,medxpert,f,B,False
ID0398,medxpert,j,,False
ID0399,jama,c,C,True
ID0400,jama,b,B,True
ID0401,medbullets,d,,False
ID0402,jama,b,B,True
ID0403,medbullets,b,B,True
ID0404,jama,d,D,True
ID0405,jama,b,B,True
ID0406,mmlu,d,D,True
ID0407,medxpert,g,G,True
ID0408,jama,d,,False
ID0409,mmlu,d,D,True
ID0410,mmlu,c,,False
ID0411,jama,c,,False
ID0412,jama,d,D,True
ID0413,medxpert,a,,False
ID0414-new,,a,,False
ID0415,jama,b,B,True
ID0416,medxpert,i,I,True
ID0417,jama,d,D,True
ID0418,jama,a,B,False
ID0419,jama,b,,False
ID0420,medxpert,e,,False
ID0421,jama,d,D,True
ID0422,jama,c,C,True
ID0423,medxpert,g,,False
ID0424,jama,b,,False
ID0425,medxpert,f,F,True
ID0426,medxpert,b,D,False
ID0427,medxpert,c,,False
ID0428,mmlu,d,D,True
ID0429,mmlu,b,B,True
ID0430,medxpert,a,,False
ID0431,jama,c,C,True
ID0432,medxpert,g,,False
ID0433,medxpert,e,E,True
ID0434,jama,a,,False
ID0435,medxpert,i,I,True
ID0436,medxpert,e,,False
ID0437,mmlu,c,C,True
ID0438,medbullets,b,B,True
ID0439,jama,b,,False
ID0440,medxpert,b,B,True
ID0441,jama,a,,False
ID0442,jama,d,D,True
ID0443,medxpert,h,,False
ID0444,jama,a,C,False
ID0445,medxpert,j,,False
ID0446,jama,c,C,True
ID0447,medbullets,d,D,True
ID0448,medxpert,h,,False
ID0449,jama,c,C,True
ID0450,medxpert,g,,False
ID0451,jama,b,B,True
ID0452,medxpert,b,,False
ID0453,jama,d,D,True
ID0454,mmlu,d,,False
ID0455,medxpert,e,E,True
ID0456,medxpert,f,,False
ID0457,jama,d,,False
ID0458,medxpert,f,F,True
ID0459,medxpert,a,F,False
ID0460,jama,c,C,True
ID0461,jama,c,C,True
ID0462,jama,b,C,False
ID0463,jama,a,D,False
ID0464,mmlu,c,,False
ID0465,jama,b,B,True
ID0466,jama,d,D,True
ID0467,jama,c,C,True
ID0468,medbullets,c,C,True
ID0469,jama,a,A,True
ID0470,medbullets,c,C,True
ID0471,jama,d,D,True
ID0472,jama,b,D,False
ID0473,medbullets,a,A,True
ID0474,medxpert,d,,False
ID0475,medxpert,a,,False
ID0476,jama,c,C,True
ID0477,jama,c,C,True
ID0478,jama,a,A,True
ID0479,jama,b,B,True
ID0480,medxpert,j,,False
ID0481,medxpert,j,,False
ID0482,medxpert,b,,False
ID0483,jama,a,A,True
ID0484,jama,c,C,True
ID0485,medxpert,j,,False
ID0486,medxpert,e,,False
ID0487,jama,c,C,True
ID0488,jama,a,C,False
ID0489,medbullets,d,,False
ID0490,jama,d,B,False
ID0491,medxpert,a,A,True
ID0492,jama,b,C,False
ID0493,medxpert,e,,False
ID0494,jama,c,C,True
ID0495,medbullets,b,B,True
ID0496,medbullets,c,C,True
ID0497,medxpert,j,,False
ID0498,jama,b,C,False
ID0499,medxpert,i,,False
ID0500,jama,b,B,True
ID0501,medxpert,e,,False
ID0502,jama,c,C,True
ID0503,medbullets,a,A,True
ID0504,medxpert,b,B,True
ID0505,medxpert,f,,False
ID0506,medxpert,d,D,True
ID0507,medxpert,e,,False
ID0508,jama,b,B,True
ID0509,medxpert,j,J,True
ID0510,mmlu,b,B,True
ID0511,jama,b,B,True
ID0512,jama,b,,False
ID0513,jama,b,B,True
ID0514,medxpert,i,I,True
ID0515,medxpert,d,,False
ID0516,medxpert,f,,False
ID0517,medbullets,a,A,True
ID0518,jama,c,,False
ID0519,medxpert,i,I,True
ID0520,mmlu,b,B,True
ID0521,medxpert,h,H,True
ID0522,jama,b,C,False
ID0523,medxpert,e,D,False
ID0524,jama,b,B,True
ID0525,jama,b,B,True
ID0526,medbullets,a,D,False
ID0527,jama,a,,False
ID0528,jama,b,B,True
ID0529,medbullets,d,D,True
ID0530,medxpert,c,,False
ID0531,mmlu,d,,False
ID0532,medxpert,b,B,True
ID0533,jama,c,C,True
ID0534,jama,b,B,True
ID0535,medbullets,c,C,True
ID0536,medxpert,f,J,False
ID0537,medxpert,a,,False
ID0538,medbullets,c,,False
ID0539,jama,d,C,False
ID0540,medxpert,h,,False
ID0541,jama,b,B,True
ID0542,mmlu,d,D,True
ID0543,mmlu,d,D,True
ID0544,mmlu,d,,False
ID0545,medxpert,h,,False
ID0546,medbullets,d,D,True
ID0547,jama,b,,False
ID0548,medxpert,f,,False
ID0549,medxpert,d,,False
ID0550,medxpert,j,,False
ID0551,jama,b,B,True
ID0552,jama,c,C,True
ID0553,jama,c,C,True
ID0554,mmlu,a,A,True
ID0555,jama,a,D,False
ID0556,mmlu,c,,False
ID0557,medxpert,f,,False
ID0558,medxpert,f,,False
ID0559,jama,d,B,False
ID0560,medxpert,a,,False
ID0561,jama,d,D,True
ID0562,medxpert,g,,False
ID0563,medbullets,a,,False
ID0564,medbullets,d,D,True
ID0565,jama,b,,False
ID0566,mmlu,b,B,True
ID0567,medxpert,d,C,False
ID0568,medbullets,c,C,True
ID0569,mmlu,d,D,True
ID0570,jama,d,,False
ID0571,medxpert,c,,False
ID0572,medxpert,c,C,True
ID0573,medxpert,f,,False
ID0574,medxpert,h,H,True
ID0575,jama,c,D,False
ID0576,mmlu,c,C,True
ID0577,jama,c,C,True
ID0578,mmlu,d,D,True
ID0579,medxpert,j,,False
ID0580,medxpert,h,,False
ID0581,medxpert,b,B,True
ID0582,medxpert,h,,False
ID0583,medxpert,g,,False
ID0584,jama,c,C,True
ID0585,medbullets,b,B,True
ID0586,jama,b,B,True
ID0587,medxpert,e,E,True
ID0588,medxpert,h,,False
ID0589,jama,c,C,True
ID0590,jama,a,D,False
ID0591,medxpert,c,C,True
ID0592,jama,c,C,True
ID0593,medxpert,j,,False
ID0594,medxpert,g,G,True
ID0595,medxpert,j,J,True
ID0596,jama,c,A,False
ID0597,medxpert,i,,False
ID0598,medxpert,d,C,False
ID0599,medbullets,a,A,True
ID0600,medbullets,b,B,True
ID0601,medbullets,d,A,False
ID0602,jama,d,D,True
ID0603,jama,b,C,False
ID0604,mmlu,c,C,True
ID0605,medxpert,f,E,False
ID0606,medxpert,a,,False
ID0607,mmlu,a,A,True
ID0608,medxpert,b,,False
ID0609,jama,d,D,True
ID0610,medxpert,h,,False
ID0611,mmlu,a,,False
ID0612,jama,c,,False
ID0613,medbullets,c,C,True
ID0614,medxpert,a,A,True
ID0615,medxpert,i,,False
ID0616,medxpert,i,I,True
ID0617,mmlu,d,D,True
ID0618,mmlu,a,A,True
ID0619,medbullets,c,C,True
ID0620,medbullets,d,,False
ID0621,medxpert,b,C,False
ID0622,mmlu,d,D,True
ID0623,medbullets,a,A,True
ID0624,jama,b,,False
ID0625,medxpert,i,I,True
ID0626,medxpert,d,D,True
ID0627,medxpert,j,J,True
ID0628,mmlu,c,C,True
ID0629,jama,c,C,True
ID0630,medxpert,e,,False
ID0631,jama,a,A,True
ID0632,medxpert,f,,False
ID0633,jama,b,B,True
ID0634,mmlu,b,B,True
ID0635,jama,d,D,True
ID0636,jama,c,C,True
ID0637,medxpert,g,,False
ID0638,medxpert,f,,False
ID0639,jama,b,B,True
ID0640,medxpert,j,,False
ID0641,medxpert,j,F,False
ID0642,jama,c,C,True
ID0643,jama,d,C,False
ID0644,medxpert,b,,False
ID0645,medxpert,j,,False
ID0646,medxpert,h,,False
ID0647,jama,b,C,False
ID0648,jama,b,B,True
ID0649,mmlu,b,,False
ID0650,mmlu,d,,False
ID0651,medxpert,c,C,True
ID0652,mmlu,a,A,True
ID0653,mmlu,d,D,True
ID0654,mmlu,c,C,True
ID0655,medxpert,e,E,True
ID0656,jama,a,A,True
ID0657,mmlu,d,,False
ID0658,medxpert,d,D,True
ID0659,jama,b,B,True
ID0660,jama,c,C,True
ID0661,jama,a,A,True
ID0662,medbullets,a,A,True
ID0663,mmlu,a,,False
ID0664,jama,b,B,True
ID0665,mmlu,c,C,True
ID0666,medxpert,h,,False
ID0667,jama,d,,False
ID0668,medxpert,c,H,False
ID0669,jama,d,D,True
ID0670,jama,b,B,True
ID0671,jama,d,D,True
ID0672,medxpert,g,G,True
ID0673,medbullets,b,A,False
ID0674,medbullets,d,,False
ID0675,jama,a,A,True
ID0676,jama,c,C,True
ID0677,medxpert,j,,False
ID0678,jama,a,,False
ID0679,medbullets,a,A,True
ID0680,medxpert,a,A,True
ID0681,medxpert,e,,False
ID0682,mmlu,c,C,True
ID0683,jama,d,D,True
ID0684,medxpert,j,J,True
ID0685,medxpert,i,,False
ID0686,medxpert,h,,False
ID0687,medxpert,c,,False
ID0688,medxpert,f,,False
ID0689,medxpert,b,,False
ID0690,medxpert,b,,False
ID0691,jama,c,D,False
ID0692,jama,a,B,False
ID0693,medbullets,d,D,True
ID0694,mmlu,a,,False
ID0695,mmlu,d,D,True
ID0696,medxpert,j,I,False
ID0697,jama,b,B,True
ID0698,medxpert,c,A,False
ID0699,jama,c,C,True
ID0700,jama,d,C,False
ID0701,medxpert,h,H,True
ID0702,medxpert,a,A,True
ID0703,jama,b,B,True
ID0704,medxpert,c,,False
ID0705,jama,b,,False
ID0706,medxpert,b,,False
ID0707,jama,d,,False
ID0708,jama,c,C,True
ID0709,jama,b,B,True
ID0710,jama,d,D,True
ID0711,medbullets,b,B,True
ID0712,mmlu,a,A,True
ID0713,medbullets,b,B,True
ID0714,jama,b,,False
ID0715,medbullets,b,B,True
ID0716,jama,d,D,True
ID0717,medxpert,b,B,True
ID0718,jama,b,B,True
ID0719,jama,c,C,True
ID0720,medxpert,d,,False
ID0721,jama,c,A,False
ID0722,medxpert,a,,False
ID0723,jama,a,B,False
ID0724,medxpert,g,,False
ID0725,medxpert,c,,False
ID0726,jama,b,B,True
ID0727,jama,a,,False
ID0728,medbullets,b,C,False
ID0729,jama,b,,False
ID0730,medbullets,c,,False
ID0731,jama,c,C,True
ID0732,medbullets,c,C,True
ID0733,jama,d,D,True
ID0734,jama,d,D,True
ID0735,mmlu,d,B,False
ID0736,jama,d,,False
ID0737,medxpert,f,J,False
ID0738,mmlu,c,,False
ID0739,jama,c,C,True
ID0740,jama,d,C,False
ID0741,jama,b,,False
ID0742,medxpert,j,,False
ID0743,jama,b,B,True
ID0744,jama,b,B,True
ID0745,jama,d,D,True
ID0746,jama,c,C,True
ID0747,jama,d,D,True
ID0748,medbullets,a,,False
ID0749,mmlu,a,,False
ID0750,mmlu,c,,False
ID0751,medxpert,e,,False
ID0752,mmlu,a,A,True
ID0753,medxpert,c,G,False
ID0754,jama,b,B,True
ID0755,medxpert,g,,False
ID0756,jama,a,A,True
ID0757,mmlu,b,B,True
ID0758,medxpert,d,D,True
ID0759,medbullets,b,B,True
ID0760,medxpert,i,,False
ID0761,medxpert,h,D,False
ID0762,jama,c,C,True
ID0763,jama,a,,False
ID0764,medxpert,j,B,False
ID0765,medxpert,j,J,True
ID0766,mmlu,d,D,True
ID0767,medxpert,a,,False
ID0768,medxpert,h,,False
ID0769,jama,b,B,True
ID0770,medxpert,e,E,True
ID0771,jama,a,,False
ID0772,medxpert,a,,False
ID0773,mmlu,d,D,True
ID0774,medxpert,g,,False
ID0775,jama,d,D,True
ID0776,jama,b,B,True
ID0777,medxpert,i,A,False
ID0778,medxpert,g,G,True
ID0779,jama,c,C,True
ID0780,jama,b,C,False
ID0781,jama,c,C,True
ID0782,jama,a,D,False
ID0783,jama,c,C,True
ID0784,medbullets,c,C,True
ID0785,jama,c,C,True
ID0786,medxpert,a,A,True
ID0787,jama,d,,False
ID0788,medbullets,b,B,True
ID0789,mmlu,a,A,True
ID0790,medbullets,c,C,True
ID0791,medxpert,i,,False
ID0792,medxpert,i,I,True
ID0793,medbullets,c,,False
ID0794,mmlu,b,,False
ID0795,jama,d,,False
ID0796,medbullets,d,D,True
ID0797,jama,c,C,True
ID0798,medxpert,h,H,True
ID0799,mmlu,d,D,True
ID0800,jama,c,C,True
ID0801,medbullets,b,B,True
ID0802,mmlu,d,D,True
ID0803,jama,d,D,True
ID0804,jama,c,,False
ID0805,medxpert,j,J,True
ID0806,medbullets,b,,False
ID0807,jama,b,,False
ID0808,medxpert,i,,False
ID0809,jama,b,B,True
ID0810,medbullets,c,C,True
ID0811,medxpert,a,A,True
ID0812,jama,b,,False
ID0813,medxpert,d,D,True
ID0814,jama,c,B,False
ID0815,medxpert,g,I,False
ID0816,medxpert,i,E,False
ID0817,medxpert,b,,False
ID0818-new,,b,,False
ID0819,mmlu,c,C,True
ID0820,medxpert,e,,False
ID0821,medxpert,a,A,True
ID0822,jama,a,,False
ID0823,medxpert,b,,False
ID0824,medbullets,a,A,True
ID0825,medbullets,d,D,True
ID0826,jama,c,C,True
ID0827,medxpert,h,C,False
ID0828,medxpert,e,E,True
ID0829,jama,d,,False
ID0830,medbullets,a,A,True
ID0831,medxpert,f,F,True
ID0832,jama,d,D,True
ID0833,medbullets,c,C,True
ID0834,jama,c,C,True
ID0835,medbullets,a,A,True
ID0836,medbullets,b,B,True
ID0837,jama,c,C,True
ID0838,mmlu,d,,False
ID0839,jama,b,,False
ID0840,mmlu,a,A,True
ID0841,medbullets,d,C,False
ID0842,medbullets,d,C,False
ID0843,medxpert,b,B,True
ID0844,medbullets,a,A,True
ID0845,medbullets,c,C,True
ID0846,jama,c,C,True
ID0847,jama,b,B,True
ID0848,medxpert,f,,False
ID0849,medxpert,e,,False
ID0850,jama,c,C,True
ID0851,mmlu,d,D,True
ID0852,medbullets,a,A,True
ID0853,medbullets,b,B,True
ID0854,jama,a,A,True
ID0855,jama,d,D,True
ID0856,medxpert,j,J,True
ID0857,medxpert,g,,False
ID0858,jama,b,B,True
ID0859,jama,c,C,True
ID0860,medxpert,b,B,True
ID0861,medbullets,c,C,True
ID0862,jama,b,B,True
ID0863,jama,c,,False
ID0864,mmlu,a,A,True
ID0865,medxpert,b,,False
ID0866,jama,d,D,True
ID0867,jama,b,B,True
ID0868,medxpert,c,,False
ID0869,jama,b,B,True
ID0870,medxpert,b,A,False
ID0871,jama,b,C,False
ID0872,medxpert,d,D,True
ID0873,medxpert,h,,False
ID0874,medxpert,d,,False
ID0875,jama,c,,False
ID0876,jama,b,B,True
ID0877,jama,c,,False
ID0878,jama,b,B,True
ID0879,jama,c,C,True
ID0880,medxpert,i,F,False
ID0881,medxpert,d,,False
ID0882,medxpert,a,,False
ID0883,medxpert,c,G,False
ID0884,mmlu,c,C,True
ID0885,medbullets,d,D,True
ID0886,medxpert,d,,False
ID0887,medbullets,b,B,True
ID0888,medxpert,b,,False
ID0889,jama,d,D,True
ID0890,jama,b,,False
ID0891,medxpert,g,,False
ID0892,medxpert,d,,False
ID0893,medbullets,d,D,True
ID0894,jama,b,B,True
ID0895,jama,c,C,True
ID0896,medxpert,j,,False
ID0897,medbullets,d,,False
ID0898,medxpert,i,,False
ID0899,jama,b,B,True
ID0900,jama,c,C,True
ID0901,medbullets,b,B,True
ID0902,medxpert,d,I,False
ID0903,medxpert,g,,False
ID0904,jama,a,A,True
ID0905,jama,c,C,True
ID0906,medxpert,f,,False
ID0907,medxpert,e,C,False
ID0908,jama,c,C,True
ID0909,mmlu,a,A,True
ID0910,mmlu,d,D,True
ID0911,mmlu,d,D,True
ID0912,medxpert,e,E,True
ID0913,medxpert,a,,False
ID0914,medxpert,b,,False
ID0915,jama,c,C,True
ID0916,jama,d,D,True
ID0917,jama,a,,False
ID0918,mmlu,d,D,True
ID0919,medxpert,a,A,True
ID0920,medxpert,b,,False
ID0921,medxpert,f,,False
ID0922,medxpert,i,I,True
ID0923,medbullets,a,A,True
ID0924,medbullets,b,B,True
ID0925,jama,b,B,True
ID0926,medxpert,a,A,True
ID0927,jama,a,B,False
ID0928,medbullets,c,C,True
ID0929,medbullets,a,,False
ID0930,medxpert,b,,False
ID0931,medxpert,b,,False
ID0932,medxpert,i,,False
ID0933,medxpert,c,,False
ID0934,medxpert,g,G,True
ID0935,jama,a,A,True
ID0936,jama,a,,False
ID0937,jama,c,C,True
ID0938,medxpert,b,,False
