Origin,Problem ID,Labeled date,Duration (s),Labeling state,# Qualified reads,Flag messages,Flag reasons,User ID,p,q1,Correct answer,Response correct,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,data_source_corr_x,data_source_corr_y,data_source_corr
ID1999,25261946,2/21/26,134.0,Labeled,13,,,579474,med student,g,C,False,high relevance,high relevance,low relevance,not relevant,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,2/23/26,81.0,Labeled,13,,,639794,med student,e,C,False,low relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1999,25261946,2/25/26,188.0,Labeled,13,,,642036,physician,c,C,True,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1998,25261947,5/4/25,302.918,User Flagged,7,Unable to answer the question. It asks for which of the structures labeled in Figure A. Figure A is not available to me. THanks!; unable to see xray. imaging is needed to answer the question; No pictures; Answer choices reference an image; no figure to answer the question; There is no figure to label,incorrect; irrelevant; inappropriate; inappropriate; irrelevant; incorrect,348391,med student,d,A,False,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medbullets,medbullets,medbullets
ID1998,25261947,4/28/25,175.523,User Flagged,7,Unable to answer the question. It asks for which of the structures labeled in Figure A. Figure A is not available to me. THanks!; unable to see xray. imaging is needed to answer the question; No pictures; Answer choices reference an image; no figure to answer the question; There is no figure to label,incorrect; irrelevant; inappropriate; inappropriate; irrelevant; incorrect,579501,med student,a,A,True,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medbullets,medbullets,medbullets
ID1998,25261947,4/29/25,168.096,User Flagged,7,Unable to answer the question. It asks for which of the structures labeled in Figure A. Figure A is not available to me. THanks!; unable to see xray. imaging is needed to answer the question; No pictures; Answer choices reference an image; no figure to answer the question; There is no figure to label,incorrect; irrelevant; inappropriate; inappropriate; irrelevant; incorrect,581648,med student,a,A,True,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not relevant,,,,,,,,,,,,,,medbullets,medbullets,medbullets
ID1998,25261947,10/7/25,223.0,User Flagged,7,Unable to answer the question. It asks for which of the structures labeled in Figure A. Figure A is not available to me. THanks!; unable to see xray. imaging is needed to answer the question; No pictures; Answer choices reference an image; no figure to answer the question; There is no figure to label,incorrect; irrelevant; inappropriate; inappropriate; irrelevant; incorrect,24708,physician,a,A,True,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medbullets,medbullets,medbullets
ID1998,25261947,2/14/26,222.0,User Flagged,7,Unable to answer the question. It asks for which of the structures labeled in Figure A. Figure A is not available to me. THanks!; unable to see xray. imaging is needed to answer the question; No pictures; Answer choices reference an image; no figure to answer the question; There is no figure to label,incorrect; irrelevant; inappropriate; inappropriate; irrelevant; incorrect,584340,med student,a,A,True,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medbullets,medbullets,medbullets
ID1998,25261947,2/14/26,54.0,User Flagged,7,Unable to answer the question. It asks for which of the structures labeled in Figure A. Figure A is not available to me. THanks!; unable to see xray. imaging is needed to answer the question; No pictures; Answer choices reference an image; no figure to answer the question; There is no figure to label,incorrect; irrelevant; inappropriate; inappropriate; irrelevant; incorrect,133101,med student,a,A,True,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medbullets,medbullets,medbullets
ID1998,25261947,2/19/26,71.0,User Flagged,7,Unable to answer the question. It asks for which of the structures labeled in Figure A. Figure A is not available to me. THanks!; unable to see xray. imaging is needed to answer the question; No pictures; Answer choices reference an image; no figure to answer the question; There is no figure to label,incorrect; irrelevant; inappropriate; inappropriate; irrelevant; incorrect,579474,med student,j,A,False,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medbullets,medbullets,medbullets
ID1997,25261948,4/27/25,217.483,Labeled,4,,,579918,med student,c,B,False,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not relevant,low relevance,low relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1997,25261948,4/29/25,118.894,Labeled,4,,,580677,med student,b,B,True,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1997,25261948,4/30/25,101.389,Labeled,4,,,579493,med student,c,B,False,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1997,25261948,9/26/25,114.0,Labeled,4,,,615169,physician,b,B,True,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not relevant,low relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1996,25261949,5/4/25,113.831,Labeled,4,,,586785,med student,b,D,False,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1996,25261949,5/5/25,62.123,Labeled,4,,,579600,med student,d,D,True,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1996,25261949,5/5/25,64.334,Labeled,4,,,580677,med student,d,D,True,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1996,25261949,9/24/25,34.0,Labeled,4,,,423438,physician,d,D,True,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1995,25261950,5/5/25,28.983,Labeled,6,,,579470,med student,a,D,False,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1995,25261950,5/6/25,75.688,Labeled,6,,,580256,med student,d,D,True,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1995,25261950,5/6/25,142.543,Labeled,6,,,579502,med student,d,D,True,high relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1995,25261950,10/1/25,93.0,Labeled,6,,,24708,physician,a,D,False,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1995,25261950,10/28/25,81.0,Labeled,6,,,423438,physician,a,D,False,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1995,25261950,11/10/25,126.0,Labeled,6,,,615380,physician,d,D,True,high relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1994,25261951,5/6/25,2871.492,Labeled,15,,,580262,med student,d,E,False,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,5/6/25,123.001,Labeled,15,,,586785,med student,e,E,True,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,5/6/25,571.455,Labeled,15,,,387188,med student,i,E,False,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,9/27/25,51.0,Labeled,15,,,615169,physician,i,E,False,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,10/22/25,80.0,Labeled,15,,,24708,physician,i,E,False,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,11/7/25,166.0,Labeled,15,,,615380,physician,g,E,False,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,11/22/25,43.0,Labeled,15,,,423438,physician,i,E,False,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,1/18/26,115.0,Labeled,15,,,639727,physician,i,E,False,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,2/14/26,76.0,Labeled,15,,,133101,med student,c,E,False,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,2/14/26,163.0,Labeled,15,,,584340,med student,i,E,False,high relevance,high relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,2/17/26,190.0,Labeled,15,,,639800,med student,g,E,False,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,2/18/26,335.0,Labeled,15,,,579474,med student,i,E,False,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,2/23/26,124.0,Labeled,15,,,639794,med student,i,E,False,low relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,2/25/26,125.0,Labeled,15,,,642036,physician,i,E,False,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1994,25261951,2/25/26,211.0,Labeled,15,,,656346,physician,i,E,False,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1993,25261952,5/5/25,87.694,Labeled,5,,,579494,med student,d,D,True,high relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1993,25261952,5/5/25,55.45,Labeled,5,,,579470,med student,d,D,True,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1993,25261952,5/5/25,45.239,Labeled,5,,,586807,med student,c,D,False,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1993,25261952,10/4/25,94.0,Labeled,5,,,423438,physician,d,D,True,high relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1993,25261952,10/4/25,146.0,Labeled,5,,,615380,physician,c,D,False,high relevance,high relevance,high relevance,high relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1991,25261954,5/5/25,357.886,Labeled,6,,,586778,med student,d,D,True,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1991,25261954,5/6/25,257.687,Labeled,6,,,586802,med student,d,D,True,high relevance,high relevance,low relevance,not relevant,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not relevant,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1991,25261954,5/6/25,364.144,Labeled,6,,,586785,med student,d,D,True,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1991,25261954,9/30/25,330.0,Labeled,6,,,580,physician,a,D,False,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,not relevant,not relevant,low relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1991,25261954,10/25/25,208.0,Labeled,6,,,615380,physician,b,D,False,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1991,25261954,11/6/25,246.0,Labeled,6,,,615169,physician,d,D,True,high relevance,high relevance,not relevant,not relevant,low relevance,high relevance,low relevance,not relevant,not relevant,not relevant,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1990,25261955,5/7/25,131.899,Labeled,5,,,587803,med student,a,C,False,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1990,25261955,5/7/25,234.454,Labeled,5,,,579499,med student,d,C,False,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1990,25261955,5/7/25,140.172,Labeled,5,,,583242,med student,c,C,True,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1990,25261955,9/23/25,148.0,Labeled,5,,,615169,physician,a,C,False,high relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1990,25261955,10/27/25,79.0,Labeled,5,,,423438,physician,c,C,True,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1989,25261956,4/25/25,109.943,Labeled,4,,,579501,med student,d,B,False,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1989,25261956,4/29/25,41.628,Labeled,4,,,582025,med student,b,B,True,low relevance,low relevance,high relevance,,,,,,,,,,,,,,,,,,,mmlu,mmlu,mmlu
ID1989,25261956,4/30/25,208.756,Labeled,4,,,579918,med student,c,B,False,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1989,25261956,10/4/25,198.0,Labeled,4,,,615380,physician,b,B,True,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1987,25261958,5/6/25,1557.545,Labeled,4,,,387188,med student,a,H,False,high relevance,high relevance,high relevance,low relevance,high relevance,low relevance,not relevant,high relevance,high relevance,low relevance,low relevance,not relevant,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1987,25261958,5/6/25,91.278,Labeled,4,,,586841,med student,h,H,True,high relevance,high relevance,high relevance,high relevance,not relevant,not relevant,low relevance,not relevant,high relevance,high relevance,low relevance,high relevance,not relevant,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1987,25261958,5/6/25,155.42,Labeled,4,,,579516,med student,a,H,False,high relevance,high relevance,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1987,25261958,9/28/25,342.0,Labeled,4,,,24708,physician,h,H,True,high relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,not relevant,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,medxpert,medxpert,medxpert
ID1986,25261959,4/27/25,70.119,Labeled,4,,,580677,med student,c,C,True,high relevance,high relevance,low relevance,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1986,25261959,4/30/25,254.964,Labeled,4,,,579499,med student,c,C,True,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1986,25261959,5/1/25,180.404,Labeled,4,,,579536,med student,a,C,False,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1986,25261959,9/30/25,136.0,Labeled,4,,,423438,physician,c,C,True,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,jama,jama,jama
ID1984,25261961,4/26/25,142.383,Labeled,4,,,581304,med student,d,D,True,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1984,25261961,4/27/25,156.395,Labeled,4,,,581648,med student,d,D,True,not relevant,high relevance,high relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1984,25261961,4/29/25,44.844,Labeled,4,,,580256,med student,d,D,True,low relevance,high relevance,low relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
ID1984,25261961,9/29/25,103.0,Labeled,4,,,580,physician,d,D,True,not relevant,high relevance,low relevance,high relevance,high relevance,high relevance,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,mmlu,mmlu,mmlu
