Origin,data_source_corr_x,q1_majority,Correct answer,matches_correct
ID0297,jama,b,B,True
ID0298,medxpert,h,H,True
ID0300,jama,c,C,True
ID0302,jama,c,C,True
ID0303,medxpert,f,F,True
ID0304,medxpert,i,I,True
ID0305,medbullets,b,B,True
ID0307,mmlu,d,D,True
ID0309,medbullets,a,A,True
ID0310,jama,c,C,True
ID0313,mmlu,a,A,True
ID0314,medbullets,c,C,True
ID0315,mmlu,c,C,True
ID0317,medxpert,f,F,True
ID0320,medxpert,f,A,False
ID0321,jama,b,B,True
ID0324,jama,c,C,True
ID0325,medbullets,b,B,True
ID0327,medxpert,c,C,True
ID0328,jama,a,A,True
ID0330,medbullets,a,C,False
ID0332,jama,c,C,True
ID0334,jama,c,C,True
ID0336,medxpert,e,E,True
ID0337,jama,b,C,False
ID0339,mmlu,b,B,True
ID0345,jama,a,A,True
ID0349,medxpert,f,C,False
ID0352,jama,a,A,True
ID0353,medxpert,h,H,True
ID0356,jama,c,A,False
ID0357,medxpert,b,B,True
ID0359,medxpert,b,A,False
ID0360,mmlu,a,A,True
ID0363,medbullets,a,A,True
ID0364,jama,b,B,True
ID0367,medxpert,f,F,True
ID0368,jama,d,D,True
ID0371,medxpert,e,F,False
ID0376,medxpert,a,A,True
ID0379,medxpert,c,C,True
ID0382,medbullets,c,C,True
ID0385,medxpert,h,I,False
ID0388,medxpert,b,F,False
ID0389,jama,c,C,True
ID0391,medxpert,a,A,True
ID0393,jama,d,D,True
ID0395,jama,a,C,False
ID0396,medbullets,b,B,True
ID0397,medxpert,f,B,False
ID0399,jama,c,C,True
ID0400,jama,b,B,True
ID0403,medbullets,b,B,True
ID0405,jama,b,B,True
ID0406,mmlu,d,D,True
ID0407,medxpert,g,G,True
ID0409,mmlu,d,D,True
ID0416,medxpert,i,I,True
ID0417,jama,d,D,True
ID0421,jama,d,D,True
ID0422,jama,c,C,True
ID0426,medxpert,b,D,False
ID0428,mmlu,d,D,True
ID0429,mmlu,b,B,True
ID0433,medxpert,h,E,False
ID0435,medxpert,i,I,True
ID0437,mmlu,c,C,True
ID0438,medbullets,b,B,True
ID0440,medxpert,b,B,True
ID0447,medbullets,d,D,True
ID0449,jama,c,C,True
ID0453,jama,d,D,True
ID0455,medxpert,e,E,True
ID0458,medxpert,f,F,True
ID0463,jama,d,D,True
ID0466,jama,d,D,True
ID0467,jama,c,C,True
ID0468,medbullets,c,C,True
ID0469,jama,a,A,True
ID0470,medbullets,c,C,True
ID0471,jama,d,D,True
ID0472,jama,b,D,False
ID0473,medbullets,a,A,True
ID0478,jama,a,A,True
ID0483,jama,a,A,True
ID0488,jama,a,C,False
ID0490,jama,d,B,False
ID0491,medxpert,a,A,True
ID0492,jama,b,C,False
ID0494,jama,c,C,True
ID0495,medbullets,b,B,True
ID0496,medbullets,c,C,True
ID0500,jama,b,B,True
ID0504,medxpert,b,B,True
ID0506,medxpert,d,D,True
ID0508,jama,b,B,True
ID0509,medxpert,j,J,True
ID0510,mmlu,b,B,True
ID0514,medxpert,i,I,True
ID0519,medxpert,i,I,True
ID0520,mmlu,b,B,True
ID0521,medxpert,f,H,False
ID0522,jama,b,C,False
ID0523,medxpert,e,D,False
ID0526,medbullets,a,D,False
ID0528,jama,b,B,True
ID0529,medbullets,d,D,True
ID0532,medxpert,b,B,True
ID0533,jama,c,C,True
ID0534,jama,b,B,True
ID0535,medbullets,c,C,True
ID0541,jama,b,B,True
ID0542,mmlu,d,D,True
ID0543,mmlu,d,D,True
ID0546,medbullets,d,D,True
ID0552,jama,c,C,True
ID0553,jama,c,C,True
ID0554,mmlu,a,A,True
ID0561,jama,d,D,True
ID0564,medbullets,d,D,True
ID0566,mmlu,b,B,True
ID0567,medxpert,d,C,False
ID0569,mmlu,d,D,True
ID0572,medxpert,c,C,True
ID0574,medxpert,h,H,True
ID0576,mmlu,c,C,True
ID0577,jama,c,C,True
ID0578,mmlu,d,D,True
ID0581,medxpert,b,B,True
ID0584,jama,c,C,True
ID0587,medxpert,e,E,True
ID0589,jama,c,C,True
ID0590,jama,b,D,False
ID0591,medxpert,c,C,True
ID0594,medxpert,g,G,True
ID0595,medxpert,j,J,True
ID0596,jama,c,A,False
ID0598,medxpert,d,C,False
ID0599,medbullets,a,A,True
ID0600,medbullets,b,B,True
ID0601,medbullets,d,A,False
ID0602,jama,d,D,True
ID0604,mmlu,c,C,True
ID0605,medxpert,f,E,False
ID0607,mmlu,a,A,True
ID0609,jama,d,D,True
ID0614,medxpert,a,A,True
ID0616,medxpert,i,I,True
ID0617,mmlu,d,D,True
ID0618,mmlu,a,A,True
ID0619,medbullets,c,C,True
ID0621,medxpert,b,C,False
ID0622,mmlu,d,D,True
ID0623,medbullets,a,A,True
ID0625,medxpert,b,I,False
ID0626,medxpert,d,D,True
ID0627,medxpert,j,J,True
ID0628,mmlu,c,C,True
ID0634,mmlu,b,B,True
ID0635,jama,d,D,True
ID0636,jama,c,C,True
ID0647,jama,b,C,False
ID0651,medxpert,a,C,False
ID0652,mmlu,a,A,True
ID0653,mmlu,d,D,True
ID0654,mmlu,c,C,True
ID0655,medxpert,e,E,True
ID0656,jama,a,A,True
ID0658,medxpert,d,D,True
ID0660,jama,c,C,True
ID0662,medbullets,a,A,True
ID0665,mmlu,c,C,True
ID0668,medxpert,c,H,False
ID0669,jama,d,D,True
ID0671,jama,d,D,True
ID0672,medxpert,g,G,True
ID0673,medbullets,b,A,False
ID0675,jama,a,A,True
ID0680,medxpert,a,A,True
ID0682,mmlu,c,C,True
ID0683,jama,d,D,True
ID0684,medxpert,j,J,True
ID0692,jama,a,B,False
ID0693,medbullets,d,D,True
ID0695,mmlu,d,D,True
ID0698,medxpert,c,A,False
ID0699,jama,c,C,True
ID0701,medxpert,h,H,True
ID0702,medxpert,a,A,True
ID0703,jama,b,B,True
ID0708,jama,c,C,True
ID0710,jama,d,D,True
ID0712,mmlu,a,A,True
ID0713,medbullets,b,B,True
ID0715,medbullets,b,B,True
ID0716,jama,d,D,True
ID0717,medxpert,b,B,True
ID0718,jama,b,B,True
ID0721,jama,c,A,False
ID0723,jama,a,B,False
ID0726,jama,b,B,True
ID0731,jama,c,C,True
ID0732,medbullets,c,C,True
ID0733,jama,d,D,True
ID0735,mmlu,d,B,False
ID0737,medxpert,f,J,False
ID0740,jama,c,C,True
ID0746,jama,c,C,True
ID0747,jama,d,D,True
ID0752,mmlu,a,A,True
ID0753,medxpert,c,G,False
ID0754,jama,b,B,True
ID0757,mmlu,b,B,True
ID0758,medxpert,d,D,True
ID0759,medbullets,b,B,True
ID0761,medxpert,d,D,True
ID0764,medxpert,j,B,False
ID0765,medxpert,j,J,True
ID0766,mmlu,d,D,True
ID0769,jama,b,B,True
ID0770,medxpert,e,E,True
ID0773,mmlu,d,D,True
ID0777,medxpert,i,A,False
ID0778,medxpert,g,G,True
ID0779,jama,c,C,True
ID0780,jama,b,C,False
ID0784,medbullets,c,C,True
ID0786,medxpert,a,A,True
ID0788,medbullets,b,B,True
ID0789,mmlu,a,A,True
ID0790,medbullets,c,C,True
ID0792,medxpert,i,I,True
ID0798,medxpert,h,H,True
ID0799,mmlu,d,D,True
ID0801,medbullets,b,B,True
ID0802,mmlu,d,D,True
ID0803,jama,d,D,True
ID0805,medxpert,j,J,True
ID0809,jama,b,B,True
ID0810,medbullets,c,C,True
ID0811,medxpert,a,A,True
ID0813,medxpert,d,D,True
ID0815,medxpert,i,I,True
ID0816,medxpert,i,E,False
ID0819,mmlu,c,C,True
ID0821,medxpert,a,A,True
ID0826,jama,c,C,True
ID0827,medxpert,c,C,True
ID0828,medxpert,e,E,True
ID0831,medxpert,f,F,True
ID0833,medbullets,c,C,True
ID0834,jama,c,C,True
ID0835,medbullets,a,A,True
ID0837,jama,c,C,True
ID0840,mmlu,a,A,True
ID0841,medbullets,c,C,True
ID0843,medxpert,b,B,True
ID0844,medbullets,a,A,True
ID0845,medbullets,c,C,True
ID0846,jama,c,C,True
ID0851,mmlu,d,D,True
ID0852,medbullets,a,A,True
ID0856,medxpert,j,J,True
ID0859,jama,c,C,True
ID0860,medxpert,b,B,True
ID0861,medbullets,c,C,True
ID0864,mmlu,a,A,True
ID0866,jama,d,D,True
ID0867,jama,b,B,True
ID0869,jama,b,B,True
ID0870,medxpert,b,A,False
ID0872,medxpert,d,D,True
ID0878,jama,b,B,True
ID0880,medxpert,i,F,False
ID0884,mmlu,c,C,True
ID0885,medbullets,d,D,True
ID0887,medbullets,b,B,True
ID0893,medbullets,d,D,True
ID0894,jama,b,B,True
ID0895,jama,c,C,True
ID0899,jama,b,B,True
ID0901,medbullets,d,B,False
ID0902,medxpert,d,I,False
ID0904,jama,a,A,True
ID0907,medxpert,e,C,False
ID0909,mmlu,a,A,True
ID0910,mmlu,d,D,True
ID0911,mmlu,d,D,True
ID0912,medxpert,e,E,True
ID0918,mmlu,d,D,True
ID0919,medxpert,a,A,True
ID0922,medxpert,i,I,True
ID0923,medbullets,a,A,True
ID0924,medbullets,b,B,True
ID0926,medxpert,a,A,True
ID0934,medxpert,g,G,True
ID0935,jama,a,A,True
ID0937,jama,c,C,True
ID0941,medxpert,c,E,False
ID0942,medxpert,g,H,False
ID0944,mmlu,b,B,True
ID0948,medxpert,f,F,True
ID0949,medbullets,c,C,True
ID0951,mmlu,b,B,True
ID0953,mmlu,d,D,True
ID0957,medxpert,j,J,True
ID0962,jama,c,A,False
ID0963,mmlu,d,D,True
ID0965,medxpert,f,F,True
ID0972,medxpert,b,B,True
ID0973,jama,c,D,False
ID0974,medbullets,c,D,False
ID0976,jama,a,A,True
ID0979,medxpert,b,B,True
ID0981,jama,c,C,True
ID0982,jama,c,C,True
ID0987,medbullets,a,A,True
ID0992,medxpert,b,B,True
ID0994,medxpert,a,C,False
ID0998,jama,b,B,True
ID0999,mmlu,d,D,True
ID1001,jama,c,C,True
ID1002,jama,c,C,True
ID1005,jama,c,C,True
ID1009,medxpert,d,D,True
ID1013,mmlu,d,D,True
ID1014,jama,b,B,True
ID1015,jama,d,D,True
ID1016,jama,d,D,True
ID1017,jama,d,D,True
ID1020,jama,a,C,False
ID1021,jama,a,A,True
ID1022,jama,d,D,True
ID1024,medbullets,d,D,True
ID1025,mmlu,a,A,True
ID1026,medxpert,d,B,False
ID1029,medxpert,c,G,False
ID1031,medxpert,g,G,True
ID1032,jama,b,A,False
ID1035,jama,c,C,True
ID1037,jama,b,B,True
ID1038,jama,b,D,False
ID1044,mmlu,c,C,True
ID1047,jama,b,B,True
ID1048,jama,b,B,True
ID1049,jama,d,D,True
ID1051,medbullets,d,A,False
ID1055,medxpert,e,E,True
ID1058,medxpert,d,D,True
ID1059,mmlu,d,C,False
ID1062,medxpert,e,E,True
ID1063,mmlu,b,B,True
ID1064,mmlu,a,A,True
ID1065,medxpert,g,G,True
ID1066,medxpert,g,B,False
ID1067,medxpert,g,G,True
ID1068,jama,a,C,False
ID1070,jama,b,B,True
ID1073,jama,d,D,True
ID1074,medxpert,a,D,False
ID1076,jama,b,B,True
ID1077,jama,d,D,True
ID1079,jama,c,C,True
ID1081,medbullets,d,D,True
ID1082,mmlu,b,B,True
ID1084,jama,d,D,True
ID1085,medxpert,d,D,True
ID1087,jama,b,B,True
ID1088,mmlu,b,B,True
ID1090,jama,d,D,True
ID1093,medbullets,b,C,False
ID1098,jama,a,A,True
ID1099,jama,a,A,True
ID1101,jama,b,C,False
ID1102,medxpert,b,B,True
ID1108,medxpert,e,E,True
ID1110,jama,a,A,True
ID1112,mmlu,a,A,True
ID1113,jama,c,C,True
ID1114,mmlu,c,C,True
ID1116,medbullets,b,B,True
ID1117,medxpert,d,C,False
ID1121,jama,c,C,True
ID1125,medxpert,a,A,True
ID1127,jama,b,C,False
ID1130,medbullets,a,A,True
ID1132,jama,d,D,True
ID1135,jama,b,B,True
ID1137,medbullets,b,B,True
ID1141,medxpert,g,G,True
ID1142,medbullets,d,D,True
ID1147,medxpert,e,E,True
ID1148,jama,b,B,True
ID1149,jama,d,D,True
ID1150,jama,a,A,True
ID1151,medxpert,b,C,False
ID1152,mmlu,c,C,True
ID1153,medbullets,a,A,True
ID1154,medxpert,d,D,True
ID1157,medbullets,c,C,True
ID1158,medbullets,c,C,True
ID1161,medxpert,g,J,False
ID1162,jama,d,B,False
ID1163,mmlu,d,D,True
ID1164,jama,b,B,True
ID1167,jama,a,A,True
ID1170,jama,c,C,True
ID1171,jama,b,B,True
ID1172,medxpert,f,F,True
ID1175,jama,a,A,True
ID1176,medxpert,b,B,True
ID1179,medxpert,i,C,False
ID1180,mmlu,d,D,True
ID1181,mmlu,d,D,True
ID1182,mmlu,b,B,True
ID1184,medxpert,c,C,True
ID1185,jama,c,C,True
ID1187,mmlu,d,D,True
ID1190,medxpert,c,H,False
ID1193,jama,b,B,True
ID1194,medxpert,d,H,False
ID1197,jama,c,C,True
ID1199,medxpert,a,A,True
ID1200,medbullets,c,C,True
ID1201,jama,c,C,True
ID1202,medbullets,a,A,True
ID1204,jama,c,C,True
ID1206,mmlu,b,B,True
ID1208,medxpert,d,B,False
ID1209,mmlu,d,D,True
ID1212,medxpert,j,I,False
ID1215,jama,b,B,True
ID1217,jama,d,D,True
ID1218,medbullets,a,A,True
ID1223,mmlu,d,D,True
ID1226,medxpert,g,G,True
ID1227,mmlu,c,C,True
ID1228,medbullets,b,B,True
ID1229,jama,a,B,False
ID1239,mmlu,d,D,True
ID1240,mmlu,a,A,True
ID1244,jama,c,C,True
ID1245,medbullets,b,B,True
ID1246,medbullets,a,A,True
ID1247,jama,b,B,True
ID1248,mmlu,d,D,True
ID1249,medbullets,a,A,True
ID1252,medxpert,e,G,False
ID1254,medxpert,e,E,True
ID1255,medxpert,h,I,False
ID1256,medxpert,a,D,False
ID1258,mmlu,d,D,True
ID1261,mmlu,b,B,True
ID1262,medbullets,b,B,True
ID1266,jama,b,C,False
ID1268,mmlu,d,D,True
ID1269,medbullets,c,C,True
ID1270,medxpert,j,J,True
ID1271,medbullets,d,D,True
ID1272,mmlu,a,A,True
ID1273,jama,c,C,True
ID1277,mmlu,d,D,True
ID1278,medbullets,c,C,True
ID1279,medbullets,c,C,True
ID1280,medxpert,b,B,True
ID1284,medxpert,h,H,True
ID1285,jama,b,B,True
ID1287,mmlu,d,D,True
ID1288,jama,a,C,False
ID1290,jama,a,A,True
ID1294,medxpert,f,B,False
ID1296,mmlu,b,B,True
ID1297,mmlu,b,B,True
ID1298,medxpert,h,H,True
ID1299,medxpert,e,E,True
ID1302,mmlu,d,D,True
ID1307,medbullets,d,D,True
ID1308,jama,d,B,False
ID1309,medxpert,e,D,False
ID1310,mmlu,d,D,True
ID1313,medbullets,d,C,False
ID1316,mmlu,c,C,True
ID1318,jama,c,C,True
ID1320,jama,c,C,True
ID1321,jama,c,C,True
ID1324,medxpert,d,F,False
ID1328,medxpert,h,H,True
ID1329,medbullets,d,D,True
ID1330,mmlu,b,B,True
ID1331,mmlu,b,B,True
ID1332,jama,b,B,True
ID1333,medxpert,b,C,False
ID1335,mmlu,d,D,True
ID1336,mmlu,c,C,True
ID1338,medbullets,d,D,True
ID1339,mmlu,d,D,True
ID1340,medxpert,c,C,True
ID1343,medbullets,d,D,True
ID1345,medbullets,c,C,True
ID1346,jama,c,C,True
ID1347,jama,a,A,True
ID1349,jama,d,D,True
ID1353,jama,c,C,True
ID1354,jama,b,B,True
ID1355,mmlu,a,A,True
ID1357,medxpert,e,B,False
ID1359,jama,a,A,True
ID1366,jama,b,B,True
ID1369,medxpert,c,C,True
ID1371,medbullets,a,A,True
ID1378,medbullets,b,B,True
ID1380,medxpert,a,A,True
ID1383,mmlu,d,A,False
ID1384,medbullets,a,A,True
ID1385,medxpert,c,A,False
ID1387,jama,c,C,True
ID1388,jama,c,C,True
ID1389,medxpert,e,E,True
ID1392,medxpert,j,J,True
ID1394,medbullets,c,C,True
ID1395,medxpert,j,J,True
ID1396,medxpert,j,J,True
ID1398,jama,c,C,True
ID1399,medxpert,e,E,True
ID1401,jama,c,C,True
ID1402,jama,c,C,True
ID1403,jama,b,B,True
ID1405,mmlu,b,B,True
ID1409,medxpert,g,G,True
ID1413,medbullets,c,C,True
ID1414,medxpert,i,B,False
ID1416,jama,b,B,True
ID1418,mmlu,d,D,True
ID1421,mmlu,d,D,True
ID1422,medbullets,b,C,False
ID1423,medxpert,j,F,False
ID1425,mmlu,d,D,True
ID1426,mmlu,d,D,True
ID1428,medxpert,a,F,False
ID1430,jama,c,C,True
ID1432,medxpert,e,E,True
ID1434,medxpert,d,D,True
ID1438,jama,d,D,True
ID1439,medbullets,b,B,True
ID1442,mmlu,d,D,True
ID1445,mmlu,a,A,True
ID1446,mmlu,c,C,True
ID1448,medxpert,b,B,True
ID1450,jama,d,C,False
ID1452,medbullets,d,D,True
ID1454,mmlu,b,B,True
ID1459,jama,a,A,True
ID1460,mmlu,d,D,True
ID1462,medxpert,a,A,True
ID1463,medxpert,g,G,True
ID1464,jama,c,A,False
ID1466,mmlu,d,D,True
ID1467,mmlu,d,D,True
ID1468,medbullets,d,A,False
ID1469,jama,b,C,False
ID1474,mmlu,b,B,True
ID1475,medbullets,c,C,True
ID1479,mmlu,d,D,True
ID1480,medbullets,d,D,True
ID1483,medxpert,h,F,False
ID1485,jama,a,C,False
ID1488,medbullets,d,D,True
ID1489,medbullets,a,A,True
ID1491,jama,b,B,True
ID1492,medxpert,f,F,True
ID1494,medbullets,b,B,True
ID1496,medbullets,a,A,True
ID1500,mmlu,c,C,True
ID1501,medxpert,e,J,False
ID1504,medxpert,d,D,True
ID1505,jama,d,D,True
ID1506,mmlu,d,D,True
ID1507,mmlu,c,C,True
ID1508,medbullets,d,D,True
ID1513,jama,d,D,True
ID1515,mmlu,a,A,True
ID1520,jama,a,A,True
ID1524,mmlu,c,C,True
ID1525,jama,a,A,True
ID1526,medbullets,b,B,True
ID1530,jama,d,D,True
ID1531,jama,c,C,True
ID1534,medbullets,c,C,True
ID1536,medbullets,a,A,True
ID1538,jama,b,B,True
ID1539,medbullets,d,D,True
ID1540,jama,b,B,True
ID1541,medbullets,b,B,True
ID1543,mmlu,d,D,True
ID1544,mmlu,c,C,True
ID1550,jama,d,B,False
ID1551,jama,c,C,True
ID1552,medbullets,d,D,True
ID1553,medbullets,a,A,True
ID1557,medxpert,i,I,True
ID1558,jama,a,A,True
ID1559,medxpert,j,J,True
ID1565,medbullets,b,B,True
ID1567,medxpert,e,E,True
ID1569,mmlu,d,D,True
ID1570,medbullets,a,A,True
ID1571,medxpert,b,B,True
ID1572,medxpert,f,F,True
ID1573,jama,c,C,True
ID1574,jama,c,C,True
ID1575,jama,c,C,True
ID1578,medxpert,h,H,True
ID1581,jama,d,D,True
ID1582,medxpert,j,F,False
ID1583,mmlu,a,A,True
ID1585,jama,c,C,True
ID1586,mmlu,d,D,True
ID1587,mmlu,b,B,True
ID1588,jama,d,D,True
ID1590,mmlu,a,A,True
ID1591,medxpert,h,I,False
ID1593,medxpert,e,J,False
ID1594,jama,b,B,True
ID1596,mmlu,d,D,True
ID1599,medbullets,b,B,True
ID1602,medbullets,a,A,True
ID1612,jama,c,C,True
ID1613,mmlu,d,D,True
ID1614,medxpert,d,I,False
ID1617,medxpert,d,D,True
ID1622,mmlu,d,D,True
ID1632,medbullets,d,C,False
ID1633,mmlu,d,D,True
ID1636,medbullets,b,B,True
ID1637,medbullets,d,D,True
ID1638,jama,d,D,True
ID1646,medxpert,c,C,True
ID1650,mmlu,b,B,True
ID1651,jama,b,B,True
ID1652,jama,a,A,True
ID1654,medxpert,j,J,True
ID1656,medxpert,e,E,True
ID1659,jama,b,B,True
ID1660,mmlu,c,C,True
ID1662,mmlu,d,D,True
ID1663,jama,b,B,True
ID1664,jama,d,D,True
ID1667,medxpert,f,A,False
ID1668,medbullets,a,A,True
ID1672,jama,d,D,True
ID1673,medxpert,b,B,True
ID1674,jama,c,C,True
ID1676,medxpert,g,G,True
ID1678,jama,a,C,False
ID1679,jama,d,D,True
ID1684,medxpert,g,G,True
ID1685,medbullets,b,B,True
ID1688,mmlu,d,D,True
ID1691,medxpert,f,F,True
ID1693,medbullets,c,C,True
ID1694,medxpert,j,J,True
ID1696,medxpert,j,J,True
ID1698,medxpert,b,B,True
ID1699,jama,d,D,True
ID1700,mmlu,c,C,True
ID1701,mmlu,b,B,True
ID1704,medbullets,c,C,True
ID1712,medxpert,b,C,False
ID1713,jama,c,C,True
ID1715,mmlu,d,D,True
ID1717,medxpert,i,A,False
ID1718,medbullets,c,C,True
ID1722,medxpert,a,J,False
ID1724,medxpert,g,A,False
ID1725,mmlu,d,D,True
ID1727,medxpert,c,C,True
ID1734,jama,d,D,True
ID1738,medbullets,a,A,True
ID1741,medxpert,f,F,True
ID1742,medxpert,c,C,True
ID1743,medxpert,j,A,False
ID1744,medxpert,a,A,True
ID1746,medxpert,j,E,False
ID1747,jama,a,C,False
ID1749,mmlu,d,D,True
ID1750,medxpert,h,I,False
ID1751,medxpert,h,H,True
ID1755,medxpert,e,B,False
ID1757,medxpert,j,J,True
ID1758,medxpert,f,F,True
ID1761,jama,b,D,False
ID1762,jama,b,B,True
ID1766,medxpert,d,D,True
ID1768,medbullets,c,C,True
ID1769,jama,a,C,False
ID1772,medxpert,e,E,True
ID1773,medxpert,b,B,True
ID1774,mmlu,b,B,True
ID1776,medxpert,b,B,True
ID1777,medxpert,e,E,True
ID1778,medxpert,i,I,True
ID1779,medxpert,d,D,True
ID1783,medxpert,j,J,True
ID1788,mmlu,d,D,True
ID1789,medxpert,f,F,True
ID1791,jama,c,C,True
ID1792,jama,c,C,True
ID1793,mmlu,b,B,True
ID1795,medxpert,a,A,True
ID1797,jama,b,B,True
ID1798,mmlu,a,A,True
ID1800,mmlu,a,A,True
ID1802,jama,c,C,True
ID1807,jama,d,B,False
ID1808,mmlu,b,B,True
ID1817,medxpert,c,C,True
ID1818,mmlu,b,B,True
ID1819,jama,a,C,False
ID1820,jama,b,B,True
ID1821,medbullets,b,D,False
ID1822,medbullets,c,B,False
ID1824,medbullets,d,D,True
ID1825,medxpert,h,H,True
ID1826,mmlu,a,A,True
ID1827,mmlu,d,D,True
ID1831,jama,c,C,True
ID1833,medbullets,a,A,True
ID1834,medxpert,e,E,True
ID1837,jama,c,C,True
ID1838,medbullets,b,B,True
ID1840,medxpert,b,D,False
ID1841,jama,d,A,False
ID1842,jama,a,B,False
ID1843,mmlu,a,D,False
ID1845,medbullets,a,A,True
ID1846,medbullets,b,B,True
ID1849,mmlu,b,B,True
ID1850,jama,a,C,False
ID1851,mmlu,d,D,True
ID1855,jama,b,C,False
ID1858,medxpert,f,F,True
ID1859,jama,d,B,False
ID1862,mmlu,d,D,True
ID1863,mmlu,b,B,True
ID1865,jama,c,C,True
ID1866,mmlu,a,A,True
ID1873,mmlu,d,D,True
ID1874,mmlu,a,A,True
ID1875,jama,d,D,True
ID1880,medbullets,b,B,True
ID1881,mmlu,a,A,True
ID1882,medbullets,c,D,False
ID1886,medxpert,f,F,True
ID1887,jama,c,C,True
ID1888,medxpert,e,E,True
ID1889,mmlu,c,C,True
ID1890,medxpert,j,J,True
ID1892,medxpert,h,H,True
ID1893,jama,a,C,False
ID1895,medbullets,b,B,True
ID1896,medxpert,j,J,True
ID1898,medbullets,c,C,True
ID1900,jama,c,C,True
ID1902,jama,b,C,False
ID1904,jama,d,D,True
ID1905,medxpert,g,G,True
ID1908,mmlu,c,C,True
ID1909,jama,c,C,True
ID1910,medxpert,f,F,True
ID1911,mmlu,d,D,True
ID1912,mmlu,d,D,True
ID1913,medxpert,g,E,False
ID1915,medxpert,g,G,True
ID1917,jama,b,B,True
ID1918,jama,c,C,True
ID1919,medbullets,c,C,True
ID1923,medxpert,d,D,True
ID1924,medxpert,f,F,True
ID1925,jama,c,C,True
ID1927,medbullets,b,B,True
ID1928,jama,c,C,True
ID1929,medxpert,f,F,True
ID1931,jama,a,A,True
ID1934,jama,a,A,True
ID1937,jama,b,B,True
ID1938,medbullets,a,A,True
ID1940,jama,b,B,True
ID1941,medxpert,c,F,False
ID1944,medxpert,a,J,False
ID1945,medbullets,b,B,True
ID1946,medxpert,a,A,True
