row_index,total_labels,matches,match_percentage,three_out_of_five_match,labels1,labels2
23,2,2,100.0,True,"['High Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance']"
24,5,5,100.0,True,"['High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance']"
25,4,4,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
26,8,8,100.0,True,"['Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']"
27,4,4,100.0,True,"['Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance']","['Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance']"
28,9,8,88.88888888888889,True,"['Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']"
29,0,0,0.0,False,[],[]
30,8,8,100.0,True,"['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
31,6,6,100.0,True,"['Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
32,5,5,100.0,True,"['High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
33,10,10,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
34,3,2,66.66666666666666,True,"['High Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance', 'High Relevance']"
35,13,12,92.3076923076923,True,"['Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
36,5,4,80.0,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
37,6,4,66.66666666666666,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
38,4,3,75.0,True,"['High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance']"
39,0,0,0.0,False,[],[]
40,0,0,0.0,False,[],[]
41,7,7,100.0,True,"['High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
42,8,7,87.5,True,"['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
43,13,13,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']"
44,3,3,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'Low Relevance']"
45,13,13,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'High Relevance']"
46,8,8,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
47,7,7,100.0,True,"['High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance']"
48,10,9,90.0,True,"['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']"
49,11,11,100.0,True,"['Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'High Relevance']"
50,6,5,83.33333333333334,True,"['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
51,5,5,100.0,True,"['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
52,6,6,100.0,True,"['Irrelevant', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Irrelevant', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
53,9,4,44.44444444444444,False,"['High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance']"
54,9,9,100.0,True,"['High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
55,4,3,75.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
56,3,3,100.0,True,"['Low Relevance', 'High Relevance', 'Irrelevant']","['Low Relevance', 'High Relevance', 'Irrelevant']"
57,5,5,100.0,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance']","['High Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance']"
58,7,7,100.0,True,"['Irrelevant', 'Irrelevant', 'High Relevance', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'Low Relevance']","['Irrelevant', 'Irrelevant', 'High Relevance', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'Low Relevance']"
59,6,4,66.66666666666666,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']"
60,21,21,100.0,True,"['Irrelevant', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'Irrelevant', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Irrelevant']","['Irrelevant', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'Irrelevant', 'High Relevance', 'Irrelevant', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'Irrelevant']"
61,5,4,80.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance']"
62,3,3,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'Low Relevance']"
63,3,3,100.0,True,"['Irrelevant', 'High Relevance', 'Low Relevance']","['Irrelevant', 'High Relevance', 'Low Relevance']"
64,3,3,100.0,True,"['High Relevance', 'Irrelevant', 'Low Relevance']","['High Relevance', 'Irrelevant', 'Low Relevance']"
65,3,3,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'Low Relevance']"
66,0,0,0.0,False,[],[]
67,6,6,100.0,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
68,11,9,81.81818181818183,True,"['Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
69,5,5,100.0,True,"['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']"
70,3,3,100.0,True,"['High Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance', 'Low Relevance']"
71,9,7,77.77777777777779,True,"['Low Relevance', 'Low Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']"
72,7,7,100.0,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']"
73,7,7,100.0,True,"['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
74,6,2,33.33333333333333,False,"['Irrelevant', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance']","['Irrelevant', 'Irrelevant', 'High Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance']"
75,8,7,87.5,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']"
76,4,4,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
77,12,12,100.0,True,"['Irrelevant', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'High Relevance']","['Irrelevant', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Irrelevant', 'High Relevance', 'High Relevance']"
78,12,10,83.33333333333334,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
79,8,8,100.0,True,"['High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
80,7,7,100.0,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'Low Relevance']"
81,7,7,100.0,True,"['High Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
82,6,6,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'High Relevance']"
83,6,6,100.0,True,"['Low Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance']","['Low Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance']"
84,4,4,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']"
85,9,9,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance']"
86,0,0,0.0,False,[],[]
87,14,13,92.85714285714286,True,"['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
88,8,8,100.0,True,"['Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
89,5,5,100.0,True,"['Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']"
90,9,7,77.77777777777779,True,"['Low Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']","['High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']"
91,7,7,100.0,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']","['Low Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
92,9,9,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
93,10,9,90.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance']"
94,2,2,100.0,True,"['High Relevance', 'Low Relevance']","['High Relevance', 'Low Relevance']"
95,6,6,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']"
96,7,7,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
97,13,13,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'Irrelevant', 'Irrelevant', 'Low Relevance', 'High Relevance', 'High Relevance', 'Irrelevant', 'High Relevance', 'High Relevance']"
98,12,12,100.0,True,"['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
99,3,3,100.0,True,"['High Relevance', 'High Relevance', 'Low Relevance']","['High Relevance', 'High Relevance', 'Low Relevance']"
100,6,3,50.0,False,"['High Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'Low Relevance']","['High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance']"
101,11,11,100.0,True,"['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']","['Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance']"
102,9,9,100.0,True,"['Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']"
103,9,9,100.0,True,"['High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance']","['High Relevance', 'Irrelevant', 'Low Relevance', 'High Relevance', 'Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance']"
104,5,4,80.0,True,"['Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'Low Relevance']","['Low Relevance', 'Irrelevant', 'High Relevance', 'High Relevance', 'Low Relevance']"
105,6,5,83.33333333333334,True,"['Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance', 'High Relevance']","['Low Relevance', 'Low Relevance', 'Low Relevance', 'Low Relevance', 'High Relevance', 'High Relevance']"
