ID_corr,separate_relevant,combined_relevant,delta,combined_more_relevance
ID1081,0.0,0,0.0,False
7071,0.0,0,0.0,False
ID1618,0.0,0,0.0,False
ID0314,0.0,7,7.0,True
ID0473,0.0,4,4.0,True
ID1847,0.0,0,0.0,False
ID1180,0.0,0,0.0,False
ID0048,0.0,2,2.0,True
ID1276,0.0,0,0.0,False
ID1467,0.0,11,11.0,True
ID1234,0.0,0,0.0,False
ID0662,0.0,8,8.0,True
ID0858,0.0,9,9.0,True
7063,0.0,0,0.0,False
ID0496,0.0,0,0.0,False
ID0607,0.0,2,2.0,True
ID0349,0.0,0,0.0,False
ID0884,0.0,0,0.0,False
7053,0.0,0,0.0,False
7073,0.0,0,0.0,False
7013,0.0,0,0.0,False
7033,0.0,1,1.0,True
ID1251,0.0,0,0.0,False
ID0376,0.0,6,6.0,True
ID0017,0.0,0,0.0,False
ID1088,0.0,9,9.0,True
ID0256,0.0,0,0.0,False
ID0525,0.0,0,0.0,False
ID0116,0.0,0,0.0,False
ID0905,0.0,10,10.0,True
ID0081,0.0,0,0.0,False
ID0726,0.0,0,0.0,False
7051,0.0,0,0.0,False
ID0961,0.0,0,0.0,False
ID0045,0.0,0,0.0,False
ID1236,0.0,0,0.0,False
ID1775,0.0,0,0.0,False
ID0826,0.0,0,0.0,False
ID1544,0.0,0,0.0,False
ID1176,0.0,5,5.0,True
ID1146,0.0,0,0.0,False
ID0415,0.0,0,0.0,False
ID1543,0.0,0,0.0,False
ID1489,0.0,3,3.0,True
ID1419,0.0,0,0.0,False
ID1206,0.0,14,14.0,True
ID1313,0.0,0,0.0,False
ID0356,0.0,0,0.0,False
ID1232,0.0,0,0.0,False
ID1601,0.0,0,0.0,False
ID0513,0.0,1,1.0,True
ID1767,0.0,7,7.0,True
ID1827,0.0,0,0.0,False
ID1660,0.0,3,3.0,True
ID0601,0.0,3,3.0,True
ID1336,0.0,10,10.0,True
ID1672,0.0,0,0.0,False
ID0654,0.0,0,0.0,False
ID0529,0.0,0,0.0,False
ID1270,0.0,4,4.0,True
ID0856,0.0,1,1.0,True
ID1366,0.0,0,0.0,False
ID1450,0.0,0,0.0,False
ID1488,0.0,9,9.0,True
ID1138,0.0,2,2.0,True
ID1031,0.0,0,0.0,False
ID1108,0.0,0,0.0,False
ID0948,0.0,6,6.0,True
7052,0.0,0,0.0,False
ID0925,0.0,0,0.0,False
ID0840,0.0,7,7.0,True
ID0926,0.0,6,6.0,True
ID1224,0.0,0,0.0,False
ID0109,0.0,0,0.0,False
ID0110,0.0,0,0.0,False
ID1727,0.0,8,8.0,True
ID1121,0.0,0,0.0,False
ID0313,0.0,15,15.0,True
ID1354,0.0,0,0.0,False
ID1746,0.0,0,0.0,False
7070,0.0,0,0.0,False
ID1947,0.0,0,0.0,False
ID0665,0.0,5,5.0,True
ID0764,0.0,0,0.0,False
ID0030,0.0,0,0.0,False
ID1640,0.0,5,5.0,True
ID1712,0.0,0,0.0,False
ID1409,0.0,0,0.0,False
7009,0.0,0,0.0,False
ID0262,0.0,0,0.0,False
7057,0.0,0,0.0,False
ID1309,0.0,0,0.0,False
ID0979,0.0,0,0.0,False
ID1289,0.0,0,0.0,False
ID0883,0.0,0,0.0,False
ID0291,0.0,0,0.0,False
ID1976,0.0,0,0.0,False
7010,0.0,0,0.0,False
ID1006,0.0,1,1.0,True
ID0447,0.0,6,6.0,True
ID0275,0.0,9,9.0,True
ID0449,0.0,0,0.0,False
ID1049,0.0,1,1.0,True
ID1574,0.0,0,0.0,False
ID1496,0.0,0,0.0,False
ID1362,0.0,0,0.0,False
ID0192,0.0,17,17.0,True
ID0599,0.0,0,0.0,False
ID0576,0.0,6,6.0,True
ID0679,0.0,0,0.0,False
ID1529,0.0,0,0.0,False
ID1965,0.0,0,0.0,False
7000,0.0,6,6.0,True
ID1429,0.0,0,0.0,False
ID0789,0.0,6,6.0,True
ID1862,0.0,4,4.0,True
ID0887,0.0,3,3.0,True
ID0368,0.0,0,0.0,False
ID1462,0.0,1,1.0,True
7023,0.0,5,5.0,True
ID1256,0.0,0,0.0,False
ID1474,0.0,6,6.0,True
7058,0.0,0,0.0,False
ID0136,0.0,0,0.0,False
ID0149,0.0,0,0.0,False
ID1369,0.0,7,7.0,True
ID0216,0.0,0,0.0,False
7046,0.0,0,0.0,False
ID1426,0.0,4,4.0,True
ID0974,0.0,0,0.0,False
ID1515,0.0,0,0.0,False
ID1413,0.0,6,6.0,True
ID0566,0.0,0,0.0,False
ID0697,0.0,0,0.0,False
ID1148,0.0,0,0.0,False
ID0404,0.0,0,0.0,False
ID0907,0.0,2,2.0,True
ID1389,0.0,5,5.0,True
7006,0.0,0,0.0,False
ID1691,0.0,0,0.0,False
ID0517,0.0,8,8.0,True
ID0137,0.0,8,8.0,True
ID0844,0.0,6,6.0,True
ID1744,0.0,6,6.0,True
ID1337,0.0,0,0.0,False
ID1414,0.0,0,0.0,False
ID1927,0.0,7,7.0,True
ID0324,0.0,0,0.0,False
ID1099,0.0,0,0.0,False
ID1418,0.0,11,11.0,True
ID1702,0.0,0,0.0,False
ID1716,0.0,10,10.0,True
ID1208,0.0,7,7.0,True
ID1789,0.0,9,9.0,True
7007,0.0,0,0.0,False
ID1755,0.0,3,3.0,True
ID0389,0.0,0,0.0,False
ID1262,0.0,7,7.0,True
ID1887,0.0,0,0.0,False
ID1508,0.0,0,0.0,False
ID0015,0.0,0,0.0,False
ID0693,0.0,1,1.0,True
ID1101,0.0,0,0.0,False
ID1700,0.0,11,11.0,True
ID1863,0.0,6,6.0,True
ID1085,0.0,3,3.0,True
ID0018,0.0,4,4.0,True
ID0716,0.0,0,0.0,False
ID0479,0.0,0,0.0,False
ID1468,0.0,7,7.0,True
ID0437,0.0,0,0.0,False
ID1385,0.0,0,0.0,False
ID0172,0.0,0,0.0,False
ID1371,0.0,0,0.0,False
ID0575,0.0,0,0.0,False
ID1055,0.0,3,3.0,True
ID0207,0.0,0,0.0,False
ID0296,0.0,0,0.0,False
ID1316,0.0,0,0.0,False
ID0765,0.0,6,6.0,True
ID1571,0.0,0,0.0,False
ID0495,0.0,0,0.0,False
ID0723,0.0,0,0.0,False
ID1553,0.0,14,14.0,True
ID0101,0.0,6,6.0,True
ID0796,0.0,8,8.0,True
7043,0.0,0,0.0,False
ID0533,0.0,7,7.0,True
ID1684,0.0,7,7.0,True
ID0257,0.0,0,0.0,False
ID0828,0.0,0,0.0,False
ID1694,0.0,10,10.0,True
ID1958,0.0,0,0.0,False
ID0976,0.0,4,4.0,True
ID0254,0.0,0,0.0,False
ID0564,0.0,0,0.0,False
ID0860,0.0,6,6.0,True
ID0455,0.0,0,0.0,False
7025,0.0,0,0.0,False
ID1219,0.0,0,0.0,False
ID1518,0.0,8,8.0,True
ID1955,0.0,0,0.0,False
ID0461,0.0,0,0.0,False
ID1360,0.0,0,0.0,False
ID1490,0.0,8,8.0,True
ID1975,0.0,0,0.0,False
ID1352,0.0,0,0.0,False
ID0487,0.0,0,0.0,False
ID0325,0.0,10,10.0,True
ID0696,0.0,0,0.0,False
ID0283,0.0,0,0.0,False
ID0585,0.0,4,4.0,True
7074,0.0,0,0.0,False
ID0367,0.0,0,0.0,False
ID1190,0.0,0,0.0,False
ID0315,0.0,11,11.0,True
ID0846,0.0,0,0.0,False
ID0085,0.0,0,0.0,False
7031,0.0,2,2.0,True
ID0942,0.0,0,0.0,False
ID1483,0.0,0,0.0,False
ID1693,0.0,0,0.0,False
ID0758,0.0,0,0.0,False
ID0987,0.0,0,0.0,False
ID1590,0.0,6,6.0,True
ID1905,0.0,0,0.0,False
7015,0.0,0,0.0,False
ID1570,0.0,0,0.0,False
ID0709,0.0,0,0.0,False
ID1833,0.0,7,7.0,True
7090,0.0,0,0.0,False
ID0032,0.0,7,7.0,True
ID1566,0.0,0,0.0,False
ID0655,0.0,8,8.0,True
ID1112,0.0,0,0.0,False
ID1646,0.0,0,0.0,False
ID1777,0.0,4,4.0,True
ID0539,0.0,0,0.0,False
ID1870,0.0,0,0.0,False
ID1374,0.0,0,0.0,False
7076,0.0,4,4.0,True
ID1583,0.0,0,0.0,False
ID1929,0.0,0,0.0,False
7078,0.0,0,0.0,False
7089,0.0,0,0.0,False
ID1459,0.0,0,0.0,False
ID1573,0.0,13,13.0,True
ID0331,0.0,6,6.0,True
7003,0.0,0,0.0,False
ID1421,0.0,7,7.0,True
ID0832,0.0,5,5.0,True
ID1013,0.0,3,3.0,True
ID1819,0.0,12,12.0,True
ID0406,0.0,9,9.0,True
ID1856,0.0,0,0.0,False
7084,0.0,0,0.0,False
ID1811,0.0,0,0.0,False
ID1198,0.0,0,0.0,False
ID0106,0.0,4,4.0,True
ID0387,0.0,0,0.0,False
ID1849,0.0,0,0.0,False
ID0144,0.0,9,9.0,True
ID0417,0.0,10,10.0,True
7024,0.0,0,0.0,False
ID0412,0.0,0,0.0,False
ID0923,0.0,4,4.0,True
ID1859,0.0,0,0.0,False
ID0600,0.0,6,6.0,True
ID0673,0.0,5,5.0,True
ID1846,0.0,8,8.0,True
ID0422,0.0,0,0.0,False
7079,0.0,0,0.0,False
ID0049,0.0,1,1.0,True
ID0395,0.0,0,0.0,False
ID0922,0.0,13,13.0,True
ID0064,0.0,4,4.0,True
ID0628,0.0,4,4.0,True
ID1593,0.0,0,0.0,False
ID1991,0.0,0,0.0,False
7017,0.0,0,0.0,False
7098,0.0,0,0.0,False
7012,0.0,0,0.0,False
ID1359,0.0,0,0.0,False
ID0680,0.0,0,0.0,False
ID0327,0.0,7,7.0,True
ID1130,0.0,0,0.0,False
ID1836,0.0,0,0.0,False
ID1038,0.0,0,0.0,False
ID0872,0.0,0,0.0,False
ID0713,0.0,0,0.0,False
ID1765,0.0,0,0.0,False
ID0021,0.0,0,0.0,False
ID0076,0.0,0,0.0,False
7001,0.0,0,0.0,False
ID1264,0.0,0,0.0,False
ID0471,0.0,0,0.0,False
ID0587,0.0,0,0.0,False
ID0053,0.0,0,0.0,False
ID0521,0.0,0,0.0,False
ID0759,0.0,0,0.0,False
ID1963,0.0,0,0.0,False
ID1201,0.0,0,0.0,False
ID1974,0.0,6,6.0,True
ID1066,0.0,0,0.0,False
7029,0.0,0,0.0,False
ID1212,0.0,3,3.0,True
ID0440,0.0,7,7.0,True
ID0969,0.0,0,0.0,False
ID1688,0.0,5,5.0,True
ID1645,0.0,0,0.0,False
ID0682,0.0,0,0.0,False
ID1333,0.0,8,8.0,True
ID0616,0.0,0,0.0,False
ID0902,0.0,4,4.0,True
ID1382,0.0,0,0.0,False
ID1636,0.0,0,0.0,False
ID1423,0.0,0,0.0,False
ID1629,0.0,0,0.0,False
ID0211,0.0,6,6.0,True
7064,0.0,7,7.0,True
ID1886,0.0,0,0.0,False
ID0135,0.0,4,4.0,True
ID0237,0.0,0,0.0,False
ID0786,0.0,6,6.0,True
ID1711,0.0,0,0.0,False
ID1783,0.0,0,0.0,False
ID1233,0.0,0,0.0,False
ID1291,0.0,0,0.0,False
ID1014,0.0,12,12.0,True
ID1197,0.0,0,0.0,False
ID0734,0.0,0,0.0,False
ID0554,0.0,0,0.0,False
7075,0.0,0,0.0,False
ID0309,0.0,5,5.0,True
ID0711,0.0,3,3.0,True
ID0002,0.0,0,0.0,False
ID0147,0.0,2,2.0,True
ID1149,0.0,0,0.0,False
ID0284,0.0,8,8.0,True
ID1129,0.0,8,8.0,True
ID0506,0.0,0,0.0,False
ID1622,0.0,0,0.0,False
ID0658,0.0,3,3.0,True
ID1218,0.0,0,0.0,False
ID1020,0.0,0,0.0,False
ID1064,0.0,0,0.0,False
ID1893,0.0,0,0.0,False
ID1422,0.0,8,8.0,True
ID1028,0.0,0,0.0,False
ID1561,0.0,6,6.0,True
ID1840,0.0,0,0.0,False
7047,0.0,0,0.0,False
ID1699,0.0,11,11.0,True
ID0803,0.0,0,0.0,False
ID0977,0.0,0,0.0,False
ID0025,0.0,0,0.0,False
ID0635,0.0,0,0.0,False
7066,0.0,0,0.0,False
ID0317,0.0,0,0.0,False
ID0761,0.0,9,9.0,True
ID1903,0.0,0,0.0,False
ID0096,0.0,0,0.0,False
ID0330,0.0,3,3.0,True
ID1181,0.0,2,2.0,True
ID1119,0.0,0,0.0,False
ID1825,0.0,3,3.0,True
ID0182,0.0,3,3.0,True
ID1540,0.0,2,2.0,True
ID0918,0.0,0,0.0,False
ID1637,0.0,0,0.0,False
ID1751,0.0,0,0.0,False
ID1355,0.0,3,3.0,True
ID0089,0.0,0,0.0,False
ID1268,0.0,0,0.0,False
ID1774,0.0,0,0.0,False
ID1918,0.0,0,0.0,False
ID1395,0.0,0,0.0,False
7099,0.0,0,0.0,False
ID0170,0.0,2,2.0,True
ID1157,0.0,0,0.0,False
ID0602,0.0,0,0.0,False
ID1743,0.0,0,0.0,False
7014,0.0,0,0.0,False
ID1063,0.0,0,0.0,False
ID1791,0.0,0,0.0,False
ID0737,0.0,1,1.0,True
7011,0.0,0,0.0,False
ID1738,0.0,10,10.0,True
7077,0.0,0,0.0,False
ID1416,0.0,0,0.0,False
ID0710,0.0,0,0.0,False
ID0292,0.0,0,0.0,False
ID1059,0.0,0,0.0,False
ID0543,0.0,4,4.0,True
7081,0.0,0,0.0,False
ID1908,0.0,1,1.0,True
ID0621,0.0,6,6.0,True
ID1539,0.0,5,5.0,True
ID0222,0.0,6,6.0,True
ID0972,0.0,7,7.0,True
ID1800,0.0,2,2.0,True
7088,0.0,0,0.0,False
ID0614,0.0,0,0.0,False
ID1285,0.0,0,0.0,False
ID0027,0.0,0,0.0,False
7005,0.0,6,6.0,True
ID1757,0.0,5,5.0,True
ID1221,0.0,2,2.0,True
ID1882,0.0,3,3.0,True
ID1377,0.0,0,0.0,False
ID0924,0.0,0,0.0,False
ID1948,0.0,6,6.0,True
7054,0.0,0,0.0,False
7097,0.0,0,0.0,False
ID0653,0.0,7,7.0,True
ID1591,0.0,7,7.0,True
ID0523,0.0,2,2.0,True
ID0568,0.0,7,7.0,True
ID0577,0.0,1,1.0,True
ID0567,0.0,4,4.0,True
ID0651,0.0,0,0.0,False
ID0161,0.0,0,0.0,False
ID1768,0.0,0,0.0,False
ID1460,0.0,0,0.0,False
ID0230,0.0,0,0.0,False
ID0460,0.0,0,0.0,False
ID1892,0.0,0,0.0,False
7039,0.0,0,0.0,False
ID0241,0.0,0,0.0,False
ID1876,0.0,0,0.0,False
ID0391,0.0,0,0.0,False
7035,0.0,0,0.0,False
ID0112,0.0,0,0.0,False
ID1676,0.0,0,0.0,False
ID1321,0.0,3,3.0,True
ID1383,0.0,10,10.0,True
ID0418,0.0,0,0.0,False
ID1994,0.0,3,3.0,True
ID1048,0.0,0,0.0,False
7041,0.0,0,0.0,False
ID0574,0.0,1,1.0,True
ID0057,0.0,4,4.0,True
ID1223,0.0,1,1.0,True
ID0965,0.0,0,0.0,False
ID1275,0.0,0,0.0,False
ID1338,0.0,9,9.0,True
ID0115,0.0,0,0.0,False
ID1517,0.0,0,0.0,False
ID1585,0.0,0,0.0,False
ID0162,0.0,0,0.0,False
ID0503,0.0,10,10.0,True
ID0425,0.0,0,0.0,False
ID0003,0.0,5,5.0,True
ID1786,0.0,0,0.0,False
ID0458,0.0,0,0.0,False
ID0899,0.0,0,0.0,False
ID1102,0.0,7,7.0,True
ID1641,0.0,0,0.0,False
ID0963,0.0,6,6.0,True
ID0876,0.0,0,0.0,False
ID0029,0.0,12,12.0,True
ID1228,0.0,7,7.0,True
ID0238,0.0,0,0.0,False
ID1298,0.0,3,3.0,True
ID0146,0.0,0,0.0,False
ID1475,0.0,9,9.0,True
ID1376,0.0,0,0.0,False
ID1607,0.0,0,0.0,False
ID0811,0.0,0,0.0,False
ID1634,0.0,6,6.0,True
ID1075,0.0,0,0.0,False
ID1747,0.0,0,0.0,False
ID1164,0.0,0,0.0,False
ID1442,0.0,7,7.0,True
ID0779,0.0,0,0.0,False
ID0879,0.0,0,0.0,False
ID1073,0.0,0,0.0,False
ID1952,0.0,2,2.0,True
ID1696,0.0,0,0.0,False
ID0098,0.0,0,0.0,False
ID1492,0.0,0,0.0,False
ID1226,0.0,4,4.0,True
ID1995,0.0,0,0.0,False
ID1895,0.0,1,1.0,True
ID1673,0.0,2,2.0,True
ID1944,0.0,3,3.0,True
ID1821,0.0,13,13.0,True
7019,0.0,0,0.0,False
ID1507,0.0,0,0.0,False
ID0532,0.0,16,16.0,True
ID1758,0.0,4,4.0,True
ID1207,0.0,2,2.0,True
ID0813,0.0,0,0.0,False
ID0468,0.0,7,7.0,True
ID1405,0.0,5,5.0,True
ID1332,0.0,0,0.0,False
ID0300,0.0,0,0.0,False
ID0766,0.0,0,0.0,False
7050,0.0,0,0.0,False
ID0009,0.0,0,0.0,False
ID0209,0.0,0,0.0,False
ID1178,0.0,1,1.0,True
ID1314,0.0,0,0.0,False
ID1430,0.0,0,0.0,False
ID0916,0.0,0,0.0,False
ID1824,0.0,8,8.0,True
7072,0.0,0,0.0,False
ID1079,0.0,7,7.0,True
ID0007,0.0,7,7.0,True
ID1240,0.0,4,4.0,True
ID1718,0.0,0,0.0,False
ID1880,0.0,8,8.0,True
ID1898,0.0,0,0.0,False
ID0052,0.0,0,0.0,False
ID0728,0.0,0,0.0,False
ID0082,0.0,0,0.0,False
ID0885,0.0,12,12.0,True
ID1024,0.0,4,4.0,True
7018,0.0,0,0.0,False
ID1990,0.0,0,0.0,False
ID1453,0.0,2,2.0,True
ID0683,0.0,0,0.0,False
ID0825,0.0,7,7.0,True
ID1272,0.0,8,8.0,True
ID0078,0.0,4,4.0,True
ID1239,0.0,0,0.0,False
ID0088,0.0,10,10.0,True
ID1495,0.0,10,10.0,True
ID1245,0.0,3,3.0,True
ID0127,0.0,10,10.0,True
ID0703,0.0,1,1.0,True
ID0055,0.0,4,4.0,True
ID1286,0.0,0,0.0,False
ID1425,0.0,0,0.0,False
ID0770,0.0,0,0.0,False
