QA_ID,14B_Sentences
Merge_Q1058,"1,2,3,4,5,6,7,8,9"
Merge_Q1059,"1,2,3,4,8"
Merge_Q1060,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1061,"1,2,3,4"
Merge_Q1062,"1,2,3,4,6,7,8,9"
Merge_Q1063,"1,2,3,4,5,6,7"
Merge_Q1064,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1065,"1,2,3,4,5,6,7,9,10"
Merge_Q1066,"1,2,3,4,5,6,7,8"
Merge_Q1067,"1,2,3,4,5,6,7,8,9"
Merge_Q1068,"1,2,3,4,5,6,7,9,10,11"
Merge_Q1069,"1,2,3,4,5,6,7"
Merge_Q107,"1,2,3,4,5,6,9,10,11,12,13,14"
Merge_Q1070,"1,2,3,4,5,6,7,8"
Merge_Q1071,"1,2,3,4,5,6,7"
Merge_Q1072,"1,2,3,4,5,6,7,8"
Merge_Q1073,"1,2,3,4,5,6,7,8,9"
Merge_Q1074,"1,2,3,4,5,6,7,8"
Merge_Q1075,"1,2,3,4,5"
Merge_Q1076,"1,2,3,4,5,6,7,8,9"
Merge_Q1077,"1,2,3,4,5,6,7,8,9"
Merge_Q1078,"1,2,3,4,5,6,7,8,9"
Merge_Q1079,"1,2,3,4,5,6,7,8,9,10"
Merge_Q108,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1080,"1,2,3,4,5,6,7"
Merge_Q1081,"1,2,3,4,5,6,7,8"
Merge_Q1082,"1,2,3,4,5,6"
Merge_Q1083,"1,2,3,4,5,6,7,8,9"
Merge_Q1085,"1,2,3,4,5,6,7,8"
Merge_Q1087,"1,2,3,4,6,7,8"
Merge_Q1089,"1,2,3,4,5,6,7,8,9,10"
Merge_Q109,"1,2,3,4,5,6"
Merge_Q1091,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1092,"1,2,3,4,5,6,7"
Merge_Q1093,"1,2,3,4,8"
Merge_Q1095,"1,2,3,4,5,6,7,8,9,11,12,13,14,15"
Merge_Q1096,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1097,"1,2,3,4,5"
Merge_Q1098,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1099,"1,2,3,4,5,6,7"
Merge_Q11,"1,2,3,4,5,6,7,8,9"
Merge_Q110,"1,2,3,4,5,6,7,8,9,12,13"
Merge_Q1100,"1,2,3,4,5,6,7"
Merge_Q1101,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1102,"1,2,3,4,5,6,7,8"
Merge_Q1103,"1,2,3,4,5,6,7,8,9,11,12"
Merge_Q1104,"1,2,3,4,5,6,7"
Merge_Q1105,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1106,"1,2,3,4,5,6,7,9,10,12"
Merge_Q1107,"4,11"
Merge_Q1108,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1109,"1,2,3,4,5,6,7,8"
Merge_Q111,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1110,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1111,"1,2,3,4,5,6,7,8"
Merge_Q1112,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1113,"1,2,3,4,5,6,7,8"
Merge_Q1114,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1115,"1,2,3,4,5,6,7,8,9,10,11,12,13,14"
Merge_Q1116,"1,2,3,4,5,6,7,8"
Merge_Q1117,"1,2,3,4,5,6,7"
Merge_Q1118,"1,2,3,4,5,6,7,8,9"
Merge_Q1119,"1,2,3,4,5,6,7,8,10"
Merge_Q112,"1,2,3,4,5,6,7,8,9"
Merge_Q1120,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1121,"1,2,4,6,10"
Merge_Q1122,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1123,1
Merge_Q1125,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1126,"1,2,3,4,5,6,7,8,9"
Merge_Q1128,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Merge_Q1129,"1,2,3,4,5,6"
Merge_Q1130,"1,2,3,4,5,6,7,8,9"
Merge_Q1131,"1,2,3,4,5,6,7,8"
Merge_Q1132,"1,2,3,4,5,6,8,9,10,11"
Merge_Q1133,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1134,"1,2,3,4,5,6,7,8"
Merge_Q1136,"1,2,3,4,5,6,8"
Merge_Q1137,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1139,"1,2,3,4,5,6,7,8"
Merge_Q114,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1140,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1141,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1143,"1,2,3,4,5,6"
Merge_Q1144,"1,2,3,4,5,6,7,8"
Merge_Q1145,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
Merge_Q1146,4
Merge_Q1147,"1,2,3,4,5,6,7,8,9"
Merge_Q1148,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1149,"1,2,3,4,5,6,7,8,9,10"
Merge_Q115,"1,2,3,4,5,6,7,8"
Merge_Q1150,"1,2,3,4,5,6,7"
Merge_Q1151,"1,2,3,4,5,6,7,9,10,11,12,13"
Merge_Q1152,"1,2,3,4,5,6,7,8"
Merge_Q1153,"1,2,3,4,5,6,7,8,9"
Merge_Q1154,"1,2,3,4,5,6,7,8,9"
Merge_Q1155,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1156,"1,2,3,4,5,6,7,8"
Merge_Q1157,10
Merge_Q1158,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1159,"1,2,3,4,6,9"
Merge_Q116,"1,2,3,6,7,8"
Merge_Q1160,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1161,"1,2,3,4,5,6,7,8,9"
Merge_Q1162,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1163,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1164,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1165,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1166,"5,6,7,9,10"
Merge_Q1167,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1168,"1,2,3,4,5,7,9,10"
Merge_Q1169,"1,2,3,4,5,6,7,8"
Merge_Q117,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1170,"3,6,7"
Merge_Q1171,"1,2,3,4,5,6,9,10"
Merge_Q1172,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1173,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1174,"1,2,3,4,5,6,7,8,9"
Merge_Q1175,"1,2,3,4,5,6,7,8,9"
Merge_Q1176,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1177,"1,2,3,4,5,7,8,9"
Merge_Q1178,"1,2,3,4,5,6"
Merge_Q1179,"1,2,3,4,5,6,7,8,9"
Merge_Q118,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1180,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1181,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1183,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1184,"1,2,3,4,5,6,7,8,10"
Merge_Q1185,"1,2,3,4,5,6,7,8,9"
Merge_Q1187,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1189,"1,2,3,4,5,6,7,8,9"
Merge_Q119,"1,2,3,4,7,8"
Merge_Q1190,"1,2,3,4,5,6,7,8,9"
Merge_Q1191,"1,2,3,4,5,6,8,9,10,11,12"
Merge_Q1192,"1,2,3,4,5,6,8"
Merge_Q1193,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1194,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1195,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1196,"1,2,3,4,5,7,8,9,10,11,12,13"
Merge_Q1198,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1199,"1,2,3,4,5,6,7"
Merge_Q12,"1,5,6,7,8,9"
Merge_Q120,"1,2,3,4,5,6,7,8,9,12"
Merge_Q1200,"1,2,3,4,5,6,7,8,9"
Merge_Q1201,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1202,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1203,8
Merge_Q1204,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1205,"1,2,3,4,5,6,7"
Merge_Q1207,"1,2,3,4,5,6,7,8"
Merge_Q1209,"1,2,3,4,5,6,7,8,9,10"
Merge_Q121,"1,2,3,4,7,8,9,10,11,14"
Merge_Q1210,"1,2,3,4,5,6,7,8"
Merge_Q1212,"1,2,3,4,5,6,7,8,9"
Merge_Q1213,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1214,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1215,"1,2,3,4,5,6,7,8"
Merge_Q1216,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1217,"1,2,3,4,5,7,8,9,11"
Merge_Q1218,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1219,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q122,7
Merge_Q1220,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1221,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1222,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1223,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1224,6
Merge_Q1227,"1,2,3,4,5,6,8,11"
Merge_Q1229,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1230,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1231,"1,2,3,4,5,6,7,8,9,11"
Merge_Q1232,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1233,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1234,"1,2,3,4,5,6,9,10"
Merge_Q1235,6
Merge_Q1236,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1237,"1,2,3,4,5,6,7"
Merge_Q1238,"1,2,3,4,5,6,7,9"
Merge_Q1239,"1,2,3,4,5,6,7,8,10,11,12"
Merge_Q1240,"1,2,3,4,5,6,7,9,10,11,12,13"
Merge_Q1241,"1,3,4,5,6,7,8,9,13"
Merge_Q1242,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1243,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1244,"1,2,3,4,6,7"
Merge_Q1245,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1246,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1247,"1,2,3,4,5,6"
Merge_Q1248,"1,2,3,4,5,6,7"
Merge_Q1249,"1,2,3,4,5,6,7,8,9,10"
Merge_Q125,"1,4,5"
Merge_Q1250,"1,2,3,4,5"
Merge_Q1252,"1,2,3,4,5,6"
Merge_Q1253,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1254,"1,2,3,4,5,6,7,8"
Merge_Q1255,"1,2,3,4,5,6,7,8"
Merge_Q1256,"1,2,3,4,5,6,7"
Merge_Q1257,"1,2,3,4,5,6,7,8,9"
Merge_Q1258,"1,2,3,4,5,6,7,8,9"
Merge_Q1259,"1,2,3,4,5,6,7,8,9,10"
Merge_Q126,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1260,"1,2,3,4,5,6,7"
Merge_Q1261,"1,2,3,4,5,6"
Merge_Q1262,"1,2,3,4,5,6,7,8,9"
Merge_Q1263,"1,2,3,4,5,6,7,8"
Merge_Q1264,"1,2,3,4,5,6,7,8"
Merge_Q1265,"1,2,4,5,6,7,8,9,10"
Merge_Q1266,"1,2,4,5,6,7,8"
Merge_Q1267,"1,2,3,5,6,7,8"
Merge_Q1268,"1,2,4,5,6,7"
Merge_Q1269,"1,2,3,4,5,6,7,8,9"
Merge_Q127,"1,2,3,4,7,8,9,10"
Merge_Q1270,"1,2,3,4,5,6,9,10"
Merge_Q1271,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1273,"1,2,3,4,5,6,7,8,9"
Merge_Q1274,"1,2,3,5,6,7,8,9"
Merge_Q1275,"1,2,3,4,5,6,7,8,9,11"
Merge_Q1276,"1,2,3,4,5,6,7,8,9"
Merge_Q1277,"1,2,3"
Merge_Q1279,"1,2,3,4,5,6,7,8,9"
Merge_Q128,"1,2,3,4,5,6,7,10"
Merge_Q1281,"1,2,3,4,5,6,7"
Merge_Q1282,"1,2,3,4,5,6,7,8,9"
Merge_Q1283,"1,2,3"
Merge_Q1284,"1,2,3,4,5,6,7,8"
Merge_Q1285,"1,2,3,4,5,6,8,9"
Merge_Q1286,"1,2,3,4,5,6,7,8,9"
Merge_Q1287,"1,2,3,4,5,6,7,8"
Merge_Q1288,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1290,"1,2,3,4,5,6,7,8"
Merge_Q1291,"1,2,3,4,5,6,7,8"
Merge_Q1292,"1,2,3,4,5,6,7"
Merge_Q1293,"1,2,3,4,5,6,7,8"
Merge_Q1294,11
Merge_Q1295,"1,2,3,4,5,6,7,8,10"
Merge_Q1296,"1,2,3,4,5,6,7,8"
Merge_Q1297,"1,2,3,4,5,6,7,8,9"
Merge_Q1298,"1,2,4,5,6,7,8,9,10,11,12"
Merge_Q1299,"1,2,3,4"
Merge_Q13,"1,2,3,4,5,6,7,10"
Merge_Q1300,"1,2,3,4,5,6,7,8,9"
Merge_Q1301,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1302,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1303,"1,2,3,4,5,6,7,8"
Merge_Q1304,"1,2,3,4,5,6,7,8,9"
Merge_Q1306,"1,2,3,4,5,6,7,8,9,11"
Merge_Q1307,"5,6,9"
Merge_Q1309,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1310,"1,2,3,4,6,7,8"
Merge_Q1311,"1,2,3,4,5,6,7,8"
Merge_Q1312,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1314,"1,2,3,4,5,6,7,8,9"
Merge_Q1315,"1,2,3,4,5,6,7,8,9"
Merge_Q1316,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1317,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1318,"1,2,3,4,5,6"
Merge_Q1319,"1,2,3,4,5,6,7,8,9"
Merge_Q132,"1,2,3,4,5,6,9,10,11,12,13,16,17"
Merge_Q1321,"1,2,3,4,5,6,7"
Merge_Q1322,"1,2,3,4,5,6,7,8,9"
Merge_Q1323,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1324,"1,2,3,4,6,7,8"
Merge_Q1325,"1,2,3,5,6,7,8,10"
Merge_Q1326,"1,2,3,4,5,6,7,8,9,11"
Merge_Q1328,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1329,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q133,"1,2,3,4,5,8,9,10,11,12,14"
Merge_Q1330,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1331,"5,6"
Merge_Q1332,9
Merge_Q1336,"10,11"
Merge_Q134,"1,2,5,6,7,8"
Merge_Q1347,"1,2,3"
Merge_Q135,6
Merge_Q1350,"1,2,3,4"
Merge_Q1354,"1,2,3,4,5,6,7"
Merge_Q1357,"1,2,3,4"
Merge_Q1358,"6,10"
Merge_Q136,"1,2,3"
Merge_Q1364,"1,2,3,4,5"
Merge_Q1367,10
Merge_Q137,"1,4,7,8,9,10,11"
Merge_Q1370,"1,4,5,6,7,8,9,10"
Merge_Q1372,"1,2,3"
Merge_Q1375,"1,2,3,4"
Merge_Q1377,"1,2,3,4"
Merge_Q138,"1,2,3,4,7,8"
Merge_Q1381,3
Merge_Q1383,9
Merge_Q1391,"1,2,3,4,5,6,7,8"
Merge_Q1395,"1,2,3,4,5,6"
Merge_Q1396,"1,2,3,4,5"
Merge_Q1397,9
Merge_Q1399,"3,4,5,10"
Merge_Q140,"1,2,3,4,5,6,7,8"
Merge_Q1400,"1,2,3,4"
Merge_Q1401,"1,2,3,4,5,6,7,8,9,10,11,12"
Merge_Q1402,"6,8"
Merge_Q1403,"1,2,3,4,5,6,7"
Merge_Q1404,3
Merge_Q1406,"1,2,3,4,5,6"
Merge_Q141,"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17"
Merge_Q1411,"1,3,4,5,6,7,8,9"
Merge_Q1414,"1,2,3,4,5,6"
Merge_Q1416,"1,2,3,4,5"
Merge_Q1418,4
Merge_Q1419,3
Merge_Q142,"1,2,3,4,5,10,11"
Merge_Q1420,"1,2,3,4"
Merge_Q1423,"1,2,3,4,5,6,7,8,9"
Merge_Q1425,"1,2,3,4,5,6,7,8"
Merge_Q1426,8
Merge_Q1427,"1,2,3,4"
Merge_Q1428,"1,2,3,4,7,8,9,10,11,12,13"
Merge_Q1429,7
Merge_Q143,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1431,"1,2,3,4,5,6,7,8,9,10,11,12,14"
Merge_Q1434,"1,2,3,4,5,6,7,8"
Merge_Q1435,"3,9"
Merge_Q1436,"1,2,3,4,5,6,7,8"
Merge_Q1440,"1,2,3,4,5,6,7,8,9"
Merge_Q1443,11
Merge_Q1444,"1,2,3"
Merge_Q145,"1,2,3,5,6,7"
Merge_Q1450,"1,2,3,4,5,6"
Merge_Q1455,"1,2,3,4,5,6"
Merge_Q146,"1,4,5,12,13"
Merge_Q1461,"5,10"
Merge_Q1467,"1,2,3,4"
Merge_Q147,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1472,"1,2,3,4,5"
Merge_Q1473,"1,2,3,4,5"
Merge_Q1474,"1,2,3,5,6,7,8,9"
Merge_Q148,"1,2,3,4"
Merge_Q1480,"1,2,3,4,5,6,7"
Merge_Q1482,"1,2,3,4"
Merge_Q1484,"1,2,3,4,5,6"
Merge_Q1486,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1489,"1,2,3,4,5,6,7,8"
Merge_Q149,"1,2,5,8"
Merge_Q1493,"1,2,3,4"
Merge_Q1494,4
Merge_Q150,"1,2,5,10"
Merge_Q1500,"1,2,3,4,5,6,7"
Merge_Q1501,"1,2,3,4,5,6"
Merge_Q1503,"1,2,3,4,5,6,7"
Merge_Q1505,"1,2,3"
Merge_Q1506,"1,2,3,4,5"
Merge_Q1507,5
Merge_Q151,"1,2,3,6,7,8"
Merge_Q1510,"1,2,3,4,5,6,7,8"
Merge_Q1514,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1515,"4,5,6,8"
Merge_Q1516,4
Merge_Q1517,"1,2,3,4,5,6,7"
Merge_Q1518,"1,2,3,4"
Merge_Q1519,"1,2,3"
Merge_Q152,"1,2,3,4,5,6,9,11,12,13,14,15,16,17,20,21"
Merge_Q1520,"1,2,3,4,5,6,7,8"
Merge_Q1521,"1,2,3,4,5,6,7,8"
Merge_Q1522,3
Merge_Q1526,"1,2,3,4"
Merge_Q1527,"1,2,3"
Merge_Q153,"1,2,3,4,7,8,9,10,11,12,15,16"
Merge_Q1532,3
Merge_Q1537,"1,2,3"
Merge_Q1539,"1,2,3,4,5"
Merge_Q154,"1,2,3,4,5,6,7,20,21"
Merge_Q1543,"1,2,3,4,5,6"
Merge_Q1548,"1,2,3"
Merge_Q1549,"1,2,3,4"
Merge_Q155,"1,2,3,4,5,6,7"
Merge_Q1550,"1,2,3,4,5,6"
Merge_Q1552,4
Merge_Q1554,"1,2,3,4,5,6,7,8,9"
Merge_Q1555,"1,2,3,4,5"
Merge_Q1557,"1,2,3,4"
Merge_Q1559,"1,2,3,4,5,6,7"
Merge_Q156,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1560,6
Merge_Q1561,"1,2,3,4,5,6,7,8"
Merge_Q1563,"1,3,4,5"
Merge_Q1565,"1,2,3,4,5,6,7"
Merge_Q1569,"1,2,3,4,5,6"
Merge_Q1570,"1,2,3,4,5,6"
Merge_Q1571,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1573,"1,2,3,4,5"
Merge_Q1577,"1,2,3,4,5,6"
Merge_Q1578,"1,2,3,4,5,6,7"
Merge_Q158,"1,2,3,4,5,6,7,8,9"
Merge_Q1581,"1,2,3,4,5,6,7"
Merge_Q1587,"1,2,3,4,5,6"
Merge_Q159,"1,2,5,6,7,10"
Merge_Q1590,"1,2,3,4,5,6,7,8"
Merge_Q1592,"1,2,3,4,5,6,7,8"
Merge_Q1594,"1,2,3,4,5,6"
Merge_Q1595,1
Merge_Q16,"1,2,3,4,5,6,7,8,9"
Merge_Q1601,"1,2,3,4,5,6,7"
Merge_Q1602,3
Merge_Q1603,6
Merge_Q1605,"3,10"
Merge_Q1606,6
Merge_Q1607,"1,2,3,4"
Merge_Q1608,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1609,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1615,"1,2,3,4,5,6,7"
Merge_Q1617,"1,2,3,4,5"
Merge_Q1619,"5,7"
Merge_Q1621,"1,2,3,4,5,6,7"
Merge_Q1623,"1,2,3,4,5,6"
Merge_Q1624,"1,2,3,4,5,6,7,10,11"
Merge_Q1628,"1,2,3,4,5,6,7,8,9"
Merge_Q163,"1,2,3,4,5,6,9,10,11"
Merge_Q1631,"1,2,3,4"
Merge_Q1634,"5,10"
Merge_Q1635,2
Merge_Q1636,4
Merge_Q1638,"1,2,3,4,5,6,7,8,11,12,13,14,15,16,17,18,19,20,21"
Merge_Q164,"1,2,3,4,5,6,7,8,9,10,11"
Merge_Q1640,"1,2,3,4,5,6,7"
Merge_Q1642,4
Merge_Q1643,"1,2,3,4"
Merge_Q1645,"1,2,3,4,5"
Merge_Q1647,"1,2,3,4,5,6,7,8,9,10"
Merge_Q1648,"1,2,3,4,5"
Merge_Q165,"1,2,3,4,5,6,7,8,9"
Merge_Q1651,"1,2,3,4,5,6,7,8,10"
Merge_Q1652,"1,2,3"
Merge_Q1656,"1,2,3,4"
Merge_Q1658,"4,5,10"
Merge_Q1659,"1,2,3"
Merge_Q166,"1,2,3,4,5,6,7,8,9,10,11,12,13"
Merge_Q1660,"1,2,3,4,5,6"
Merge_Q1661,"8,10"
Merge_Q1663,"1,2,3,4,5"
Merge_Q1667,2
Merge_Q1668,"1,2,3,4,8"
Merge_Q1669,"1,2,3"
Merge_Q1671,"1,2,3,4,5,6,7,8"
Merge_Q1672,"1,2,3,4"
Merge_Q1678,"1,2,3"
Merge_Q1679,"1,2,3,4"
Merge_Q168,"1,2,3,4,5,8,9,10"
Merge_Q1682,3
Merge_Q1684,"1,2,3,4"
Merge_Q1685,"1,2,3,4,5,6,7,8,9"
Merge_Q1689,"1,2,3"
Merge_Q169,"1,2,5,6,7,8,11,12,13,16,17,18"
Merge_Q1690,"1,2,3,4,5,6,7"
Merge_Q1692,"1,2,3,4,5,6,7,8"
Merge_Q1698,"1,2,3,4,5"
Merge_Q17,"1,2,3,4,5,6,7,8"
Merge_Q170,"1,2,3,4,5,6,7,10,11,12"
Merge_Q1701,"1,2,3,4,5,6,7"
Merge_Q1702,"1,2,3,4,5"
Merge_Q1703,"1,2,3,4,5,6,7,8"
Merge_Q1705,"1,2,3,4,5"
Merge_Q1706,"1,2,3,4,5,6,7,10"
Merge_Q1707,"1,2,3,4,6,7,8"
Merge_Q1708,"1,2,3,4,5,7,8,9,10,12,15"
Merge_Q1711,8
Merge_Q1712,"1,2,4,5,6,7"
Merge_Q1714,"1,2,3,4,5"
Merge_Q1715,"1,2,3"
Merge_Q1716,"1,2,3"
Merge_Q1718,"1,2,3,4,5,6,10"
Merge_Q172,"1,2,3,4,5,6,7,8,9"
Merge_Q1720,9
Merge_Q1721,"1,2,3,4,5,6,7,8"
Merge_Q1725,"1,2,3,4,5,6"
Merge_Q1728,"1,2,3,4,5,6,7,8"
Merge_Q1729,"1,2,3,4"
Merge_Q173,"1,2,3,4,7,8,9,10,11,20,21"
Merge_Q1731,"1,2,3,4,5,6"
Merge_Q1733,"1,2,3,4,5,6"
Merge_Q1739,"1,2,3,4,5,6"
Merge_Q174,"1,2,3,4,5,6,7,8,11,12,13,14,15,16,17"
Merge_Q1740,6
Merge_Q1743,"1,2,3,4,5"
Merge_Q1745,2
Merge_Q1747,"1,2,4,5,6,7,8"
Merge_Q1748,"1,2,3"
Merge_Q1749,"1,2,3,4"
Merge_Q175,"1,2,3,4,5,6,12,13,14,15,16,18"
Merge_Q1750,"1,2,3,4,5,6,7"
Merge_Q1751,"1,2,3,4,5"
Merge_Q1752,"1,2,3,4,5,6,7,8,9"
Merge_Q1753,"1,2,3,4,5,6"
Merge_Q1756,"1,2,3,4,5,6,7,8,9"
Merge_Q1757,"1,2,3,4,5"
